statecountycode,state,county_name,year,state_code,county_code,median
AK213,AK,Aleutians East Borough,1999-01-01,2,13,52300
AK213,AK,Aleutians East Borough,2000-01-01,2,13,55500
AK213,AK,Aleutians East Borough,2001-01-01,2,13,55500
AK213,AK,Aleutians East Borough,2002-01-01,2,13,61000
AK213,AK,Aleutians East Borough,2003-01-01,2,13,49400
AK213,AK,Aleutians East Borough,2004-01-01,2,13,50500
AK213,AK,Aleutians East Borough,2005-01-01,2,13,56400
AK213,AK,Aleutians East Borough,2006-01-01,2,13,61100
AK213,AK,Aleutians East Borough,2007-01-01,2,13,58900
AK213,AK,Aleutians East Borough,2008-01-01,2,13,60700
AK213,AK,Aleutians East Borough,2009-01-01,2,13,65800
AK213,AK,Aleutians East Borough,2010-01-01,2,13,67700
AK213,AK,Aleutians East Borough,2011-01-01,2,13,64000
AK213,AK,Aleutians East Borough,2012-01-01,2,13,64800
AK213,AK,Aleutians East Borough,2013-01-01,2,13,65100
AK213,AK,Aleutians East Borough,2014-01-01,2,13,63900
AK213,AK,Aleutians East Borough,2015-01-01,2,13,65300
AK213,AK,Aleutians East Borough,2016-01-01,2,13,69500
AK213,AK,Aleutians East Borough,2017-01-01,2,13,65200
AK216,AK,Aleutians West Census Area,1999-01-01,2,16,43300
AK216,AK,Aleutians West Census Area,2000-01-01,2,16,43300
AK216,AK,Aleutians West Census Area,2001-01-01,2,16,43900
AK216,AK,Aleutians West Census Area,2002-01-01,2,16,47600
AK216,AK,Aleutians West Census Area,2003-01-01,2,16,74300
AK216,AK,Aleutians West Census Area,2004-01-01,2,16,78200
AK216,AK,Aleutians West Census Area,2005-01-01,2,16,81650
AK216,AK,Aleutians West Census Area,2006-01-01,2,16,89400
AK216,AK,Aleutians West Census Area,2007-01-01,2,16,85500
AK216,AK,Aleutians West Census Area,2008-01-01,2,16,88000
AK216,AK,Aleutians West Census Area,2009-01-01,2,16,93700
AK216,AK,Aleutians West Census Area,2010-01-01,2,16,96300
AK216,AK,Aleutians West Census Area,2011-01-01,2,16,82700
AK216,AK,Aleutians West Census Area,2012-01-01,2,16,83900
AK216,AK,Aleutians West Census Area,2013-01-01,2,16,87000
AK216,AK,Aleutians West Census Area,2014-01-01,2,16,80700
AK216,AK,Aleutians West Census Area,2015-01-01,2,16,87000
AK216,AK,Aleutians West Census Area,2016-01-01,2,16,89500
AK216,AK,Aleutians West Census Area,2017-01-01,2,16,90200
AK220,AK,Anchorage Municipality,1999-01-01,2,20,59200
AK220,AK,Anchorage Municipality,2000-01-01,2,20,59300
AK220,AK,Anchorage Municipality,2001-01-01,2,20,60500
AK220,AK,Anchorage Municipality,2002-01-01,2,20,60500
AK220,AK,Anchorage Municipality,2003-01-01,2,20,73600
AK220,AK,Anchorage Municipality,2004-01-01,2,20,78700
AK220,AK,Anchorage Municipality,2005-01-01,2,20,78700
AK220,AK,Anchorage Municipality,2006-01-01,2,20,76900
AK220,AK,Anchorage Municipality,2007-01-01,2,20,74800
AK220,AK,Anchorage Municipality,2008-01-01,2,20,77700
AK220,AK,Anchorage Municipality,2009-01-01,2,20,80800
AK220,AK,Anchorage Municipality,2010-01-01,2,20,83600
AK220,AK,Anchorage Municipality,2011-01-01,2,20,84000
AK220,AK,Anchorage Municipality,2012-01-01,2,20,85200
AK220,AK,Anchorage Municipality,2013-01-01,2,20,87800
AK220,AK,Anchorage Municipality,2014-01-01,2,20,84900
AK220,AK,Anchorage Municipality,2015-01-01,2,20,89600
AK220,AK,Anchorage Municipality,2016-01-01,2,20,92900
AK220,AK,Anchorage Municipality,2017-01-01,2,20,89000
AK250,AK,Bethel Census Area,1999-01-01,2,50,29900
AK250,AK,Bethel Census Area,2000-01-01,2,50,29900
AK250,AK,Bethel Census Area,2001-01-01,2,50,29900
AK250,AK,Bethel Census Area,2002-01-01,2,50,29900
AK250,AK,Bethel Census Area,2003-01-01,2,50,43200
AK250,AK,Bethel Census Area,2004-01-01,2,50,46700
AK250,AK,Bethel Census Area,2005-01-01,2,50,46700
AK250,AK,Bethel Census Area,2006-01-01,2,50,45200
AK250,AK,Bethel Census Area,2007-01-01,2,50,43800
AK250,AK,Bethel Census Area,2008-01-01,2,50,45400
AK250,AK,Bethel Census Area,2009-01-01,2,50,46900
AK250,AK,Bethel Census Area,2010-01-01,2,50,48200
AK250,AK,Bethel Census Area,2011-01-01,2,50,59400
AK250,AK,Bethel Census Area,2012-01-01,2,50,60200
AK250,AK,Bethel Census Area,2013-01-01,2,50,58900
AK250,AK,Bethel Census Area,2014-01-01,2,50,58800
AK250,AK,Bethel Census Area,2015-01-01,2,50,57700
AK250,AK,Bethel Census Area,2016-01-01,2,50,54600
AK250,AK,Bethel Census Area,2017-01-01,2,50,53900
AK260,AK,Bristol Bay Borough,1999-01-01,2,60,71800
AK260,AK,Bristol Bay Borough,2000-01-01,2,60,71800
AK260,AK,Bristol Bay Borough,2001-01-01,2,60,71800
AK260,AK,Bristol Bay Borough,2002-01-01,2,60,71800
AK260,AK,Bristol Bay Borough,2003-01-01,2,60,61700
AK260,AK,Bristol Bay Borough,2004-01-01,2,60,67900
AK260,AK,Bristol Bay Borough,2005-01-01,2,60,67900
AK260,AK,Bristol Bay Borough,2006-01-01,2,60,73300
AK260,AK,Bristol Bay Borough,2007-01-01,2,60,71300
AK260,AK,Bristol Bay Borough,2008-01-01,2,60,73200
AK260,AK,Bristol Bay Borough,2009-01-01,2,60,77300
AK260,AK,Bristol Bay Borough,2010-01-01,2,60,79500
AK260,AK,Bristol Bay Borough,2011-01-01,2,60,78300
AK260,AK,Bristol Bay Borough,2012-01-01,2,60,79300
AK260,AK,Bristol Bay Borough,2013-01-01,2,60,98100
AK260,AK,Bristol Bay Borough,2014-01-01,2,60,97300
AK260,AK,Bristol Bay Borough,2015-01-01,2,60,97400
AK260,AK,Bristol Bay Borough,2016-01-01,2,60,99000
AK260,AK,Bristol Bay Borough,2017-01-01,2,60,95000
AK268,AK,Denali Borough,2003-01-01,2,68,86200
AK268,AK,Denali Borough,2004-01-01,2,68,86200
AK268,AK,Denali Borough,2005-01-01,2,68,86200
AK268,AK,Denali Borough,2006-01-01,2,68,86500
AK268,AK,Denali Borough,2007-01-01,2,68,83600
AK268,AK,Denali Borough,2008-01-01,2,68,86300
AK268,AK,Denali Borough,2009-01-01,2,68,91400
AK268,AK,Denali Borough,2010-01-01,2,68,94000
AK268,AK,Denali Borough,2011-01-01,2,68,96500
AK268,AK,Denali Borough,2012-01-01,2,68,97800
AK268,AK,Denali Borough,2013-01-01,2,68,86600
AK268,AK,Denali Borough,2014-01-01,2,68,91300
AK268,AK,Denali Borough,2015-01-01,2,68,95100
AK268,AK,Denali Borough,2016-01-01,2,68,101700
AK268,AK,Denali Borough,2017-01-01,2,68,105800
AK270,AK,Dillingham Census Area,1999-01-01,2,70,38400
AK270,AK,Dillingham Census Area,2000-01-01,2,70,38400
AK270,AK,Dillingham Census Area,2001-01-01,2,70,38400
AK270,AK,Dillingham Census Area,2002-01-01,2,70,38400
AK270,AK,Dillingham Census Area,2003-01-01,2,70,51600
AK270,AK,Dillingham Census Area,2004-01-01,2,70,54100
AK270,AK,Dillingham Census Area,2005-01-01,2,70,54100
AK270,AK,Dillingham Census Area,2006-01-01,2,70,56000
AK270,AK,Dillingham Census Area,2007-01-01,2,70,53800
AK270,AK,Dillingham Census Area,2008-01-01,2,70,55500
AK270,AK,Dillingham Census Area,2009-01-01,2,70,58700
AK270,AK,Dillingham Census Area,2010-01-01,2,70,60400
AK270,AK,Dillingham Census Area,2011-01-01,2,70,68200
AK270,AK,Dillingham Census Area,2012-01-01,2,70,69100
AK270,AK,Dillingham Census Area,2013-01-01,2,70,68100
AK270,AK,Dillingham Census Area,2014-01-01,2,70,65300
AK270,AK,Dillingham Census Area,2015-01-01,2,70,64200
AK270,AK,Dillingham Census Area,2016-01-01,2,70,57600
AK270,AK,Dillingham Census Area,2017-01-01,2,70,59100
AK290,AK,Fairbanks North Star Borough,1999-01-01,2,90,49200
AK290,AK,Fairbanks North Star Borough,2000-01-01,2,90,49200
AK290,AK,Fairbanks North Star Borough,2001-01-01,2,90,49200
AK290,AK,Fairbanks North Star Borough,2002-01-01,2,90,49200
AK290,AK,Fairbanks North Star Borough,2003-01-01,2,90,66000
AK290,AK,Fairbanks North Star Borough,2004-01-01,2,90,69700
AK290,AK,Fairbanks North Star Borough,2005-01-01,2,90,69700
AK290,AK,Fairbanks North Star Borough,2006-01-01,2,90,70100
AK290,AK,Fairbanks North Star Borough,2007-01-01,2,90,69700
AK290,AK,Fairbanks North Star Borough,2008-01-01,2,90,71300
AK290,AK,Fairbanks North Star Borough,2009-01-01,2,90,74700
AK290,AK,Fairbanks North Star Borough,2010-01-01,2,90,76800
AK290,AK,Fairbanks North Star Borough,2011-01-01,2,90,91700
AK290,AK,Fairbanks North Star Borough,2012-01-01,2,90,92900
AK290,AK,Fairbanks North Star Borough,2013-01-01,2,90,78400
AK290,AK,Fairbanks North Star Borough,2014-01-01,2,90,73200
AK290,AK,Fairbanks North Star Borough,2015-01-01,2,90,85600
AK290,AK,Fairbanks North Star Borough,2016-01-01,2,90,93800
AK290,AK,Fairbanks North Star Borough,2017-01-01,2,90,84800
AK2100,AK,Haines Borough,1999-01-01,2,100,48600
AK2100,AK,Haines Borough,2000-01-01,2,100,48600
AK2100,AK,Haines Borough,2001-01-01,2,100,48600
AK2100,AK,Haines Borough,2002-01-01,2,100,48600
AK2100,AK,Haines Borough,2003-01-01,2,100,58100
AK2100,AK,Haines Borough,2004-01-01,2,100,61900
AK2100,AK,Haines Borough,2005-01-01,2,100,61900
AK2100,AK,Haines Borough,2006-01-01,2,100,60800
AK2100,AK,Haines Borough,2007-01-01,2,100,59500
AK2100,AK,Haines Borough,2008-01-01,2,100,61400
AK2100,AK,Haines Borough,2009-01-01,2,100,65300
AK2100,AK,Haines Borough,2010-01-01,2,100,67200
AK2100,AK,Haines Borough,2011-01-01,2,100,61900
AK2100,AK,Haines Borough,2012-01-01,2,100,62700
AK2100,AK,Haines Borough,2013-01-01,2,100,74200
AK2100,AK,Haines Borough,2014-01-01,2,100,69900
AK2100,AK,Haines Borough,2015-01-01,2,100,66900
AK2100,AK,Haines Borough,2016-01-01,2,100,70000
AK2100,AK,Haines Borough,2017-01-01,2,100,68300
AK2105,AK,Hoonah-Angoon Census Area,2010-01-01,2,105,63800
AK2105,AK,Hoonah-Angoon Census Area,2011-01-01,2,105,54200
AK2105,AK,Hoonah-Angoon Census Area,2012-01-01,2,105,54900
AK2105,AK,Hoonah-Angoon Census Area,2013-01-01,2,105,53400
AK2105,AK,Hoonah-Angoon Census Area,2014-01-01,2,105,58200
AK2105,AK,Hoonah-Angoon Census Area,2015-01-01,2,105,60400
AK2105,AK,Hoonah-Angoon Census Area,2016-01-01,2,105,61600
AK2105,AK,Hoonah-Angoon Census Area,2017-01-01,2,105,61500
AK2110,AK,Juneau City and Borough,1999-01-01,2,110,65200
AK2110,AK,Juneau City and Borough,2000-01-01,2,110,65200
AK2110,AK,Juneau City and Borough,2001-01-01,2,110,65200
AK2110,AK,Juneau City and Borough,2002-01-01,2,110,65200
AK2110,AK,Juneau City and Borough,2003-01-01,2,110,81200
AK2110,AK,Juneau City and Borough,2004-01-01,2,110,85000
AK2110,AK,Juneau City and Borough,2005-01-01,2,110,85000
AK2110,AK,Juneau City and Borough,2006-01-01,2,110,86900
AK2110,AK,Juneau City and Borough,2007-01-01,2,110,84000
AK2110,AK,Juneau City and Borough,2008-01-01,2,110,87000
AK2110,AK,Juneau City and Borough,2009-01-01,2,110,91500
AK2110,AK,Juneau City and Borough,2010-01-01,2,110,91000
AK2110,AK,Juneau City and Borough,2011-01-01,2,110,92900
AK2110,AK,Juneau City and Borough,2012-01-01,2,110,94200
AK2110,AK,Juneau City and Borough,2013-01-01,2,110,94100
AK2110,AK,Juneau City and Borough,2014-01-01,2,110,95100
AK2110,AK,Juneau City and Borough,2015-01-01,2,110,96800
AK2110,AK,Juneau City and Borough,2016-01-01,2,110,97600
AK2110,AK,Juneau City and Borough,2017-01-01,2,110,101500
AK2122,AK,Kenai Peninsula Borough,1999-01-01,2,122,53300
AK2122,AK,Kenai Peninsula Borough,2000-01-01,2,122,53300
AK2122,AK,Kenai Peninsula Borough,2001-01-01,2,122,53300
AK2122,AK,Kenai Peninsula Borough,2002-01-01,2,122,53300
AK2122,AK,Kenai Peninsula Borough,2003-01-01,2,122,66700
AK2122,AK,Kenai Peninsula Borough,2004-01-01,2,122,67300
AK2122,AK,Kenai Peninsula Borough,2005-01-01,2,122,67300
AK2122,AK,Kenai Peninsula Borough,2006-01-01,2,122,66500
AK2122,AK,Kenai Peninsula Borough,2007-01-01,2,122,64600
AK2122,AK,Kenai Peninsula Borough,2008-01-01,2,122,66700
AK2122,AK,Kenai Peninsula Borough,2009-01-01,2,122,70200
AK2122,AK,Kenai Peninsula Borough,2010-01-01,2,122,71600
AK2122,AK,Kenai Peninsula Borough,2011-01-01,2,122,73400
AK2122,AK,Kenai Peninsula Borough,2012-01-01,2,122,74400
AK2122,AK,Kenai Peninsula Borough,2013-01-01,2,122,75800
AK2122,AK,Kenai Peninsula Borough,2014-01-01,2,122,76100
AK2122,AK,Kenai Peninsula Borough,2015-01-01,2,122,77000
AK2122,AK,Kenai Peninsula Borough,2016-01-01,2,122,77700
AK2122,AK,Kenai Peninsula Borough,2017-01-01,2,122,79800
AK2130,AK,Ketchikan Gateway Borough,1999-01-01,2,130,63700
AK2130,AK,Ketchikan Gateway Borough,2000-01-01,2,130,63700
AK2130,AK,Ketchikan Gateway Borough,2001-01-01,2,130,63700
AK2130,AK,Ketchikan Gateway Borough,2002-01-01,2,130,63700
AK2130,AK,Ketchikan Gateway Borough,2003-01-01,2,130,68100
AK2130,AK,Ketchikan Gateway Borough,2004-01-01,2,130,70600
AK2130,AK,Ketchikan Gateway Borough,2005-01-01,2,130,70600
AK2130,AK,Ketchikan Gateway Borough,2006-01-01,2,130,72600
AK2130,AK,Ketchikan Gateway Borough,2007-01-01,2,130,70600
AK2130,AK,Ketchikan Gateway Borough,2008-01-01,2,130,72900
AK2130,AK,Ketchikan Gateway Borough,2009-01-01,2,130,77000
AK2130,AK,Ketchikan Gateway Borough,2010-01-01,2,130,79200
AK2130,AK,Ketchikan Gateway Borough,2011-01-01,2,130,77000
AK2130,AK,Ketchikan Gateway Borough,2012-01-01,2,130,78000
AK2130,AK,Ketchikan Gateway Borough,2013-01-01,2,130,83400
AK2130,AK,Ketchikan Gateway Borough,2014-01-01,2,130,85100
AK2130,AK,Ketchikan Gateway Borough,2015-01-01,2,130,88900
AK2130,AK,Ketchikan Gateway Borough,2016-01-01,2,130,87900
AK2130,AK,Ketchikan Gateway Borough,2017-01-01,2,130,87400
