"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
2,0,ALASKA,286536,592147,18323986,13076967,351381,327103
2,13,Aleutians East Borough,802,1471,35993,24322,312,309
2,16,Aleutians West Census Area,1984,3628,96283,80368,806,573
2,20,Anchorage Municipality,123713,248540,8594189,6277227,167257,156648
2,50,Bethel Census Area,5681,14128,231750,178392,1633,1107
2,60,Bristol Bay Borough,468,882,29953,20024,420,442
2,68,Denali Borough,928,1798,56639,40919,720,956
2,70,Dillingham Census Area,1802,3997,78373,57334,1984,667
2,90,Fairbanks North Star Borough,38947,80974,2436690,1786628,37885,41416
2,100,Haines Borough,1104,2034,54906,30683,1366,1919
2,105,Hoonah-Angoon Census Area,834,1595,33608,19303,972,993
2,110,Juneau City and Borough,13732,26545,959744,649548,18749,19235
2,122,Kenai Peninsula Borough,22653,46320,1434676,919352,23436,34228
2,130,Ketchikan Gateway Borough,5924,11656,346238,235440,7643,8272
2,150,Kodiak Island Borough,5716,12512,321685,217133,7106,5504
2,164,Lake and Peninsula Borough,600,1292,25016,15637,748,266
2,170,Matanuska-Susitna Borough,32543,72518,2089785,1507538,20291,31000
2,180,Nome Census Area,3268,7403,149811,112830,1627,1092
2,185,North Slope Borough,2700,5733,157664,112986,19727,516
2,188,Northwest Arctic Borough,2356,5584,120036,85677,12312,400
2,195,Petersburg Census Area,1585,3124,89287,46707,2314,2971
2,198,Prince of Wales-Hyder Census Are,1876,3953,86975,59465,1960,1537
2,220,Sitka City and Borough,3837,7508,231647,141622,6221,6675
2,230,Skagway Municipality,574,911,31398,23889,294,797
2,240,Southeast Fairbanks Census Area,2899,6536,158731,112480,1503,2086
2,261,Valdez-Cordova Census Area,4148,8409,267651,180712,9897,4432
2,270,Wade Hampton Census Area,2383,6372,66266,48072,446,225
2,275,Wrangell City and Borough,959,1853,44980,26566,1306,1517
2,282,Yakutat City and Borough,252,472,11554,8189,166,346
2,290,Yukon-Koyukuk Census Area,2268,4399,82458,57925,2279,974
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
