"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
1,0,ALABAMA,1829366,4019930,90278239,68759093,1465514,2327637
1,1,Autauga County,20852,48164,1056918,844653,8732,17503
1,3,Baldwin County,70362,150553,3805343,2632074,86082,130903
1,5,Barbour County,9501,20582,349349,266535,6531,11915
1,7,Bibb County,7703,17772,331451,263519,3162,5028
1,9,Blount County,20207,48061,930826,745978,7251,20635
1,11,Bullock County,3569,7722,111649,88880,1730,2671
1,13,Butler County,7969,17467,288080,215285,3315,7303
1,15,Calhoun County,46125,100225,2036233,1561364,29726,50157
1,17,Chambers County,13752,29725,458643,370515,5036,9970
1,19,Cherokee County,8886,19752,366140,268739,3351,10959
1,21,Chilton County,15726,36964,677382,545892,4497,13552
1,23,Choctaw County,5172,11682,216636,170739,1297,6636
1,25,Clarke County,10105,23555,422150,328865,6088,11499
1,27,Clay County,5567,12764,214070,166504,1607,5257
1,29,Cleburne County,5247,12255,219360,175374,1123,4754
1,31,Coffee County,18538,40827,890688,676304,11018,23619
1,33,Colbert County,21924,47316,946127,723576,9944,25074
1,35,Conecuh County,4887,10783,178474,131036,1140,4372
1,37,Coosa County,4251,9196,160527,126027,1152,3510
1,39,Covington County,14118,30558,550746,424503,6080,17034
1,41,Crenshaw County,5312,11708,197641,157708,2104,5379
1,43,Cullman County,30249,68545,1310429,1022167,13223,44525
1,45,Dale County,19062,42223,791239,620497,5072,16330
1,47,Dallas County,16286,36210,548464,429682,10965,12333
1,49,DeKalb County,24975,58532,933572,765064,11014,25808
1,51,Elmore County,30475,68404,1530057,1194694,12281,27988
1,53,Escambia County,13588,30501,530383,403545,6362,13527
1,55,Etowah County,39392,86093,1701816,1279951,19506,45015
1,57,Fayette County,6170,13925,244181,197812,1915,8285
1,59,Franklin County,11813,29280,444906,347238,5837,13515
1,61,Geneva County,9701,21088,361275,280813,3013,11167
1,63,Greene County,3371,7632,109649,81682,9107,2695
1,65,Hale County,6263,14337,216354,174059,4905,5673
1,67,Henry County,6535,14351,298658,212822,2383,9209
1,69,Houston County,39539,86312,1997648,1445473,36816,62869
1,71,Jackson County,20166,44506,831449,644786,9348,23564
1,73,Jefferson County,266890,567340,15331313,11413346,413654,410890
1,75,Lamar County,5371,12140,201044,158078,1700,6835
1,77,Lauderdale County,34751,74818,1649556,1186217,23296,53505
1,79,Lawrence County,13009,29237,554637,449435,3183,9517
1,81,Lee County,48149,104960,2370320,1850307,42846,56207
1,83,Limestone County,30414,69328,1669400,1295710,22868,31176
1,85,Lowndes County,5116,11519,161898,128410,1013,2872
1,87,Macon County,8240,16945,260485,206819,1358,3875
1,89,Madison County,135322,290697,8655050,6660647,114301,212548
1,91,Marengo County,8082,18639,334023,249313,5441,9778
1,93,Marion County,10496,23569,391518,305637,4456,14977
1,95,Marshall County,34732,80727,1486325,1113462,19174,44955
1,97,Mobile County,160888,350026,7323145,5671087,93661,169491
1,99,Monroe County,8399,19699,339082,268537,4007,8417
1,101,Montgomery County,94559,200337,4496951,3332215,94901,123029
1,103,Morgan County,47421,106753,2390321,1788591,36792,53736
1,105,Perry County,3945,9032,110726,87195,1022,3201
1,107,Pickens County,7507,16599,271951,216860,2787,7263
1,109,Pike County,11163,23410,439394,338413,6275,14246
1,111,Randolph County,8295,18795,309610,241986,3729,9338
1,113,Russell County,20538,44185,683388,566686,4666,10335
1,115,St. Clair County,30680,68834,1526850,1239941,12478,27736
1,117,Shelby County,73294,169331,5628619,4297390,97390,139877
1,119,Sumter County,4937,10741,151454,121403,2116,3665
1,121,Talladega County,30726,67487,1241707,997889,9678,23907
1,123,Tallapoosa County,16260,36644,668358,505705,9192,20787
1,125,Tuscaloosa County,68737,147589,3515729,2655512,55276,96757
1,127,Walker County,24317,55174,1098985,840360,18970,26270
1,129,Washington County,6363,14906,283174,224453,1144,5752
1,131,Wilcox County,4645,10933,137120,104050,2201,3465
1,133,Winston County,8762,19966,337596,259086,3226,12996
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
