"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
5,0,ARKANSAS,1088897,2377639,49501143,37312019,848241,1378040
5,1,Arkansas County,7682,16352,333063,242241,6903,9376
5,3,Ashley County,8199,18516,333611,264547,2740,7047
5,5,Baxter County,16682,33312,665805,397593,17929,32811
5,7,Benton County,82360,189147,4737581,3805838,77657,104631
5,9,Boone County,13952,30645,565513,421940,8541,19918
5,11,Bradley County,4127,9303,151009,109220,1739,5079
5,13,Calhoun County,1853,4040,74268,58948,2527,1534
5,15,Carroll County,10488,22026,369079,255884,6857,16428
5,17,Chicot County,4105,9007,142182,104095,1401,4214
5,19,Clark County,8010,17044,310350,232047,5037,9612
5,21,Clay County,5799,12707,206584,152360,1722,7593
5,23,Cleburne County,9870,20729,414164,259632,8309,18436
5,25,Cleveland County,3084,7064,129655,103692,869,2848
5,27,Columbia County,8803,19022,416468,287988,5953,13621
5,29,Conway County,7898,17547,332853,239854,3119,8033
5,31,Craighead County,34480,75181,1603840,1192172,20198,40886
5,33,Crawford County,22215,50740,917034,736223,6697,17654
5,35,Crittenden County,20011,44931,756522,621501,6003,10596
5,37,Cross County,6813,15444,268219,204607,2451,6901
5,39,Dallas County,2959,6405,100795,80269,1129,3160
5,41,Desha County,4934,10988,181433,134201,2014,5276
5,43,Drew County,6674,14836,278394,207886,3588,9865
5,45,Faulkner County,39726,88189,2009465,1600446,17778,37973
5,47,Franklin County,6442,14452,266056,200954,3113,8402
5,49,Fulton County,3989,8789,129125,93351,1384,5329
5,51,Garland County,38732,78497,1698389,1057019,48685,74587
5,53,Grant County,6664,15110,307483,252248,1989,6132
5,55,Greene County,15165,34047,608001,460804,7114,16965
5,57,Hempstead County,8152,17956,265924,216773,3025,7264
5,59,Hot Spring County,11635,25558,436193,343257,3517,12469
5,61,Howard County,5272,11588,176889,144745,1377,4837
5,63,Independence County,13395,30534,563716,418448,5880,15335
5,65,Izard County,4577,9915,153060,104286,2276,5926
5,67,Jackson County,5883,12584,211859,155577,2538,6318
5,69,Jefferson County,30046,63983,1202870,933910,12056,24796
5,71,Johnson County,9008,20320,320802,253087,2839,8346
5,73,Lafayette County,2555,5622,89489,69462,842,3481
5,75,Lawrence County,5859,13256,198767,150623,2577,8505
5,77,Lee County,2995,6652,105044,67968,1607,3285
5,79,Lincoln County,3979,9054,149078,119135,608,2653
5,81,Little River County,4945,10668,194805,160254,1850,3831
5,83,Logan County,8295,18424,324028,241044,2384,8648
5,85,Lonoke County,25452,59105,1247007,1010401,8509,21290
5,87,Madison County,5677,12912,197258,163118,1599,6475
5,89,Marion County,6081,12566,194836,132093,3303,8863
5,91,Miller County,16087,34399,670558,512583,6525,16231
5,93,Mississippi County,17475,39537,681638,531189,6016,12134
5,95,Monroe County,3193,6845,105704,74317,797,3736
5,97,Montgomery County,3108,6838,105450,71893,1151,4280
5,99,Nevada County,3363,7467,114829,92622,1651,3364
5,101,Newton County,2913,6404,87679,64792,1731,2589
5,103,Ouachita County,9723,20960,380645,285897,4791,9330
5,105,Perry County,3714,8270,162700,114751,931,4182
5,107,Phillips County,7784,17355,246697,181755,2627,6854
5,109,Pike County,3878,8884,138423,107155,2155,7426
5,111,Poinsett County,8784,19710,308095,227999,3117,8368
5,113,Polk County,7105,16103,252954,182918,2243,9509
5,115,Pope County,22411,49383,958520,745396,9403,22313
5,117,Prairie County,3118,6733,117005,84895,795,3438
5,119,Pulaski County,160047,329612,8789933,6545069,242323,271138
5,121,Randolph County,6305,14119,213630,159648,1995,6290
5,123,St. Francis County,8860,19818,285964,223247,2642,5528
5,125,Saline County,40417,89371,2151696,1623282,26014,45238
5,127,Scott County,3947,9100,127218,98200,766,4046
5,129,Searcy County,2848,6391,75294,58155,824,3715
5,131,Sebastian County,47962,103928,2341544,1665860,67350,73466
5,133,Sevier County,5503,13212,189398,156526,1134,4795
5,135,Sharp County,6256,13774,196447,131931,2583,8009
5,137,Stone County,4303,9343,140889,91383,1654,9890
5,139,Union County,17122,37504,899491,618129,35374,27282
5,141,Van Buren County,6213,13203,259913,149182,3028,7546
5,143,Washington County,73058,158680,3559993,2849171,69263,96964
5,145,White County,27483,61941,1222659,921416,15628,32575
5,147,Woodruff County,2712,5820,96734,65276,1247,3022
5,149,Yell County,7683,18168,280879,215643,2252,7548
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
