"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
4,0,ARIZONA,2393659,5282826,126625088,96195598,2500915,4133161
4,1,Apache County,22780,57805,757209,661926,2629,6586
4,3,Cochise County,49610,108103,2233792,1629144,33230,55350
4,5,Coconino County,50564,107205,2506913,1894717,80078,70345
4,7,Gila County,20348,43420,875805,569767,16170,31405
4,9,Graham County,10514,25818,480861,380230,3094,11459
4,11,Greenlee County,2977,7088,166464,149536,733,2474
4,12,La Paz County,5975,12846,222616,138128,2317,8800
4,13,Maricopa County,1452968,3231382,82664409,64616032,1593914,2349068
4,15,Mohave County,73189,150508,2859813,1881229,37333,99356
4,17,Navajo County,35121,86393,1341925,1038937,12760,30169
4,19,Pima County,380872,790906,19745500,14064184,495640,1078008
4,21,Pinal County,113167,263372,5309342,4204018,61351,110566
4,23,Santa Cruz County,17539,44640,678250,496429,12557,23038
4,25,Yavapai County,85976,173072,4020939,2347412,127443,197664
4,27,Yuma County,72059,180268,2761250,2123907,21667,58874
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
