"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
8,0,COLORADO,2021333,4265061,125219713,94939823,2512851,3335432
8,1,Adams County,172528,394260,8647757,7362731,50787,111263
8,3,Alamosa County,5587,12057,237030,171454,5324,6522
8,5,Arapahoe County,234252,500986,15570995,12028791,313851,399278
8,7,Archuleta County,4722,9607,237228,124218,8550,11746
8,9,Baca County,1464,3108,51905,30890,840,3598
8,11,Bent County,1621,3535,51356,37823,466,2136
8,13,Boulder County,119985,239231,8992968,6549430,282287,307539
8,14,Broomfield County,38784,83299,2837466,2340978,35449,50060
8,15,Chaffee County,7074,13755,337503,193074,10640,17559
8,17,Cheyenne County,733,1606,32949,22472,460,2780
8,19,Clear Creek County,3928,7405,276134,195658,6756,7236
8,21,Conejos County,2766,6399,88111,68236,505,2342
8,23,Costilla County,1148,2451,36726,25175,536,817
8,25,Crowley County,1079,2380,34972,27447,501,1391
8,27,Custer County,1599,3236,78624,39218,2375,4016
8,29,Delta County,11941,25852,528307,363786,9816,18596
8,31,Denver County,258564,492478,14765508,11340625,394090,434828
8,33,Dolores County,773,1634,32780,24907,329,1176
8,35,Douglas County,104098,253789,10652512,8598822,168599,219602
8,37,Eagle County,22247,45155,1533154,1067375,49371,47450
8,39,Elbert County,8402,19388,639596,506099,8777,19926
8,41,El Paso County,243880,531644,13634065,10429487,248696,309948
8,43,Fremont County,15800,32616,683839,467312,10673,21810
8,45,Garfield County,21677,49393,1457049,1013437,25763,33339
8,47,Gilpin County,2292,4282,129327,105849,1809,2298
8,49,Grand County,6019,11448,333635,235001,7795,11755
8,51,Gunnison County,6161,11209,319756,200069,9251,13368
8,53,Hinsdale County,329,661,16881,7635,561,1195
8,55,Huerfano County,2546,5061,97677,57915,1992,4039
8,57,Jackson County,583,1173,29610,16664,835,1572
8,59,Jefferson County,216363,436160,15117252,11272399,298484,410494
8,61,Kiowa County,526,1189,25885,13168,349,885
8,63,Kit Carson County,2956,6520,126171,84607,1599,6457
8,65,Lake County,2776,5768,134017,99007,2876,3615
8,67,La Plata County,20812,39610,1283482,803441,44002,48974
8,69,Larimer County,121757,248093,7293974,5403243,147216,216864
8,71,Las Animas County,5947,12390,261234,192106,3232,8641
8,73,Lincoln County,1759,3841,75339,52448,1164,3457
8,75,Logan County,7588,16084,391841,264235,6971,22655
8,77,Mesa County,60784,125488,3511339,2467517,68981,93695
8,79,Mineral County,344,653,17833,8244,1069,1170
8,81,Moffat County,5503,12160,295254,248125,2418,4607
8,83,Montezuma County,9815,20157,462469,307382,10190,17050
8,85,Montrose County,16147,35945,751210,508506,14841,28865
8,87,Morgan County,10481,24744,455440,352964,6043,13062
8,89,Otero County,7086,15403,272379,198150,7161,8223
8,91,Ouray County,1772,3490,107431,57777,5382,6538
8,93,Park County,5817,11894,329829,243771,4822,6731
8,95,Phillips County,1605,3717,85358,45768,931,4161
8,97,Pitkin County,7814,12543,682305,348423,56958,53793
8,99,Prowers County,4571,10473,183698,128433,2451,10510
8,101,Pueblo County,61370,129498,2727707,2016056,34511,65388
8,103,Rio Blanco County,2586,5772,180231,128833,1710,3463
8,105,Rio Grande County,5417,11858,228340,144454,2919,10074
8,107,Routt County,10143,18687,778074,482151,24703,30393
8,109,Saguache County,1482,2891,47056,32129,1056,2965
8,111,San Juan County,292,471,9777,6519,400,432
8,113,San Miguel County,3157,5598,194235,112391,7764,8955
8,115,Sedgwick County,966,2033,39114,25585,514,2330
8,117,Summit County,13422,25499,850706,606470,30803,29894
8,119,Teller County,9558,20080,545239,397783,8109,12842
8,121,Washington County,1686,3729,73385,46026,1209,3483
8,123,Weld County,92762,214970,5120428,4074632,49773,116660
8,125,Yuma County,3687,8555,196257,114503,4551,8920
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
