"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
9,0,CONNECTICUT,1493765,3041553,118446509,90386245,2921686,3515457
9,1,Fairfield County,359817,757232,42144247,31458553,1359010,1498465
9,3,Hartford County,388539,780248,26874196,20747643,558233,712488
9,5,Litchfield County,81910,168110,5749330,4287840,154812,200220
9,7,Middlesex County,72584,145499,5583230,4234362,144989,149352
9,9,New Haven County,361556,726728,23274891,18219427,434661,601294
9,11,New London County,120107,239264,7698697,5817238,176035,197949
9,13,Tolland County,59774,124104,4466484,3490891,62478,98375
9,15,Windham County,49478,100368,2655433,2130290,31469,57314
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
