"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
13,0,GEORGIA,3745328,8269738,191808341,152220914,3323299,4633982
13,1,Appling County,6424,14723,242340,193713,1596,7039
13,3,Atkinson County,2870,7238,82812,69274,288,2829
13,5,Bacon County,3762,8648,136758,112292,1226,3953
13,7,Baker County,1221,2642,41982,31512,480,1298
13,9,Baldwin County,16211,33637,669561,469010,10894,17819
13,11,Banks County,6458,15172,257005,203235,4774,8738
13,13,Barrow County,26559,61285,1158853,988112,9278,25034
13,15,Bartow County,37933,89848,1713423,1420225,13243,32521
13,17,Ben Hill County,6470,14708,226870,162676,4883,7571
13,19,Berrien County,6385,14498,224675,171372,2845,7578
13,21,Bibb County,61872,130729,2768430,2041624,64016,80068
13,23,Bleckley County,4442,9969,194919,143397,2360,6410
13,25,Brantley County,5970,13881,216857,176834,916,3943
13,27,Brooks County,6021,13130,202664,153083,2708,6801
13,29,Bryan County,12409,30031,680136,588134,6271,12212
13,31,Bulloch County,21301,45927,911900,705007,14976,25640
13,33,Burke County,9019,20661,305037,243022,2930,6801
13,35,Butts County,8697,19255,356042,282605,2830,7608
13,37,Calhoun County,1958,4292,62837,49598,759,2096
13,39,Camden County,19045,43729,865812,709674,7286,13889
13,43,Candler County,3694,8581,128845,98138,1805,3546
13,45,Carroll County,40774,94140,1915149,1481114,23718,41146
13,47,Catoosa County,23522,53086,1063684,880634,4924,16644
13,49,Charlton County,3331,7698,124167,100338,922,3879
13,51,Chatham County,107394,213738,5205844,3861992,142287,217096
13,53,Chattahoochee County,3373,8972,110962,104956,418,663
13,55,Chattooga County,9061,20454,336257,253243,2446,6650
13,57,Cherokee County,80092,187600,5235244,4303753,61729,96874
13,59,Clarke County,39890,77697,1718892,1257369,41782,54118
13,61,Clay County,1139,2463,33920,24373,639,1718
13,63,Clayton County,109084,243417,3649230,3238250,16598,38324
13,65,Clinch County,2361,5477,75080,64084,321,1815
13,67,Cobb County,285773,617621,18661037,15163976,324999,386796
13,69,Coffee County,14111,32862,494881,390681,5725,16657
13,71,Colquitt County,15410,35686,553139,430168,8579,16706
13,73,Columbia County,45064,107250,3014592,2366937,41495,66465
13,75,Cook County,6034,13815,208122,164464,1721,5765
13,77,Coweta County,48236,117866,2777449,2254287,34912,48468
13,79,Crawford County,4654,10527,181785,149802,1732,2699
13,81,Crisp County,8006,18046,286174,211452,3596,9766
13,83,Dade County,5757,12924,236608,191463,2534,4588
13,85,Dawson County,8161,18060,439792,326304,7721,13950
13,87,Decatur County,10346,23247,374812,282982,6769,11777
13,89,DeKalb County,291658,583751,15264045,12389837,288275,328774
13,91,Dodge County,6969,15303,253114,192614,1836,7658
13,93,Dooly County,3885,8605,166458,101776,1217,5615
13,95,Dougherty County,36963,78188,1416758,1054804,28489,36618
13,97,Douglas County,51452,116729,2463018,2104478,14864,34880
13,99,Early County,4097,9292,150416,109066,1597,5280
13,101,Echols County,1138,2833,39672,32082,104,973
13,103,Effingham County,19656,46134,1016841,862993,6064,13011
13,105,Elbert County,8097,18212,286504,213423,5067,11236
13,107,Emanuel County,8481,19227,270865,212049,3162,8244
13,109,Evans County,4003,9205,147378,113777,1998,5993
13,111,Fannin County,8694,18509,317172,206564,6072,16290
13,113,Fayette County,40468,97657,3259646,2477120,58049,84163
13,115,Floyd County,35776,80994,1622300,1219443,31385,45991
13,117,Forsyth County,60632,153654,5126361,4241828,71140,107114
13,119,Franklin County,8843,19672,309459,231081,3613,12928
