"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
15,0,HAWAII,578371,1154372,30041103,22434238,529570,863349
15,1,Hawaii County,73083,146454,3325127,2359736,65391,143992
15,3,Honolulu County,411648,823596,22163053,16640619,382881,576486
15,5,Kalawao County,-1,-1,-1,-1,-1,-1
15,7,Kauai County,28903,56728,1392120,1030455,27204,41557
15,9,Maui County,64737,127594,3160803,2403427,54095,101314
1 Interest includes taxable and non-taxable interest,,,,,,,,
(1) Data has been suppressed to prevent disclosure.,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
