"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
16,0,IDAHO,587393,1346751,28314427,21078506,523074,908749
16,1,Ada County,153614,333263,8782304,6748708,170688,276021
16,3,Adams County,1542,3190,59965,36589,1965,3683
16,5,Bannock County,30687,68917,1398258,1074066,13390,30931
16,7,Bear Lake County,2253,5353,95283,72731,689,2818
16,9,Benewah County,3550,7725,141614,104301,2098,4292
16,11,Bingham County,16086,41272,707691,555617,6325,19178
16,13,Blaine County,9710,20854,833901,407375,61528,47131
16,15,Boise County,2675,5753,133607,95916,2649,4258
16,17,Bonner County,16164,33580,730476,468260,17274,36061
16,19,Bonneville County,37995,93237,2027460,1516051,44847,57425
16,21,Boundary County,4090,9272,158281,105370,2042,5542
16,23,Butte County,1049,2529,43303,34957,489,1460
16,25,Camas County,395,859,19466,13404,183,406
16,27,Canyon County,66031,165022,2688182,2147335,25616,66937
16,29,Caribou County,2571,6480,142565,101360,1904,3562
16,31,Cassia County,7589,20643,301068,224226,5431,12833
16,33,Clark County,306,876,12039,9653,83,253
16,35,Clearwater County,3225,6725,129393,87540,1990,4636
16,37,Custer County,1723,3629,76174,59283,1408,3267
16,39,Elmore County,10733,24433,424816,338157,4192,8222
16,41,Franklin County,4294,12013,187936,145859,1043,5636
16,43,Fremont County,4654,11814,174569,131169,1948,6160
16,45,Gem County,6324,14439,257465,185634,9845,7778
16,47,Gooding County,5586,14106,141204,159897,3094,8286
16,49,Idaho County,5524,11790,199325,136190,4876,11514
16,51,Jefferson County,8582,24053,392744,315035,2548,9076
16,53,Jerome County,8022,21209,281276,243275,2854,8796
16,55,Kootenai County,56428,119713,2735482,1910646,49378,89725
16,57,Latah County,13377,27271,641084,464386,12469,19871
16,59,Lemhi County,3141,6491,124597,82687,2574,11296
16,61,Lewis County,1799,3869,63208,45234,696,2538
16,63,Lincoln County,1776,4586,68491,57704,433,1625
16,65,Madison County,9455,25696,392931,296683,3692,11326
16,67,Minidoka County,7560,19064,314866,223940,5413,9370
16,69,Nez Perce County,16333,33276,759899,545828,13176,24208
16,71,Oneida County,1529,3858,64637,49612,754,2003
16,73,Owyhee County,3957,10026,129030,106923,1883,4250
16,75,Payette County,8405,20201,355703,264070,4358,10918
16,77,Power County,2846,7268,130735,85256,942,3396
16,79,Shoshone County,5056,10277,199561,153721,3900,5021
16,81,Teton County,3580,8642,184879,133120,3476,6129
16,83,Twin Falls County,29423,66605,1280300,923377,21450,44682
16,85,Valley County,4092,8381,196307,121872,5451,10439
16,87,Washington County,3662,8491,132355,95494,2028,5793
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
