"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
17,0,ILLINOIS,5337800,11526885,330102093,252052790,6726461,9727116
17,1,Adams County,28761,59786,1461535,1058919,39419,52609
17,3,Alexander County,2903,6234,99788,72749,747,2602
17,5,Bond County,6552,14062,309946,224943,4033,10015
17,7,Boone County,21919,55161,1327950,1047341,17920,29684
17,9,Brown County,2125,4525,98076,71647,2192,3518
17,11,Bureau County,15468,32525,755409,543681,11835,25067
17,13,Calhoun County,2024,4438,102301,74795,1440,3113
17,15,Carroll County,7200,14579,322366,213985,4897,14128
17,17,Cass County,5772,12763,258449,185556,3647,6804
17,19,Champaign County,75937,151786,4188298,3009367,98070,130366
17,21,Christian County,14530,30513,702025,480097,12225,20942
17,23,Clark County,6975,14943,345167,225926,16941,10738
17,25,Clay County,5928,12578,249919,170357,4519,7576
17,27,Clinton County,15287,32776,837600,623946,10755,26741
17,29,Coles County,19529,39431,938138,633670,19475,34643
17,31,Cook County,2198638,4593549,130340490,101160564,2886497,3985261
17,33,Crawford County,8225,17070,409614,282597,8160,11592
17,35,Cumberland County,4572,9937,201311,143421,2122,6635
17,37,DeKalb County,40311,86773,2252246,1711625,34888,60438
17,39,De Witt County,7023,14783,367484,270049,4540,10780
