"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
18,0,INDIANA,2668583,5826659,136943784,105726527,2164556,3317290
18,1,Adams County,13123,32471,595568,408295,7783,18753
18,3,Allen County,147966,324028,7773038,5858938,146821,200649
18,5,Bartholomew County,32801,76011,1864667,1421096,31446,47740
18,7,Benton County,3698,8172,172052,119665,3061,4909
18,9,Blackford County,5716,12021,227405,168489,3303,5502
18,11,Boone County,22378,52672,1914020,1435806,41497,50492
18,13,Brown County,6691,13951,324400,235540,6368,7931
18,15,Carroll County,8540,19185,419353,305088,4338,10382
18,17,Cass County,16544,37321,703404,533055,9380,18343
18,19,Clark County,47785,100357,2207584,1769258,23831,43301
18,21,Clay County,11013,24340,469284,367239,4079,10516
18,23,Clinton County,13948,32648,617689,474982,7823,13875
18,25,Crawford County,4233,9191,153036,123860,904,3187
18,27,Daviess County,11960,28334,547428,374487,8444,15845
18,29,Dearborn County,21496,47609,1171886,926950,18479,22227
18,31,Decatur County,11157,24659,500672,386754,8361,13142
18,33,DeKalb County,17754,39284,818852,647166,17334,20300
18,35,Delaware County,44690,90746,1961303,1438329,30221,53117
18,37,Dubois County,18104,40266,1058388,755251,35410,40633
18,39,Elkhart County,80306,193474,3641158,2885028,67895,105753
18,41,Fayette County,9942,21271,378167,280091,6071,10251
18,43,Floyd County,31878,67558,1785110,1367290,25697,42303
18,45,Fountain County,7449,16641,331614,252496,3379,7754
18,47,Franklin County,9801,22895,495280,384393,9826,14087
18,49,Fulton County,8727,19479,375244,280507,5146,10857
18,51,Gibson County,13890,30249,689330,522567,10379,17048
18,53,Grant County,27983,59096,1147880,839466,11460,29689
18,55,Greene County,13158,28574,560472,437123,4258,13159
18,57,Hamilton County,103571,253345,9619229,7587700,192939,251900
18,59,Hancock County,28803,65144,1774497,1397718,22317,35788
18,61,Harrison County,16322,35471,767540,609724,9000,18738
18,63,Hendricks County,57822,134428,3785543,3087011,36577,66234
18,65,Henry County,20437,43591,894442,665606,12095,19697
18,67,Howard County,36393,76811,1770874,1275977,19249,41191
18,69,Huntington County,16309,35027,728088,565481,12341,18825
18,71,Jackson County,18846,44286,819783,655562,15958,19352
18,73,Jasper County,13377,30999,691430,531173,6967,17163
18,75,Jay County,8956,19974,344164,265374,3515,8337
18,77,Jefferson County,13514,28581,624513,469602,8366,17263
18,79,Jennings County,11600,26304,447686,365693,2239,9023
18,81,Johnson County,57940,131117,3512907,2733414,43990,71579
18,83,Knox County,15129,31568,672492,498616,9352,19241
18,85,Kosciusko County,32852,74616,1661727,1265112,27351,51186
18,87,LaGrange County,13991,35546,574188,429012,6771,15545
18,89,Lake County,204713,439090,10340338,8163646,132756,216827
18,91,LaPorte County,45820,97124,2192306,1699734,27483,59511
18,93,Lawrence County,19064,40879,836787,640301,7472,21331
18,95,Madison County,55253,115000,2359719,1713784,23532,49766
18,97,Marion County,392592,833823,18783844,14961477,312827,388924
18,99,Marshall County,19126,44380,879874,671952,10412,28266
18,101,Martin County,4338,9297,198816,148001,1638,4854
18,103,Miami County,14246,30899,598629,454249,6291,13752
18,105,Monroe County,48498,92362,2552053,1855589,81541,76189
18,107,Montgomery County,15986,36023,730586,570144,10998,17974
18,109,Morgan County,29158,65178,1558828,1228321,13710,26435
18,111,Newton County,5865,12847,284572,211337,2113,5395
18,113,Noble County,19079,44743,826728,654581,8817,18008
18,115,Ohio County,2718,5680,134342,99786,758,2201
18,117,Orange County,7854,17070,299925,237549,6539,8308
18,119,Owen County,8863,19337,362894,276803,3579,7695
18,121,Parke County,6323,13865,272619,202258,4007,6611
18,123,Perry County,7525,15759,323819,254840,5544,8423
18,125,Pike County,5302,11370,241222,187399,2463,5522
18,127,Porter County,68185,148956,4350993,3394449,59408,99442
18,129,Posey County,10740,23956,637433,471001,11900,15205
18,131,Pulaski County,5573,12326,274115,178448,4176,10332
18,133,Putnam County,13973,30734,653327,514797,7291,15364
18,135,Randolph County,11151,24075,442337,332044,5209,11206
18,137,Ripley County,11235,25633,537979,429866,8497,13323
18,139,Rush County,7261,15975,319551,236171,4193,8823
18,141,St. Joseph County,110564,235778,5524869,4301026,95719,156710
18,143,Scott County,9751,21032,373961,305546,2582,6756
18,145,Shelby County,19042,42595,902363,717020,9437,19335
18,147,Spencer County,8737,19537,418656,332345,5437,10169
18,149,Starke County,9489,21065,379317,295357,3223,7790
18,151,Steuben County,14089,29936,643715,472488,12144,18371
18,153,Sullivan County,8149,17578,361638,273534,3779,7094
18,155,Switzerland County,3544,7683,133482,110475,780,2728
18,157,Tippecanoe County,63388,132996,3293035,2541013,58931,82847
18,159,Tipton County,6843,14987,365904,256465,3243,11244
18,161,Union County,2938,6524,118977,92661,1181,3286
18,163,Vanderburgh County,75386,151888,3765212,2771809,93725,112693
18,165,Vermillion County,6978,14816,312173,240357,4071,6122
18,167,Vigo County,41908,86020,1922210,1430327,38367,53642
18,169,Wabash County,14011,29898,634126,452763,11573,18088
18,171,Warren County,3608,7978,191427,134296,1252,3708
18,173,Warrick County,23900,55064,1594503,1221882,27151,37585
18,175,Washington County,11355,24821,446407,355527,3148,10871
18,177,Wayne County,29384,61280,1217872,909669,20451,32218
18,179,Wells County,11316,24916,551058,406267,7891,14704
18,181,White County,10626,23125,483580,350421,7171,12898
18,183,Whitley County,14543,31450,722274,564770,8124,15941
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
