"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
20,0,KANSAS,1157226,2510206,64980613,48593950,1321538,1879103
20,1,Allen County,5516,11662,216814,162241,3090,6901
20,3,Anderson County,3347,7386,128240,102381,1948,5903
20,5,Atchison County,6587,14139,289927,224478,5737,8154
20,7,Barber County,2075,4360,105762,59764,1435,3907
20,9,Barton County,11517,24958,567593,397239,12748,23077
20,11,Bourbon County,5915,13110,228993,173467,3683,10007
20,13,Brown County,4170,8977,175491,120180,4319,6303
20,15,Butler County,24928,56991,1513261,1173456,22335,33238
20,17,Chase County,1106,2327,43593,32432,1515,2912
20,19,Chautauqua County,1476,3076,92142,39163,1174,2879
20,21,Cherokee County,8297,18266,334882,249995,4139,8245
20,23,Cheyenne County,1185,2459,43770,26330,637,2441
20,25,Clark County,870,1923,42928,26596,933,1862
20,27,Clay County,3701,8025,165419,112553,3349,6009
20,29,Cloud County,3934,8219,157919,110259,2627,7136
20,31,Coffey County,3594,7977,184929,144784,2243,6263
20,33,Comanche County,756,1590,39068,19691,840,1366
20,35,Cowley County,14547,31293,638115,476617,9613,17861
20,37,Crawford County,15064,31108,620242,455499,15816,27757
20,39,Decatur County,1344,2666,56319,30354,1964,3558
20,41,Dickinson County,8561,18186,377259,276850,5513,11925
20,43,Doniphan County,3154,6657,138345,104450,1212,4026
20,45,Douglas County,41933,81082,2279949,1732218,48294,57575
20,47,Edwards County,1335,2845,56655,39016,1043,2412
20,49,Elk County,1205,2467,41418,28305,823,1918
20,51,Ellis County,11844,23663,648247,444796,13472,21491
20,53,Ellsworth County,2507,5089,112039,77918,2026,4457
20,55,Finney County,14717,37185,677327,524628,9086,17653
20,57,Ford County,12849,33666,576047,436378,9759,14675
20,59,Franklin County,10751,23410,492496,394214,4829,12049
20,61,Geary County,15574,33655,557313,459302,4512,9104
20,63,Gove County,1159,2541,54177,28838,1024,3487
20,65,Graham County,1217,2442,55497,32223,645,2050
20,67,Grant County,2846,7485,158865,114146,1589,3613
