"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
21,0,KENTUCKY,1665421,3595170,80335625,61050224,1325674,1981252
21,1,Adair County,6094,13606,200447,157049,1184,7643
21,3,Allen County,6828,15388,266600,211320,4481,5845
21,5,Anderson County,9010,20026,443788,343363,3002,9683
21,7,Ballard County,3262,7075,147962,112950,1010,3693
21,9,Barren County,16208,35474,658030,499582,10443,19303
21,11,Bath County,4141,9352,143298,117204,848,3160
21,13,Bell County,8938,20007,317819,239178,2872,9787
21,15,Boone County,47276,107693,3012991,2493517,35257,42540
21,17,Bourbon County,8018,17712,349614,274338,7044,10398
21,19,Boyd County,18771,40131,912562,676816,9734,23832
21,21,Boyle County,10786,22945,508752,371682,12013,16749
21,23,Bracken County,3436,7733,139454,119152,1000,2058
21,25,Breathitt County,4508,10446,162783,131258,633,3886
21,27,Breckinridge County,7215,16385,282368,208262,3597,8377
21,29,Bullitt County,30599,67110,1494381,1201634,8587,22148
21,31,Butler County,4680,10649,171338,136616,1192,3932
21,33,Caldwell County,5029,10793,201086,148260,3615,6089
21,35,Calloway County,13033,27195,562499,388017,8280,19186
21,37,Campbell County,37185,75827,2029732,1606357,42057,37731
21,39,Carlisle County,2025,4432,84037,59768,579,2903
21,41,Carroll County,4612,10569,193330,158425,1459,4266
21,43,Carter County,9922,22829,384257,304872,1373,6880
21,45,Casey County,5389,12324,161777,128469,1654,4527
21,47,Christian County,27827,63785,973947,712535,17187,23386
21,49,Clark County,14470,30969,680114,523673,13097,16749
21,51,Clay County,6216,14788,202997,159178,934,4929
21,53,Clinton County,3459,7845,106643,80685,358,3367
21,55,Crittenden County,3265,7224,126920,96221,1390,2943
21,57,Cumberland County,2435,5254,74747,55737,477,3340
21,59,Daviess County,38913,83891,1902395,1397825,38823,56972
21,61,Edmonson County,4349,9862,158205,125273,549,4297
21,63,Elliott County,2078,4927,79258,61201,197,1580
21,65,Estill County,5315,11901,181011,142561,589,3609
21,67,Fayette County,118181,238512,6594770,4991881,151571,187339
21,69,Fleming County,5501,12544,196257,157970,2057,5819
21,71,Floyd County,13388,30427,562654,439800,3660,11909
21,73,Franklin County,21721,43017,1083467,713464,15489,32438
21,75,Fulton County,2468,5132,81188,55382,1476,3262
21,77,Gallatin County,3027,6950,119374,102913,565,1407
21,79,Garrard County,6214,13759,255676,203652,2229,6556
21,81,Grant County,9781,22373,404810,341779,1907,6295
21,83,Graves County,13739,30912,564177,409910,7437,18301
21,85,Grayson County,9362,20875,333857,255718,2998,8966
21,87,Green County,4095,9095,132166,103906,775,4499
21,89,Greenup County,14074,31705,690258,530161,6376,14724
21,91,Hancock County,3314,7843,159091,131245,798,3233
21,93,Hardin County,40551,89705,1875344,1426373,19798,42975
21,95,Harlan County,9497,22463,364041,294144,1952,8691
21,97,Harrison County,7197,15984,306606,246376,2775,8085
