"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
25,0,MASSACHUSETTS,2772818,5505607,198294040,153256964,4322790,7654211
25,1,Barnstable County,103978,192591,6499833,3911454,265013,302684
25,3,Berkshire County,57238,108972,3152225,2188157,104304,118310
25,5,Bristol County,227904,464297,13231820,10717612,153833,274846
25,7,Dukes County,8132,14505,512945,287536,25523,23661
25,9,Essex County,314115,641212,22498375,17369793,489966,632891
25,11,Franklin County,31607,60303,1614099,1199009,37446,45815
25,13,Hampden County,192659,388481,9974455,7861552,129369,236988
25,15,Hampshire County,63127,120381,3789764,2786221,86349,115094
25,17,Middlesex County,641961,1271885,54919424,42353141,1342563,3748217
25,19,Nantucket County,5368,9398,407879,227875,16870,15568
25,21,Norfolk County,281703,580224,26546626,20056559,638548,858720
25,23,Plymouth County,206695,437679,15195589,11802702,251311,332490
25,25,Suffolk County,309322,523321,18174129,14956559,486682,489617
25,27,Worcester County,329009,692358,21776878,17538796,295013,459309
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
