"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
24,0,MARYLAND,2420779,4973154,165077507,129586408,2928919,3852123
24,1,Allegany County,27734,55639,1235295,929282,18903,31820
24,3,Anne Arundel County,228771,471252,17580625,13694193,275505,392673
24,5,Baltimore County,350588,700656,23173870,17782844,553728,673361
24,9,Calvert County,36677,81521,2820289,2245867,31246,51062
24,11,Caroline County,13354,28539,617113,493424,6880,13452
24,13,Carroll County,69019,154990,5107256,4101745,70582,110796
24,15,Cecil County,40308,87600,2371038,1907026,25727,41360
24,17,Charles County,61590,132465,4300396,3592506,23114,63382
24,19,Dorchester County,14052,28218,609618,444512,14007,20929
24,21,Frederick County,97032,212370,7150136,5836307,115378,143649
24,23,Garrett County,11859,25374,558001,394373,8648,16640
24,25,Harford County,104008,225992,7292337,5848905,81412,136173
24,27,Howard County,114469,257191,11126997,8951691,176403,233510
24,29,Kent County,8261,16124,491166,287536,29508,22922
24,31,Montgomery County,409551,845413,37133555,27539753,977848,1165394
24,33,Prince George's County,379946,753122,20915033,17730791,103882,219577
24,35,Queen Anne's County,19384,41779,1448134,1056419,34578,39332
24,37,St. Mary's County,42168,92444,2862370,2340610,26006,47495
24,39,Somerset County,8387,16932,328543,243111,4945,8427
24,41,Talbot County,16007,31625,1172902,665466,71596,65306
24,43,Washington County,60939,126633,3224716,2542135,48230,71162
24,45,Wicomico County,38852,79483,1900680,1488555,32785,50930
24,47,Worcester County,24100,45313,1269664,746396,38417,62853
24,510,Baltimore city,243723,462479,10387773,8722961,159589,169917
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
