"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
23,0,MAINE,560581,1117992,28081290,20978796,652748,763761
23,1,Androscoggin County,44646,89858,2000481,1649407,21687,39315
23,3,Aroostook County,28894,59484,1195855,900877,14408,28885
23,5,Cumberland County,124352,242139,7747567,5705038,225255,217327
23,7,Franklin County,11844,23966,503406,378851,9294,13145
23,9,Hancock County,23471,45145,1154680,726564,48844,46885
23,11,Kennebec County,51893,103681,2445839,1884529,38596,56360
23,13,Knox County,17220,33395,823661,512151,40798,34141
23,15,Lincoln County,15553,30337,747651,465482,37898,35017
23,17,Oxford County,22999,46630,945896,723373,16908,23229
23,19,Penobscot County,61306,123125,2863016,2247379,44164,65483
23,21,Piscataquis County,6780,13784,258850,186775,4586,7864
23,23,Sagadahoc County,15991,32163,838022,604638,23256,25051
23,25,Somerset County,20213,41688,808084,643475,8632,18549
23,27,Waldo County,15860,32056,676968,487831,18629,18861
23,29,Washington County,13070,26657,480436,333921,8088,13674
23,31,York County,86489,173884,4590878,3528505,91706,119976
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
