"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
26,0,MICHIGAN,4076179,8656059,216769163,162945643,4022423,5839255
26,1,Alcona County,4813,9410,176456,88675,3991,8022
26,3,Alger County,3757,7757,154514,106612,2188,3569
26,5,Allegan County,46310,104451,2294537,1772639,45044,53877
26,7,Alpena County,12850,26187,539660,359036,23278,19272
26,9,Antrim County,10222,21301,514444,278645,16248,22389
26,11,Arenac County,6904,14192,259576,167646,4373,7312
26,13,Baraga County,3292,6802,134461,95430,2401,3926
26,15,Barry County,24543,54853,1347498,939006,28157,28056
26,17,Bay County,48084,97705,2217871,1602818,40321,68247
26,19,Benzie County,7746,15848,333375,204532,13372,14489
26,21,Berrien County,65706,139082,3258385,2412453,81648,87794
26,23,Branch County,17566,38952,716995,540725,10661,44140
26,25,Calhoun County,56064,117629,2586376,1947287,46438,59895
26,27,Cass County,21108,45241,1008425,741841,20204,27156
26,29,Charlevoix County,11420,23626,594038,361498,20659,24953
26,31,Cheboygan County,11238,23104,460021,286747,15764,17466
26,33,Chippewa County,14299,29107,574386,417320,7939,13483
26,35,Clare County,12250,25617,432827,284855,5959,11060
26,37,Clinton County,29770,67479,1802132,1361813,18871,40696
26,39,Crawford County,5579,11484,211417,141323,3046,5535
26,41,Delta County,15861,33184,702470,508385,10866,20649
26,43,Dickinson County,11518,23981,556409,400659,12552,19349
26,45,Eaton County,46897,98361,2466968,1847842,29395,58199
26,47,Emmet County,14549,29808,788046,502214,29138,39612
26,49,Genesee County,177568,373193,8255211,5889494,105759,179208
26,51,Gladwin County,10653,22191,421607,262635,6472,13507
26,53,Gogebic County,6340,12349,245282,169310,6814,8076
26,55,Grand Traverse County,38462,77827,2005614,1394748,57575,63696
26,57,Gratiot County,15516,33911,674697,495055,9407,17424
26,59,Hillsdale County,18365,40647,747084,558661,11304,18890
26,61,Houghton County,12959,27324,550221,401765,12379,15972
26,63,Huron County,15232,31124,627666,403534,13036,33451
26,65,Ingham County,110736,220319,5662306,4314163,91027,197488
26,67,Ionia County,23842,54207,1064554,849414,9265,22136
26,69,Iosco County,11419,22426,410518,237535,8509,15409
26,71,Iron County,5084,10007,193507,130346,3766,7371
26,73,Isabella County,23060,47310,1092166,753289,16721,26219
26,75,Jackson County,63648,135314,3033908,2327367,47578,74167
26,77,Kalamazoo County,101042,207484,5561346,4258042,144516,136045
26,79,Kalkaska County,7021,14746,279695,197357,4065,5949
26,81,Kent County,245480,544654,13329003,10434577,257235,322004
26,83,Keweenaw County,937,1849,39064,23114,1336,1962
26,85,Lake County,4371,8755,133376,85623,2827,3488
26,87,Lapeer County,36237,81820,1886986,1422972,19669,40146
26,89,Leelanau County,9561,19525,596601,329670,30353,32452
26,91,Lenawee County,40566,88208,1940769,1463923,23606,41872
26,93,Livingston County,73455,168555,5238724,4077667,73190,115193
26,95,Luce County,2346,4882,95805,63665,1481,2431
26,97,Mackinac County,5129,10040,206114,126842,5429,7774
26,99,Macomb County,367102,764614,19640622,15219739,252635,533266
26,101,Manistee County,10391,20783,429723,281310,9524,15524
26,103,Marquette County,26724,53684,1307842,959073,25907,29260
26,105,Mason County,12218,25385,511309,352400,11453,15558
26,107,Mecosta County,15011,31755,635762,435374,10841,15326
26,109,Menominee County,10193,20884,438877,326554,9448,12031
26,111,Midland County,34860,76545,2409188,1813187,91962,65343
26,113,Missaukee County,5842,13087,215781,151384,2477,6010
26,115,Monroe County,64326,140182,3542884,2745474,48548,80211
26,117,Montcalm County,24478,54799,951926,727668,19009,20401
26,119,Montmorency County,4194,8268,148601,79366,2524,5446
26,121,Muskegon County,68534,148236,2942672,2274984,48473,62378
26,123,Newaygo County,19214,43459,788483,594492,10882,16995
26,125,Oakland County,510717,1079671,38978412,29639265,920369,1264009
26,127,Oceana County,10813,24331,430193,291141,8694,12669
26,129,Ogemaw County,9040,18390,316723,211582,5910,9372
26,131,Ontonagon County,2856,5616,114346,75473,2533,3031
26,133,Osceola County,9248,20367,352180,255543,5022,8326
26,135,Oscoda County,3465,7170,114102,63340,1450,3882
26,137,Otsego County,10324,22080,412598,325261,7123,13458
26,139,Ottawa County,101246,238034,5924446,4482992,141930,158124
26,141,Presque Isle County,5848,11928,237976,144745,10446,8336
26,143,Roscommon County,10543,20443,390189,205388,8527,15339
26,145,Saginaw County,82929,173348,3801149,2694135,54760,105048
26,147,St. Clair County,74381,153884,3465482,2627510,48179,84461
26,149,St. Joseph County,25079,56028,1063693,805953,15155,25520
26,151,Sanilac County,17794,38797,683239,487682,11441,22184
