"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
29,0,MISSOURI,2420853,5090206,129451753,96850724,2800243,3737530
29,1,Adair County,8723,18089,370804,254366,10864,15810
29,3,Andrew County,7498,16466,384757,299901,4892,11289
29,5,Atchison County,2467,5083,118864,71735,1818,4752
29,7,Audrain County,9885,21200,399454,285910,7067,14616
29,9,Barry County,13080,29117,482341,350208,8968,20147
29,11,Barton County,4882,11047,175534,126660,2372,7295
29,13,Bates County,6596,14631,269357,201722,5954,10034
29,15,Benton County,7312,15024,242353,157630,3777,9847
29,17,Bollinger County,4443,9993,162091,122474,3439,4555
29,19,Boone County,62494,124745,3367833,2532175,91364,92605
29,21,Buchanan County,35905,73809,1610221,1251763,22916,46254
29,23,Butler County,16447,34745,629985,438218,8516,19991
29,25,Caldwell County,3556,8026,150471,115942,1033,4408
29,27,Callaway County,17370,36468,767011,600949,9445,16996
29,29,Camden County,17334,35070,783761,475904,20086,34474
29,31,Cape Girardeau County,29967,62692,1618146,1116778,33263,52442
29,33,Carroll County,3939,8362,173764,113016,2505,8278
29,35,Carter County,2243,4961,69428,53423,703,2911
29,37,Cass County,40163,89919,2261223,1781088,23117,50538
29,39,Cedar County,5202,11253,166112,118314,2685,7759
29,41,Chariton County,3200,6837,139839,91361,1882,6960
29,43,Christian County,29358,67473,1433550,1128999,17003,34963
29,45,Clark County,2892,6170,111894,79506,1674,4175
29,47,Clay County,94225,200040,5497741,4466372,62888,102598
29,49,Clinton County,8549,18794,433457,339325,3896,12976
29,51,Cole County,31299,65871,1755743,1258200,39288,55116
29,53,Cooper County,6741,14304,274383,212324,4138,10132
29,55,Crawford County,9455,20743,354331,263876,4265,10652
29,57,Dade County,3019,6563,101557,72731,1490,4607
29,59,Dallas County,6290,14032,207442,154669,3789,7961
29,61,Daviess County,3233,7535,121750,88316,1505,4948
29,63,DeKalb County,3756,8182,159859,129797,1458,4282
29,65,Dent County,5415,11922,191306,143148,2735,7305
29,67,Douglas County,4669,10421,139738,102513,1633,5720
29,69,Dunklin County,11200,24689,412890,294837,5867,11288
29,71,Franklin County,43242,94087,2284700,1717548,36546,62725
29,73,Gasconade County,6431,13536,257174,191087,5504,12112
29,75,Gentry County,2603,5708,92529,71030,1410,4692
29,77,Greene County,112757,225516,5537517,3908621,202296,197389
29,79,Grundy County,4035,8523,150651,105742,2189,5973
29,81,Harrison County,3521,7593,116591,85096,1709,7152
29,83,Henry County,9094,19080,368700,262147,5547,16546
29,85,Hickory County,3433,7070,103713,65062,1555,4286
29,87,Holt County,2146,4441,90080,58625,1068,3496
29,89,Howard County,3978,8381,159244,118138,3705,6093
29,91,Howell County,14828,32862,522022,389687,8240,20245
29,93,Iron County,3831,8395,139727,109142,1579,3680
29,95,Jackson County,281733,569076,14204241,11070725,238925,351316
29,97,Jasper County,45639,97830,1864067,1470494,39849,48296
29,99,Jefferson County,91786,199783,4850439,3937266,45499,77546
29,101,Johnson County,19453,42176,874037,678768,8267,21137
29,103,Knox County,1647,3538,50003,33444,614,3423
29,105,Laclede County,13621,30359,495410,370881,8174,18140
29,107,Lafayette County,13583,29347,611335,459052,8758,19443
29,109,Lawrence County,14394,32670,558213,430691,6903,17081
29,111,Lewis County,3887,8316,151976,119557,1752,4759
29,113,Lincoln County,20732,47361,1001387,825017,7696,21124
29,115,Linn County,5255,11289,209848,150364,3061,9894
29,117,Livingston County,5788,12193,245525,168051,5142,13386
29,119,McDonald County,7987,18542,273200,227138,3677,5219
29,121,Macon County,6431,13761,251885,178820,3592,11519
29,123,Madison County,4654,10220,178271,133125,1512,5141
29,125,Maries County,3320,7314,117343,94616,1643,4206
29,127,Marion County,11733,24861,520492,387453,8060,14905
29,129,Mercer County,1433,3153,48238,37277,594,1880
29,131,Miller County,9381,20272,333957,255056,3575,9527
29,133,Mississippi County,4812,10264,173115,122696,2937,4942
29,135,Moniteau County,5885,13296,229905,182503,3097,8967
29,137,Monroe County,3703,7942,149557,107264,2373,5089
29,139,Montgomery County,4972,10648,195751,145721,3412,7874
29,141,Morgan County,7987,16899,285443,170882,25341,11238
29,143,New Madrid County,6930,15008,267538,198876,1770,6016
29,145,Newton County,21693,48809,967638,733017,17950,30199
29,147,Nodaway County,7932,16284,352336,254574,3153,12816
29,149,Oregon County,3431,7760,109291,79315,2782,3939
29,151,Osage County,5400,12228,238699,189006,2753,9297
29,153,Ozark County,3457,7401,103285,68393,2523,4393
29,155,Pemiscot County,6622,14580,242097,178861,1648,6115
29,157,Perry County,7601,16542,336151,260703,4096,10482
29,159,Pettis County,16909,37519,670969,505602,10173,23203
29,161,Phelps County,16359,34720,699559,515677,11558,19979
29,163,Pike County,6684,14413,281991,203868,6741,8769
29,165,Platte County,37415,79707,2703473,2111761,40773,59600
29,167,Polk County,11019,24872,400148,304246,7335,14682
29,169,Pulaski County,16805,39610,679862,564233,5045,11602
29,171,Putnam County,1926,4227,66783,44514,1415,3918
29,173,Ralls County,4132,9022,194633,143206,3564,4932
29,175,Randolph County,9762,20733,379545,293125,5290,11554
29,177,Ray County,9406,21232,455772,359015,3955,10344
29,179,Reynolds County,2310,5118,86184,67605,597,4724
29,181,Ripley County,4934,10985,148873,114049,1100,4576
29,183,St. Charles County,148751,330703,10180209,8236112,129851,193113
29,185,St. Clair County,3417,7182,111491,75616,1514,5746
29,186,Ste. Genevieve County,7653,16697,397806,288954,7178,12889
29,187,St. Francois County,23392,50259,963835,736752,10625,22048
29,189,St. Louis County,435866,896112,34156429,23761811,1192508,1179572
29,195,Saline County,9144,19186,366916,260484,5239,13413
29,197,Schuyler County,1512,3411,46926,35034,678,2165
29,199,Scotland County,1840,4225,66998,39797,919,3831
29,201,Scott County,15778,34191,668665,485239,11113,20102
29,203,Shannon County,2878,6478,80968,61759,830,3395
29,205,Shelby County,2643,5758,101429,67201,1878,4235
29,207,Stoddard County,11525,24901,471202,333554,5241,15734
29,209,Stone County,12869,26623,521627,312288,10609,20743
29,211,Sullivan County,2695,5948,87008,68770,840,3392
29,213,Taney County,19800,40283,718485,511216,12367,28099
29,215,Texas County,8861,19436,282174,214093,4288,13219
29,217,Vernon County,7902,17097,278703,212854,3920,9855
29,219,Warren County,13268,29159,662515,506991,9461,16774
29,221,Washington County,8261,18843,280915,235212,2112,5018
29,223,Wayne County,4560,9781,139295,99621,1635,4754
29,225,Webster County,13072,31501,521068,418479,4718,13736
29,227,Worth County,894,1897,29246,20004,322,1607
29,229,Wright County,6423,15026,202482,149348,2607,9357
29,510,St. Louis city,134600,244161,5495267,4396953,121472,114466
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
