"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
31,0,NEBRASKA,747358,1617858,41405474,30702515,940303,1361868
31,1,Adams County,12421,27014,659127,448022,16152,29499
31,3,Antelope County,2736,6142,102649,74602,2295,5901
31,5,Arthur County,175,391,5017,3507,117,420
31,7,Banner County,252,555,9072,6827,137,483
31,9,Blaine County,183,435,1723,3327,361,452
31,11,Boone County,2348,5241,110842,68846,1994,6017
31,13,Box Butte County,4836,10498,259040,194935,5106,7223
31,15,Boyd County,841,1802,24242,17444,524,1808
31,17,Brown County,1292,2741,40270,31894,974,3849
31,19,Buffalo County,18004,38896,1041251,727436,67230,36051
31,21,Burt County,2879,6294,134167,90810,2140,4765
31,23,Butler County,3543,7903,165576,115690,2606,7122
31,25,Cass County,10544,23575,604152,463696,8235,14264
31,27,Cedar County,3586,8321,170149,105682,3084,8265
31,29,Chase County,1526,3432,81778,44496,2763,4678
31,31,Cherry County,2347,4926,84872,58917,3134,6717
31,33,Cheyenne County,4356,9145,225730,178013,3070,8049
31,35,Clay County,2624,5906,125328,81561,1934,5237
31,37,Colfax County,4037,9873,175944,130629,1756,7431
31,39,Cuming County,3727,8565,185963,123384,3085,8907
31,41,Custer County,4510,10081,168468,124428,3801,9956
31,43,Dakota County,8441,20423,358817,297637,3361,7475
31,45,Dawes County,3277,6735,126666,94664,2184,4961
31,47,Dawson County,9681,22985,401667,314841,5122,11837
31,49,Deuel County,783,1642,34881,22199,1879,2048
31,51,Dixon County,2415,5578,111323,80008,1363,3575
31,53,Dodge County,15450,32754,733983,531681,14338,25436
31,55,Douglas County,215873,455902,13832310,10275040,399075,443855
31,57,Dundy County,785,1664,35770,19621,1634,2712
31,59,Fillmore County,2492,5451,123629,75669,2293,6528
31,61,Franklin County,1300,2858,57614,33574,1662,3102
