"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
33,0,NEW HAMPSHIRE,578746,1172150,37126036,28782979,807017,1073227
33,1,Belknap County,27939,55308,1669614,1157628,51682,60938
33,3,Carroll County,21945,42192,1256650,735606,57430,107375
33,5,Cheshire County,33452,65518,1822178,1382213,57209,57400
33,7,Coos County,14526,28305,597441,447287,10150,18711
33,9,Grafton County,37961,72931,2332191,1622402,84927,79104
33,11,Hillsborough County,175536,362979,11916653,9723875,190345,274774
33,13,Merrimack County,63329,128696,3843465,2984169,91882,132304
33,15,Rockingham County,132626,275256,9779066,7636295,191038,251613
33,17,Strafford County,52477,103324,2901157,2339899,47051,60108
33,19,Sullivan County,18955,37641,1007622,753604,25304,30901
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
