"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
35,0,NEW MEXICO,818678,1721019,37575082,27925399,682491,1005369
35,1,Bernalillo County,272801,544652,13702646,10238523,255687,367931
35,3,Catron County,1347,2560,43046,22451,884,2113
35,5,Chaves County,23613,53070,939455,681946,20874,28357
35,6,Cibola County,8895,19280,302965,252007,1850,4697
35,7,Colfax County,5475,10903,233921,145596,5458,7953
35,9,Curry County,18251,42031,656147,546941,8688,21901
35,11,De Baca County,805,1717,35602,18739,3192,1542
35,13,Doña Ana County,77812,169848,3051595,2254974,43303,80150
35,15,Eddy County,20843,46080,1136393,853923,14834,21614
35,17,Grant County,12573,25224,480402,332834,10587,16145
35,19,Guadalupe County,1764,3541,49819,39629,384,1259
35,21,Harding County,301,581,7662,6138,160,579
35,23,Hidalgo County,1982,4324,67637,56709,561,1691
35,25,Lea County,23599,56457,1213377,975018,14039,19965
35,27,Lincoln County,8503,16587,330970,196653,8724,16620
35,28,Los Alamos County,7786,17273,807720,575686,18445,22309
35,29,Luna County,10053,22481,283697,206580,3465,8746
35,31,McKinley County,31118,73598,916584,774259,4428,9819
35,33,Mora County,1961,3840,54137,40585,620,1461
35,35,Otero County,23981,50784,890384,631744,8909,21379
35,37,Quay County,3556,7241,105150,78056,1620,4025
35,39,Rio Arriba County,16002,32676,614113,486988,4281,11723
35,41,Roosevelt County,6906,15431,213804,178956,3128,7264
35,43,Sandoval County,52408,113026,2769693,2126947,36384,55907
35,45,San Juan County,52750,121943,2501011,2022514,23344,42377
35,47,San Miguel County,10809,21246,354610,265427,3532,13456
35,49,Santa Fe County,61571,117334,3534182,2225130,142772,154788
35,51,Sierra County,4825,8941,139100,84742,3143,6646
35,53,Socorro County,6819,14222,223210,176848,2842,5074
35,55,Taos County,13971,25950,487597,330396,15376,16103
35,57,Torrance County,5713,12383,204566,155257,1497,4121
35,59,Union County,1605,3442,50760,43969,851,2715
35,61,Valencia County,28280,62353,1173129,899235,18628,24942
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
