"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
32,0,NEVADA,1115092,2367972,60831409,46284862,1180959,2108559
32,1,Churchill County,10199,22164,483009,358025,5026,14214
32,3,Clark County,802879,1724416,43056344,33492325,692185,1406631
32,5,Douglas County,21351,42132,1433480,805520,64260,86895
32,7,Elko County,19141,44194,1169966,993273,8943,16173
32,9,Esmeralda County,346,671,14590,9732,250,483
32,11,Eureka County,663,1475,33816,28712,228,715
32,13,Humboldt County,6798,15426,385985,319892,2846,7566
32,15,Lander County,2231,5214,134477,115164,741,1895
32,17,Lincoln County,1585,3716,79545,54696,716,2575
32,19,Lyon County,21246,45645,959085,752563,10573,27613
32,21,Mineral County,2030,3839,76125,55474,752,1785
32,23,Nye County,17670,36524,795421,537100,12467,29695
32,27,Pershing County,1848,4136,82079,68079,507,1637
32,29,Storey County,1663,3226,86398,65943,1294,1725
32,31,Washoe County,177660,359813,10608856,7610887,354003,449192
32,33,White Pine County,3725,7720,191333,153067,1821,4436
32,510,Carson City,24057,47661,1240899,864411,24346,55329
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
