"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
39,0,OHIO,4914771,10000631,251875166,193779479,4957506,5948816
39,1,Adams County,10828,23674,385534,298277,3460,9540
39,3,Allen County,44249,91658,2067598,1539022,33608,48583
39,5,Ashland County,22386,45836,978979,727483,14105,23412
39,7,Ashtabula County,42570,88007,1675768,1302782,24923,31804
39,9,Athens County,20522,39927,852208,617551,14078,19426
39,11,Auglaize County,20711,43717,1072696,792764,24969,28429
39,13,Belmont County,28672,57615,1220691,928093,22443,33331
39,15,Brown County,18163,38944,732229,589644,6636,13723
39,17,Butler County,149968,320059,8409211,6670037,147134,145440
39,19,Carroll County,12001,25250,493903,373373,5716,10726
39,21,Champaign County,16942,35991,778338,616521,8480,13101
39,23,Clark County,59335,121508,2632041,1973389,33296,53770
39,25,Clermont County,83394,177753,4779081,3870582,75364,70179
39,27,Clinton County,18232,38139,804767,640951,12425,16304
39,29,Columbiana County,44396,91376,1836549,1430355,27844,39418
39,31,Coshocton County,14931,31310,574171,436760,11805,13251
39,33,Crawford County,19498,39428,755734,563471,10782,19303
39,35,Cuyahoga County,561250,1083035,29198521,22103943,739609,954095
39,37,Darke County,23296,48524,1020060,746691,18145,28924
39,39,Defiance County,17287,36095,805332,587486,9151,20864
39,41,Delaware County,67648,155991,6039359,4858047,107499,116106
39,43,Erie County,35024,69316,1674311,1221047,41868,46073
39,45,Fairfield County,59606,130171,3244363,2613289,35381,60519
39,47,Fayette County,12410,25172,492163,379833,5960,12294
39,49,Franklin County,511659,1006551,26483772,21531684,431684,486190
39,51,Fulton County,18936,40577,905734,691406,12531,20761
39,53,Gallia County,11485,24850,490190,380543,6643,13240
39,55,Geauga County,38306,85206,2821573,2042745,89496,86419
39,57,Greene County,66048,135744,3941965,2914990,63774,86599
39,59,Guernsey County,16672,34950,641221,485252,7032,13909
39,61,Hamilton County,349576,688778,20939183,15473757,858620,552441
39,63,Hancock County,32672,66847,1685048,1299968,32367,39417
39,65,Hardin County,12366,25874,514186,397083,4988,10923
39,67,Harrison County,6318,13149,239095,183772,5534,5156
39,69,Henry County,12854,26900,595170,446922,6586,15971
39,71,Highland County,17421,37183,650712,515156,8588,14150
39,73,Hocking County,11597,24694,452982,352270,4473,9633
39,75,Holmes County,13935,34255,576830,367445,8836,18264
39,77,Huron County,26451,56235,1153504,875960,25940,27431
39,79,Jackson County,13104,27983,500634,402206,7493,11687
39,81,Jefferson County,29056,58138,1241090,928480,16472,32179
39,83,Knox County,23826,50883,1075016,813675,17967,21836
39,85,Lake County,107074,211146,5700240,4453114,90449,137025
39,87,Lawrence County,24338,51920,985353,795406,7156,16739
39,89,Licking County,70917,147694,3567511,2826914,52835,63807
39,91,Logan County,20354,42380,949897,737563,8680,18840
39,93,Lorain County,129373,263969,6610074,5154847,102273,138525
39,95,Lucas County,183522,368681,9055615,6946117,143027,201370
39,97,Madison County,17101,35532,835421,637858,8519,17197
39,99,Mahoning County,101015,200615,4627315,3377841,103352,140557
39,101,Marion County,26813,54995,1112078,880611,12819,24981
39,103,Medina County,74722,160451,4648286,3678929,67896,96520
39,105,Meigs County,8770,18820,334659,261481,1862,6200
39,107,Mercer County,18260,39245,921915,658108,14355,28158
