"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
41,0,OREGON,1532833,3189588,81124400,59257510,1687778,2611089
41,1,Baker County,6411,13230,247430,165666,6598,12460
41,3,Benton County,32145,64223,1942153,1357336,54511,71775
41,5,Clackamas County,150977,324797,10155033,7468060,229574,333141
41,7,Clatsop County,14856,30055,665206,446472,12913,22095
41,9,Columbia County,19607,42722,1037929,806984,13863,22759
41,11,Coos County,24924,49292,1009369,651933,19361,40478
41,13,Crook County,8177,17693,360693,242051,6616,14980
41,15,Curry County,9257,17739,373808,204445,10007,24203
41,17,Deschutes County,64750,133441,3461712,2205415,104418,179311
41,19,Douglas County,41772,86233,1714168,1170451,32748,64000
41,21,Gilliam County,768,1529,38855,22457,727,1210
41,23,Grant County,2765,5729,103592,74798,2220,5003
41,25,Harney County,2779,6017,100340,73885,1224,4618
41,27,Hood River County,8918,20377,476819,343494,14063,15790
41,29,Jackson County,83266,171453,3846298,2513866,103091,171720
41,31,Jefferson County,7818,18120,304926,216507,4056,9145
41,33,Josephine County,32449,65729,1286394,772531,27664,63139
41,35,Klamath County,25419,53903,1063882,752011,18058,32560
41,37,Lake County,2893,6036,110058,78245,1703,4330
41,39,Lane County,140694,276757,6805465,4755338,149403,254078
41,41,Lincoln County,19068,36223,825082,484292,20812,36329
41,43,Linn County,45166,97557,2072626,1525989,27118,60710
41,45,Malheur County,9916,23628,355093,260582,5283,14169
41,47,Marion County,119717,273869,5753962,4143862,102153,167208
41,49,Morrow County,4054,10882,172665,138681,1530,3560
41,51,Multnomah County,316840,596432,17134609,13042769,377733,467915
41,53,Polk County,27935,62853,1478125,1039935,27077,43842
41,55,Sherman County,749,1540,35870,21071,563,1093
41,57,Tillamook County,10134,20650,447603,276213,9526,20075
41,59,Umatilla County,27492,64323,1214967,923489,13145,30190
41,61,Union County,9967,21331,444866,308611,7562,14867
41,63,Wallowa County,2945,5939,118518,70778,3194,7499
41,65,Wasco County,9591,20409,423695,285437,8557,14954
41,67,Washington County,212035,465301,13649488,10996546,239509,327148
41,69,Wheeler County,516,1048,14687,10797,307,870
41,71,Yamhill County,36063,82528,1878413,1406514,30892,53865
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
