"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
42,0,PENNSYLVANIA,5373581,10970939,309688469,233670137,6634414,16340351
42,1,Adams County,43887,92031,2352237,1782957,36916,56837
42,3,Allegheny County,543694,1042257,32695793,24493095,833598,971612
42,5,Armstrong County,29932,61652,1316455,990685,18698,34697
42,7,Beaver County,76211,152899,3698547,2855057,49059,83493
42,9,Bedford County,21378,45313,900297,650238,12419,23717
42,11,Berks County,177156,371262,9592203,7406668,178589,259745
42,13,Blair County,53667,108631,2415659,1771404,44205,59254
42,15,Bradford County,25941,55113,1247230,837402,21602,26769
42,17,Bucks County,275228,585252,21937199,16941396,456208,649342
42,19,Butler County,77606,166882,4976251,3835319,92443,117894
42,21,Cambria County,60363,122117,2705735,2016029,38271,79093
42,23,Cameron County,2321,4635,92041,65019,2325,2840
42,25,Carbon County,28057,56819,1275827,975258,20014,34964
42,27,Centre County,51903,103052,3006322,2142592,70327,88008
42,29,Chester County,203254,457449,19467137,14771438,586360,545572
42,31,Clarion County,15895,32612,901028,511793,12225,22454
42,33,Clearfield County,33478,68704,1429473,1035872,24000,37183
42,35,Clinton County,15403,31621,656317,481021,9884,12790
42,37,Columbia County,26356,53330,1261088,944419,21073,33589
42,39,Crawford County,35682,75197,1515418,1095560,24039,37771
42,41,Cumberland County,104381,209533,6403490,4634421,131556,184550
42,43,Dauphin County,122939,241680,6666252,5123427,110455,151073
42,45,Delaware County,238204,489664,16735883,12895648,424268,8015075
42,47,Elk County,14665,30000,672647,501876,13825,22706
42,49,Erie County,114979,236305,5484772,4149022,115217,129717
42,51,Fayette County,57059,114765,2301419,1744793,32524,66130
42,53,Forest County,2167,4168,79746,51272,1156,2241
42,55,Franklin County,66687,139075,3411791,2463454,65632,98038
42,57,Fulton County,6604,13666,289172,217230,4522,7458
42,59,Greene County,14885,31033,742872,535500,6831,16240
42,61,Huntingdon County,17669,36964,750095,551030,9893,16972
42,63,Indiana County,33919,70197,1683539,1158862,31220,47551
42,65,Jefferson County,19418,40294,848050,579143,17615,24952
42,67,Juniata County,9861,21441,435470,313527,6342,14701
42,69,Lackawanna County,90631,180519,4491023,3306848,92691,145946
42,71,Lancaster County,222068,476885,12510644,8927691,284135,395934
42,73,Lawrence County,37856,78230,1720858,1297110,34630,44203
42,75,Lebanon County,59976,124081,3024418,2235122,53316,80290
42,77,Lehigh County,154191,317403,8782141,6832311,188463,252939
42,79,Luzerne County,138817,272095,6476663,4865547,124307,252360
42,81,Lycoming County,48980,99786,2293612,1638244,47439,60857
42,83,McKean County,17743,36250,782533,566293,14352,17663
42,85,Mercer County,48469,100392,2176463,1577110,43420,63848
42,87,Mifflin County,19089,40983,776635,577178,8107,18709
42,89,Monroe County,66595,144696,3583834,2821016,43579,72721
42,91,Montgomery County,343325,720719,30097214,22289419,975815,1110368
42,93,Montour County,8006,16599,465166,358643,8391,11721
42,95,Northampton County,128671,267280,7689230,5961327,150146,213259
42,97,Northumberland County,39734,80306,1687258,1285450,37185,44330
42,99,Perry County,20379,42606,977990,766279,9736,20065
42,101,Philadelphia County,596597,1141057,24612648,20140003,334957,559888
42,103,Pike County,23220,51151,1286553,949598,20000,31166
42,105,Potter County,7013,15104,295189,212364,4460,7114
42,107,Schuylkill County,62876,126229,2833711,2168092,42008,74837
42,109,Snyder County,15640,33498,690167,499858,12716,21212
42,111,Somerset County,32074,66301,1524918,1025753,25603,42663
42,113,Sullivan County,2746,5259,137309,69500,3328,3740
42,115,Susquehanna County,18043,37474,921002,549081,15785,20786
42,117,Tioga County,16748,35139,721217,493029,11621,18295
42,119,Union County,15001,32079,804031,562357,19695,25148
42,121,Venango County,23740,48083,966045,709732,20857,22215
42,123,Warren County,17897,35987,795711,574387,17544,18057
42,125,Washington County,89852,183309,5253684,3836922,81737,134339
42,127,Wayne County,21202,43271,1085083,673394,23475,36416
42,129,Westmoreland County,161399,326891,8810310,6556577,160229,252444
42,131,Wyoming County,12332,25328,615083,408537,12041,13974
42,133,York County,191822,400336,10852671,8412937,189331,277816
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
