"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
48,0,TEXAS,9267622,20968909,512357691,403967498,8102598,14035787
48,1,Anderson County,17104,37750,746853,582804,10991,17660
48,3,Andrews County,5468,13233,336119,267801,3959,4762
48,5,Angelina County,31747,72290,1403146,1071443,25745,37815
48,7,Aransas County,9183,18713,469309,259198,16072,22984
48,9,Archer County,3231,7377,206380,129073,2080,6455
48,11,Armstrong County,707,1578,35850,25534,558,1680
48,13,Atascosa County,16298,38081,652747,527176,5383,11394
48,15,Austin County,10965,24561,607517,461095,12282,20953
48,17,Bailey County,2439,6219,97289,68760,2940,3325
48,19,Bandera County,7640,15715,430443,285843,8520,14343
48,21,Bastrop County,26506,59470,1270611,1003478,11619,24679
48,23,Baylor County,1364,2932,57381,37030,907,2326
48,25,Bee County,9207,20610,385207,280614,4292,8647
48,27,Bell County,118228,267966,5000892,4098841,44318,113411
48,29,Bexar County,658418,1421343,31538740,24529473,490381,709293
48,31,Blanco County,3824,8180,310736,184782,5870,23280
48,33,Borden County,210,474,16895,6417,106,840
48,35,Bosque County,6661,14600,291081,212314,5255,11295
48,37,Bowie County,35665,76610,1691212,1263812,21159,52308
48,39,Brazoria County,112350,263379,7293354,6167776,71029,107165
48,41,Brazos County,59469,125824,3123330,2333201,74997,79754
48,43,Brewster County,3716,7250,166972,106032,4699,6124
48,45,Briscoe County,593,1324,25905,13247,236,1055
48,47,Brooks County,2896,6486,92123,73160,706,1800
48,49,Brown County,14169,30781,591129,426839,9275,15083
48,51,Burleson County,6566,14179,316596,227292,2870,9335
48,53,Burnet County,16539,35538,969672,550657,27442,46253
48,55,Caldwell County,13426,29732,543991,429807,5532,12295
48,57,Calhoun County,8029,18376,371159,286683,3567,9715
48,59,Callahan County,5068,11241,215834,160633,2717,6073
48,61,Cameron County,134485,336479,4461805,3613993,52239,82059
48,63,Camp County,4734,10935,190109,149783,3559,7556
48,65,Carson County,2217,5161,116983,92685,1594,3224
48,67,Cass County,11891,25858,513672,391263,4049,14816
48,69,Castro County,2584,6517,74466,68660,1100,3323
48,71,Chambers County,12301,29855,810516,690483,9862,10564
48,73,Cherokee County,17541,40907,727245,544854,10549,21982
48,75,Childress County,2236,4917,90144,62162,993,2554
48,77,Clay County,4171,9046,213016,156573,1938,5785
48,79,Cochran County,1218,2800,53169,32201,420,2630
48,81,Coke County,1246,2673,57286,39101,733,1576
48,83,Coleman County,3288,7054,124647,84994,1962,4922
48,85,Collin County,290747,676966,23781650,20044554,334284,497514
48,87,Collingsworth County,1086,2518,46820,29666,376,2323
48,89,Colorado County,8037,17608,415218,292724,8064,17073
48,91,Comal County,41906,91767,2748799,1883898,50436,86691
48,93,Comanche County,4932,11198,190374,139295,4730,8572
48,95,Concho County,948,2074,37244,25257,444,1455
48,97,Cooke County,15056,33720,779993,551908,14282,27519
48,99,Coryell County,23688,58240,903422,757043,6333,14234
48,101,Cottle County,590,1266,18329,13190,201,1106
48,103,Crane County,1555,4002,84098,71870,505,843
48,105,Crockett County,1458,3402,84907,55709,1270,2177
48,107,Crosby County,2228,5104,98582,59037,1209,3137
48,109,Culberson County,940,2096,29423,25104,230,423
48,111,Dallam County,2655,6243,108572,76804,774,3550
48,113,Dallas County,913791,2045601,49535393,39413706,1106042,1326037
48,115,Dawson County,4538,10369,211752,133041,3223,7090
48,117,Deaf Smith County,7067,18621,238624,197722,2790,10021
48,119,Delta County,1902,4101,71795,59529,462,1775
48,121,Denton County,242828,561408,17495203,14931960,188441,284796
48,123,DeWitt County,7172,15473,352295,237379,5271,12810
48,125,Dickens County,781,1669,29166,20832,170,796
48,127,Dimmit County,3460,8207,128427,92972,4305,2416
48,129,Donley County,1305,2815,49480,35542,360,1950
48,131,Duval County,4357,9842,163750,138584,469,2059
48,133,Eastland County,6642,14432,277065,193609,13568,11364
48,135,Ector County,53482,121436,2850970,2211608,106787,44986
48,137,Edwards County,758,1636,30507,18289,736,1728
48,139,Ellis County,54962,131866,3008921,2515028,23883,48896
48,141,El Paso County,292446,702297,10827001,8794599,97270,198764
48,143,Erath County,12484,26992,536056,419202,6957,17729
48,145,Falls County,5748,12657,202042,159687,2047,6373
48,147,Fannin County,11659,26417,491073,394616,4202,13342
48,149,Fayette County,9130,19544,476002,315481,13328,22586
48,151,Fisher County,1430,3130,62209,43971,774,1437
48,153,Floyd County,2433,5731,97920,62163,1268,4174
48,155,Foard County,473,1026,16754,10691,198,1212
48,157,Fort Bend County,202057,492808,15975111,13617831,202230,292246
48,159,Franklin County,3979,8868,173393,128832,2446,13416
48,161,Freestone County,6890,15993,390685,266859,3994,10046
48,163,Frio County,5084,11810,181907,138630,1677,3814
48,165,Gaines County,5445,14585,252561,183400,3093,6235
48,167,Galveston County,109366,239583,6966034,5664436,104759,149341
48,169,Garza County,1620,3726,94860,49159,1870,3591
48,171,Gillespie County,9726,20083,559479,295868,31040,39268
48,173,Glasscock County,439,1129,40071,15728,735,1196
48,175,Goliad County,2546,5603,138481,90011,2339,4183
48,177,Gonzales County,7090,16181,286238,200809,3721,10797
48,179,Gray County,8392,19581,464827,321041,8367,11581
48,181,Grayson County,46506,101173,2192894,1666468,37971,62338
48,183,Gregg County,49185,110766,2687428,1894687,47694,78443
48,185,Grimes County,9164,20093,405834,322451,5617,10670
48,187,Guadalupe County,49442,113630,2559901,2030950,24297,48678
48,189,Hale County,12821,30358,492336,365666,6498,13670
48,191,Hall County,1168,2633,40172,26989,365,2262
48,193,Hamilton County,3234,6962,130522,97902,2360,6994
48,195,Hansford County,1956,5109,110824,71024,1731,4077
48,197,Hardeman County,1501,3224,55262,43817,555,2188
48,199,Hardin County,20504,46982,1300331,927140,13199,22884
48,201,Harris County,1509330,3424982,91764937,74647288,1596944,1920684
48,203,Harrison County,25341,57074,1375931,932841,13738,32396
48,205,Hartley County,1448,3732,78574,56338,1506,3561
48,207,Haskell County,2079,4495,78950,52148,1353,3102
48,209,Hays County,54520,119200,3105282,2413143,45308,66771
48,211,Hemphill County,1375,3532,131879,62527,1048,4218
48,213,Henderson County,28359,61851,1230665,878510,24660,920090
48,215,Hidalgo County,237102,607303,7860790,6432865,56398,136545
48,217,Hill County,12885,28887,602633,401868,7586,16008
48,219,Hockley County,8479,19653,419005,312013,4919,9193
48,221,Hood County,19958,42753,1270326,811730,24457,44247
48,223,Hopkins County,13165,29751,563525,421134,7529,20953
48,225,Houston County,7645,16311,295620,213341,5737,11743
48,227,Howard County,11484,25262,552514,397480,4564,13834
48,229,Hudspeth County,1166,2937,30052,27567,245,643
48,231,Hunt County,31234,70402,1388600,1119278,12017,27674
48,233,Hutchinson County,8734,19979,495587,362986,5825,10234
48,235,Irion County,654,1380,44258,26162,827,1593
48,237,Jack County,2912,6679,161051,109231,2123,5639
48,239,Jackson County,5536,12637,274567,200324,4369,7909
48,241,Jasper County,12800,29001,581150,446388,5612,13407
48,243,Jeff Davis County,847,1781,52007,23480,5730,1557
48,245,Jefferson County,94641,204431,4830785,3596338,73893,127833
48,247,Jim Hogg County,1869,4393,74819,55565,845,1873
48,249,Jim Wells County,15441,35645,722432,553187,5815,12142
48,251,Johnson County,57492,133209,3159508,2417055,20828,49757
48,253,Jones County,5852,13080,242627,182435,1897,4855
48,255,Karnes County,4540,10086,190768,140220,1947,6099
48,257,Kaufman County,38782,92193,1990669,1693262,11947,30796
48,259,Kendall County,12633,28461,1151301,725874,45241,46944
48,261,Kenedy County,144,315,5078,4443,-1,53
48,263,Kent County,301,637,15762,8660,393,1093
48,265,Kerr County,19971,40183,1096425,574149,50292,72120
48,267,Kimble County,1820,3828,73865,44983,3141,3806
48,269,King County,97,229,4934,3826,21,239
48,271,Kinney County,1165,2650,47806,30531,973,1927
48,273,Kleberg County,11647,25142,472391,379702,5342,8170
48,275,Knox County,1353,3052,48770,34389,612,1637
48,277,Lamar County,18906,41531,788045,601161,9425,23141
48,279,Lamb County,5075,11966,168541,137382,1920,5929
48,281,Lampasas County,7574,16958,348752,261805,4708,10779
48,283,La Salle County,1951,4512,52544,52380,552,1862
48,285,Lavaca County,7529,16371,375053,250695,7674,15575
48,287,Lee County,6080,13877,295652,228494,3685,9060
48,289,Leon County,6541,14707,313885,222823,4159,11348
48,291,Liberty County,25887,61507,1286632,1027545,10550,18606
48,293,Limestone County,8296,18412,331483,247943,3066,8209
48,295,Lipscomb County,1200,2899,94845,48685,858,3123
48,297,Live Oak County,3437,7621,173055,122489,1572,5562
48,299,Llano County,7017,13825,367958,178288,11055,1383515
48,301,Loving County,24,40,1009,679,-1,26
48,303,Lubbock County,101074,212093,4922581,3669426,88595,141070
48,305,Lynn County,2223,5166,101973,62448,865,3389
48,307,McCulloch County,3167,6949,117772,81924,1554,4795
48,309,McLennan County,86371,188128,3896768,2994659,55008,104016
48,311,McMullen County,310,648,19059,9102,277,863
48,313,Madison County,4134,9279,164193,125788,2088,6337
48,315,Marion County,3824,7910,145204,104013,1867,4995
48,317,Martin County,1686,3991,111119,62143,736,3121
48,319,Mason County,1466,3148,60806,35448,1284,3727
48,321,Matagorda County,13644,31420,650498,511817,7646,14324
48,323,Maverick County,20253,54827,573505,495566,720,4159
48,325,Medina County,15862,35933,739706,559635,7970,18426
48,327,Menard County,817,1720,28364,19071,710,1296
48,329,Midland County,52445,116899,3850121,2598175,85777,97605
48,331,Milam County,9295,20823,387812,302790,4646,11514
48,333,Mills County,1736,3819,78545,54810,1306,4779
48,335,Mitchell County,2633,5917,121200,87811,1504,3500
48,337,Montague County,7594,16628,408470,266092,7141,13804
48,339,Montgomery County,159354,373127,12704705,10055906,207099,262261
48,341,Moore County,7933,20346,356967,285935,2862,6650
48,343,Morris County,5352,11472,212106,169175,1839,6201
48,345,Motley County,404,857,16075,9320,168,612
48,347,Nacogdoches County,21503,47240,1002922,669871,14828,31126
48,349,Navarro County,17559,41235,746373,566236,11335,21745
48,351,Newton County,4382,9887,176108,149877,1077,3002
48,353,Nolan County,5927,12999,250077,180558,3142,6627
48,355,Nueces County,128607,275300,5986243,4622668,83117,134264
48,357,Ochiltree County,3583,9580,261953,162458,4234,6253
48,359,Oldham County,730,1737,37285,26111,410,980
48,361,Orange County,32036,71190,1658902,1333719,14742,29841
48,363,Palo Pinto County,10514,23180,523474,365832,7458,13914
48,365,Panola County,9119,20702,552850,348070,6002,15231
48,367,Parker County,43001,98646,2789141,2146142,29615,60294
48,369,Parmer County,3661,9779,141802,108057,2335,6109
48,371,Pecos County,5162,12019,240022,199092,1421,3060
48,373,Polk County,20832,43231,950150,512326,29153,40536
48,375,Potter County,45717,100028,1814554,1398910,22513,44399
48,377,Presidio County,3333,9158,111883,93567,1205,1839
48,379,Rains County,3689,8083,159052,113276,2128,4705
48,381,Randall County,46906,101667,2842167,2068461,40505,81030
48,383,Reagan County,1233,3243,71542,58933,492,1122
48,385,Real County,1273,2664,48612,26525,1572,2996
48,387,Red River County,5011,10539,170529,134255,1408,5888
48,389,Reeves County,3990,9334,158923,130334,1242,2305
48,391,Refugio County,2964,6519,153673,102433,2437,5223
48,393,Roberts County,322,736,27258,13081,345,739
48,395,Robertson County,6278,13877,330208,194675,3134,10316
48,397,Rockwall County,27373,67675,2128409,1709174,26001,48330
48,399,Runnels County,4110,8901,175615,113222,2204,5574
48,401,Rusk County,18191,41719,899105,658352,13605,23657
48,403,Sabine County,4027,8622,199369,115785,4285,7232
48,405,San Augustine County,3181,6915,139043,80917,912,3442
48,407,San Jacinto County,8595,19075,370258,277952,4953,10662
48,409,San Patricio County,26592,61335,1234566,996272,10702,24391
48,411,San Saba County,2039,4444,74320,49259,1139,3734
48,413,Schleicher County,1136,2734,60187,42522,568,1359
48,415,Scurry County,5905,13680,327237,232629,4529,8210
48,417,Shackelford County,1289,2879,68449,44671,855,2414
48,419,Shelby County,9044,21035,437034,281456,3364,10536
48,421,Sherman County,893,2383,47284,27843,564,1816
48,423,Smith County,78777,174539,4468360,3091468,89293,142736
48,425,Somervell County,3035,7101,169332,126412,1761,3582
48,427,Starr County,20360,54963,569953,484287,863,6389
48,429,Stephens County,3311,7392,156702,98445,2955,5868
48,431,Sterling County,403,952,35021,15718,406,924
48,433,Stonewall County,547,1234,24382,15809,788,1330
48,435,Sutton County,1767,4151,124776,77990,1281,2892
48,437,Swisher County,2746,6223,101682,70584,1512,4830
48,439,Tarrant County,692892,1562872,41757827,33349721,551301,808842
48,441,Taylor County,51903,110096,2427733,1737154,55452,71538
48,443,Terrell County,359,780,22967,11468,162,459
48,445,Terry County,4290,9854,194322,123226,7973,5338
48,447,Throckmorton County,598,1322,40863,16923,958,1615
48,449,Titus County,11198,28020,466741,373795,4714,12936
48,451,Tom Green County,43920,91493,2157745,1447804,46179,75615
48,453,Travis County,395563,798417,24915869,19382734,525299,680070
48,455,Trinity County,5156,11089,193058,140649,2448,5053
48,457,Tyler County,6904,15410,298898,224686,2761,6568
48,459,Upshur County,13970,31659,625771,486555,5969,14592
48,461,Upton County,1233,2914,74893,47853,500,2628
48,463,Uvalde County,10066,23364,395986,266743,16552,14348
48,465,Val Verde County,18429,44821,681008,561660,4698,11964
48,467,Van Zandt County,18666,42042,816711,634388,8535,22163
48,469,Victoria County,34942,76276,1805838,1322329,31386,46372
48,471,Walker County,18711,38421,820317,608266,11423,23319
48,473,Waller County,13458,30957,706961,558481,6336,14765
48,475,Ward County,4131,9514,228283,167725,2208,4516
48,477,Washington County,12715,27111,682471,450548,16248,35125
48,479,Webb County,85064,221569,2934155,2386933,24085,42498
48,481,Wharton County,16237,36605,758916,564017,10384,24633
48,483,Wheeler County,2064,4824,136954,73451,3105,3853
48,485,Wichita County,49131,103231,2404182,1666803,44736,68470
48,487,Wilbarger County,5296,11298,213433,159922,2650,5515
48,489,Willacy County,6784,16462,201201,161362,1210,2929
