"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
49,0,UTAH,981599,2483152,53905056,42256230,721045,1256479
49,1,Beaver County,2276,6157,95529,76510,581,2920
49,3,Box Elder County,17871,47083,934609,719211,6577,20027
49,5,Cache County,37079,96870,1878653,1422157,23943,43969
49,7,Carbon County,7822,18100,388515,310331,1880,7628
49,9,Daggett County,333,748,17073,12340,130,534
49,11,Davis County,107416,281453,6614328,5269427,54948,133672
49,13,Duchesne County,6492,16951,427618,301562,3491,8132
49,15,Emery County,3698,9871,178168,156098,460,3198
49,17,Garfield County,1764,4320,71915,53963,500,2024
49,19,Grand County,3952,7911,178846,119316,4846,6304
49,21,Iron County,14596,37173,615008,461880,7301,18684
49,23,Juab County,3194,9057,152059,128821,377,2475
49,25,Kane County,2535,5667,106800,71186,1685,4836
49,27,Millard County,4166,11400,178686,151932,1226,4872
49,29,Morgan County,3193,8661,228192,165460,1739,5928
49,31,Piute County,480,1186,16105,11188,122,703
49,33,Rich County,723,1960,38456,25904,374,1312
49,35,Salt Lake County,398893,957009,22259156,17711250,365808,500775
49,37,San Juan County,3504,8913,144655,116825,1135,3234
49,39,Sanpete County,7850,21711,327726,258617,2587,8376
49,41,Sevier County,7066,18289,327654,245952,5951,8939
49,43,Summit County,15491,36488,1332465,927775,44955,53867
49,45,Tooele County,20022,53007,1080636,919412,3826,11411
49,47,Uintah County,11169,28474,733490,570937,3970,10964
49,49,Utah County,156433,442075,8396257,6726063,85105,185005
49,51,Wasatch County,7679,21526,458269,335113,9055,13168
49,53,Washington County,46955,119312,2227819,1465842,37282,95469
49,55,Wayne County,953,2327,36993,28351,629,1534
49,57,Weber County,87994,209453,4459376,3492807,50560,96519
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
