"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
51,0,VIRGINIA,3282186,6853554,214478169,167062728,4243734,5099246
51,1,Accomack County,14101,28425,570114,394360,17152,22462
51,3,Albemarle County,37759,79275,2961298,1979737,142841,122890
51,5,Alleghany County,6491,13887,303693,227382,5116,8548
51,7,Amelia County,5330,11435,251525,197009,3620,5475
51,9,Amherst County,12990,27200,574394,458356,7702,13208
51,11,Appomattox County,6099,13031,268017,211865,3322,6410
51,13,Arlington County,106108,169520,9601900,7670559,199532,221026
51,15,Augusta County,30358,64548,1525956,1147284,27510,42998
51,17,Bath County,2104,4164,93943,65057,6006,3964
51,19,Bedford County,27817,60973,1661201,1221910,33131,50050
51,21,Bland County,2475,5214,109249,84457,1396,3423
51,23,Botetourt County,13908,30318,872031,666972,16987,21991
51,25,Brunswick County,6311,13144,234858,182341,2968,5806
51,27,Buchanan County,8143,18032,340893,275122,2882,9124
51,29,Buckingham County,5817,12087,229262,178707,3417,5252
51,31,Campbell County,22674,47834,1034266,810735,14597,24296
51,33,Caroline County,11981,25252,592787,489682,5474,9934
51,35,Carroll County,11233,23759,411845,313473,3810,11887
51,36,Charles City County,3230,6155,161164,117263,2402,3340
51,37,Charlotte County,4912,10601,175499,135889,3591,5175
51,41,Chesterfield County,129980,290448,8962994,7107127,163103,171627
51,43,Clarke County,5728,12132,400511,301972,11295,12149
51,45,Craig County,2004,4246,89211,69083,1448,2258
51,47,Culpeper County,18057,41185,1027741,811800,15169,24444
51,49,Cumberland County,3845,8139,153485,118464,2143,3409
51,51,Dickenson County,5124,11667,214451,170753,2549,4635
51,53,Dinwiddie County,11414,23967,557674,442188,5374,10520
51,57,Essex County,4857,9758,215913,157433,4387,6841
51,59,Fairfax County,451283,954409,44539327,34490259,921412,1095016
51,61,Fauquier County,26278,58639,2168575,1600609,57235,65154
51,63,Floyd County,5847,12676,246246,188983,3505,7216
51,65,Fluvanna County,10094,21984,580167,432999,12448,13231
51,67,Franklin County,21652,45757,1036316,730316,25105,37856
51,69,Frederick County,32002,70563,1887542,1519639,29715,41678
51,71,Giles County,7050,14726,299997,232295,3827,7574
51,73,Gloucester County,16132,33836,853692,648681,13841,17947
51,75,Goochland County,8379,18050,990500,646002,44186,37101
51,77,Grayson County,5983,12536,205601,157780,2443,7139
51,79,Greene County,7436,16297,385779,311742,5177,7432
51,81,Greensville County,3398,7137,127082,104477,1304,2707
51,83,Halifax County,13950,29844,562142,426632,12504,16366
51,85,Hanover County,40260,91076,2962009,2330498,56653,72074
