"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
50,0,VERMONT,282371,550646,14822973,10854835,459268,458258
50,1,Addison County,15936,32108,827814,595738,28268,25222
50,3,Bennington County,16641,32290,856384,583434,48305,35696
50,5,Caledonia County,13330,26926,569081,418506,13146,17538
50,7,Chittenden County,69307,133451,4472722,3306835,126461,130726
50,9,Essex County,2774,5486,98576,73320,879,2105
50,11,Franklin County,20819,43809,1003486,807997,14689,20866
50,13,Grand Isle County,3324,6570,192694,137760,5427,5485
50,15,Lamoille County,11300,21872,569328,398229,24188,18280
50,17,Orange County,13137,25961,612368,457099,15573,17162
50,19,Orleans County,12038,24025,471252,341672,11283,15687
50,21,Rutland County,28599,54604,1323607,992142,34213,40670
50,23,Washington County,27537,52953,1433844,1067529,38972,42842
50,25,Windham County,20771,39051,980318,679577,39332,36670
50,27,Windsor County,26858,51540,1411498,994998,58532,49309
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
