"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
53,0,WASHINGTON,2782420,5812281,170108737,129168585,3606090,5073418
53,1,Adams County,6752,18853,282272,205236,18452,7705
53,3,Asotin County,8849,17781,419811,276634,9379,17913
53,5,Benton County,66483,151812,4057607,3115209,56284,100772
53,7,Chelan County,29672,65245,1500261,1037083,35007,60941
53,9,Clallam County,30555,58954,1520089,831748,52603,85232
53,11,Clark County,168770,374057,9934890,7595460,175582,306542
53,13,Columbia County,1605,3294,71021,47671,2438,3400
53,15,Cowlitz County,40254,87857,1973716,1465094,21993,58159
53,17,Douglas County,14151,32365,698804,505308,12346,23818
53,19,Ferry County,2533,5369,99542,68600,1287,3623
53,21,Franklin County,26721,72583,1259464,993887,15736,25225
53,23,Garfield County,860,1744,38408,24820,1129,1825
53,25,Grant County,31705,80882,1462770,1078098,18440,38426
53,27,Grays Harbor County,27584,57034,1224759,890584,19221,36147
53,29,Island County,33653,69049,1891207,1173113,59653,75982
53,31,Jefferson County,13297,24434,720479,352366,36145,43136
53,33,King County,850764,1663820,63676190,49679735,1697868,1960401
53,35,Kitsap County,102970,215490,6284269,4513682,133836,183085
53,37,Kittitas County,14503,29128,718428,507483,15246,27320
53,39,Klickitat County,8045,17427,425014,289341,9807,16082
53,41,Lewis County,29935,64251,1334801,985376,22224,44367
53,43,Lincoln County,4128,9077,200196,129520,4556,8867
53,45,Mason County,23809,49049,1156466,782393,20188,35518
53,47,Okanogan County,16071,35145,646520,435597,12608,23320
53,49,Pacific County,8589,17284,366725,226096,7105,16380
53,51,Pend Oreille County,5081,10843,224024,154870,2875,7766
53,53,Pierce County,333109,708948,18588638,14629824,237482,422978
53,55,San Juan County,6855,12499,489102,194962,40740,51121
53,57,Skagit County,48792,103253,2741288,1823895,71427,107042
53,59,Skamania County,4098,8671,295708,165230,4431,6685
53,61,Snohomish County,296774,633663,18526936,15122715,255908,420282
53,63,Spokane County,191998,394998,9989981,7380920,188073,300665
53,65,Stevens County,16447,36903,714836,504005,9571,23593
53,67,Thurston County,108468,222341,6133075,4579571,94235,165339
53,69,Wahkiakum County,1632,3336,79691,48310,2375,4260
53,71,Walla Walla County,21766,47257,1139562,773074,24823,43104
53,73,Whatcom County,81731,163930,4552555,3121822,118986,165884
53,75,Whitman County,14186,27958,719180,517167,15259,22519
53,77,Yakima County,89225,215697,3950451,2942086,80773,127994
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
