"Source:  IRS Individual Master File, Statistics of Income, June 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, June 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
56,0,WYOMING,237492,493887,15256080,10580488,426095,505052
56,1,Albany County,13555,24979,735132,521127,30113,22577
56,3,Big Horn County,4323,9860,202355,145477,2239,6601
56,5,Campbell County,19044,41251,1474745,1134407,13037,25811
56,7,Carbon County,6761,14180,374467,281471,7406,10880
56,9,Converse County,5824,12609,363151,273168,5664,9450
56,11,Crook County,2882,6113,163638,115954,2840,6397
56,13,Fremont County,16468,34632,838673,607136,19336,24599
56,15,Goshen County,4966,10335,223956,157699,4084,10297
56,17,Hot Springs County,2094,4118,104406,70854,1895,4099
56,19,Johnson County,3525,7283,210738,132057,9127,12688
56,21,Laramie County,39898,80890,2078924,1617844,49626,87147
56,23,Lincoln County,6863,16128,513423,295755,7220,19013
56,25,Natrona County,32929,66133,2305389,1504289,52297,64935
56,27,Niobrara County,1004,2005,43635,29578,1139,2229
56,29,Park County,12399,25281,717425,442569,21784,29561
56,31,Platte County,3623,7550,176635,129359,3649,6454
56,33,Sheridan County,12800,25308,800387,531011,28898,32223
56,35,Sublette County,3892,8361,387316,227590,27761,14342
56,37,Sweetwater County,18896,42394,1358183,1087934,14316,20832
56,39,Teton County,10720,20140,1289290,591035,110541,73304
56,41,Uinta County,8443,20243,524191,417099,6753,7448
56,43,Washakie County,3546,7696,183259,135354,4328,7111
56,45,Weston County,3037,6398,186764,131720,2042,7055
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2009.",,,,,,,,
