"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
2,0,ALASKA,293702,606427,17595406,13425712,248975,262542
2,13,Aleutians East Borough,809,1513,33276,25304,217,266
2,16,Aleutians West Census Area,1946,3573,90820,79708,610,406
2,20,Anchorage Municipality,126351,254605,8207373,6391136,117987,124139
2,50,Bethel Census Area,5856,14408,220384,189382,1168,721
2,60,Bristol Bay Borough,479,874,27956,21303,349,300
2,68,Denali Borough,960,1846,57137,45189,538,734
2,70,Dillingham Census Area,1849,4079,75623,60173,1917,522
2,90,Fairbanks North Star Borough,41114,84436,2426377,1861773,24184,34883
2,100,Haines Borough,1079,2007,46870,29512,1004,1582
2,105,Hoonah-Angoon Census Area,866,1629,31946,21841,643,713
2,110,Juneau City and Borough,13909,26760,912747,662563,13066,14205
2,122,Kenai Peninsula Borough,22963,46823,1359735,935581,23419,27695
2,130,Ketchikan Gateway Borough,6056,11838,328621,241660,5750,6776
2,150,Kodiak Island Borough,5802,12596,306140,221633,5996,4672
2,164,Lake and Peninsula Borough,624,1323,25896,16354,666,297
2,170,Matanuska-Susitna Borough,33493,74934,2038179,1571755,14313,24563
2,180,Nome Census Area,3299,7562,137789,115326,1014,897
2,185,North Slope Borough,2790,5955,152987,120773,14014,403
2,188,Northwest Arctic Borough,2313,5530,106877,88771,5457,303
2,195,Petersburg Census Area,1608,3187,80471,47726,1988,3118
2,198,Prince of Wales-Hyder Census Are,1920,4044,80317,62472,1026,1492
2,220,Sitka City and Borough,3921,7627,218095,146310,3830,5711
2,230,Skagway Municipality,549,872,27582,21901,313,690
2,240,Southeast Fairbanks Census Area,2971,6716,157419,117788,987,1882
2,261,Valdez-Cordova Census Area,4211,8459,259742,184744,5371,3382
2,270,Wade Hampton Census Area,2410,6381,58191,50412,258,97
2,275,Wrangell City and Borough,964,1864,41194,27545,972,1180
2,282,Yakutat City and Borough,242,456,9186,7510,98,201
2,290,Yukon-Koyukuk Census Area,2348,4530,76476,59565,1822,712
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
