"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
1,0,ALABAMA,1805986,4015521,85675848,66414232,972819,1905459
1,1,Autauga County,20661,47850,1028586,827346,5986,14723
1,3,Baldwin County,71119,153164,3591479,2588096,59019,111651
1,5,Barbour County,9387,20645,329779,254236,4477,9083
1,7,Bibb County,7289,17180,295961,239309,1053,4304
1,9,Blount County,19903,48069,878493,702993,4681,17371
1,11,Bullock County,3377,7556,100011,82502,1092,1971
1,13,Butler County,7777,17230,273323,203267,2204,6198
1,15,Calhoun County,44955,98961,1928914,1480617,17897,41312
1,17,Chambers County,13217,28765,435207,353779,4325,8096
1,19,Cherokee County,8636,19443,328420,251169,2501,9173
1,21,Chilton County,15452,36896,637212,511467,3246,11441
1,23,Choctaw County,4990,11376,204987,162619,981,4938
1,25,Clarke County,9682,22779,397234,310960,4721,8903
1,27,Clay County,5187,11971,179848,150506,1139,3897
1,29,Cleburne County,5088,12032,204680,163716,677,3515
1,31,Coffee County,18632,41511,895843,691202,12576,20101
1,33,Colbert County,21596,46931,939467,700132,8498,19951
1,35,Conecuh County,4705,10480,162238,118418,744,3868
1,37,Coosa County,4015,8837,145371,115793,832,2798
1,39,Covington County,13733,30294,538377,423660,5260,14000
1,41,Crenshaw County,5186,11603,189403,153544,1495,4266
1,43,Cullman County,29527,68055,1239944,968911,7932,36704
1,45,Dale County,18720,41863,790023,622265,3677,12652
1,47,Dallas County,16289,36656,516076,405779,5901,10352
1,49,DeKalb County,24447,58435,876466,713751,8361,20120
1,51,Elmore County,31332,70502,1540065,1206877,8785,23809
1,53,Escambia County,13229,29994,496308,383247,4101,10369
1,55,Etowah County,38184,84877,1582166,1219070,12458,37391
1,57,Fayette County,5971,13613,224667,180812,1261,6525
1,59,Franklin County,11685,30055,420265,334829,2406,10232
1,61,Geneva County,9474,20913,352400,276444,2128,9363
1,63,Greene County,3170,7275,105490,74443,7216,2109
1,65,Hale County,6049,13982,208449,167114,3611,5029
1,67,Henry County,6354,14159,306341,208322,1745,6808
1,69,Houston County,39455,87134,1847301,1441847,19721,54792
1,71,Jackson County,19566,43782,779743,609684,6009,18964
1,73,Jefferson County,262154,564401,13841533,10696590,255033,336215
1,75,Lamar County,5165,11737,180842,143688,970,4956
1,77,Lauderdale County,34209,74060,1571504,1149831,16579,42744
1,79,Lawrence County,12630,28775,517240,418356,2133,7570
1,81,Lee County,48520,106463,2364401,1844010,31106,47164
1,83,Limestone County,30802,71311,1651091,1293236,9283,25327
1,85,Lowndes County,4900,11263,151651,119929,664,2429
1,87,Macon County,8125,16946,255264,204418,856,3248
1,89,Madison County,135631,294728,8631657,6675226,84536,169496
1,91,Marengo County,7731,17948,305768,241084,3565,7491
1,93,Marion County,10078,23004,368864,287499,3297,11824
1,95,Marshall County,34583,82875,1429478,1085695,11628,36973
1,97,Mobile County,158269,347799,7087575,5537793,66483,139014
1,99,Monroe County,8028,19045,314334,245923,3799,6690
1,101,Montgomery County,95269,202155,4391336,3318610,66441,96507
1,103,Morgan County,46687,107679,2256308,1703682,23253,45269
1,105,Perry County,3826,8891,106612,82374,727,2928
1,107,Pickens County,7216,16446,260166,204599,3059,5780
1,109,Pike County,11148,23769,427068,333463,4091,12143
1,111,Randolph County,8017,18343,281745,222596,2750,7925
1,113,Russell County,20913,45013,701160,577190,4515,8749
1,115,St. Clair County,30041,68148,1427087,1169613,8805,22494
1,117,Shelby County,73308,170023,5177707,4142950,61192,113889
1,119,Sumter County,4706,10327,146999,115373,1011,2717
1,121,Talladega County,29244,65450,1159493,918272,7509,21099
1,123,Tallapoosa County,16035,37277,637346,480601,6176,17698
1,125,Tuscaloosa County,67991,147582,3331009,2549404,40162,79119
1,127,Walker County,23653,54729,1021030,796822,6998,22144
1,129,Washington County,6290,14850,266437,217033,3202,5939
1,131,Wilcox County,4339,10401,130572,98805,1815,2697
1,133,Winston County,8439,19215,312033,240839,2460,10442
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
