"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
5,0,ARKANSAS,1079708,2378960,47814471,36779747,596444,1112941
5,1,Arkansas County,7541,16303,321568,238804,3870,7819
5,3,Ashley County,8141,18413,330205,265661,2495,5948
5,5,Baxter County,16275,32808,626079,384082,15040,25223
5,7,Benton County,82423,191362,4725456,3881381,63517,82411
5,9,Boone County,13785,30543,549323,410049,6469,16413
5,11,Bradley County,4069,9244,142810,106519,1086,3778
5,13,Calhoun County,1798,3926,72409,59224,378,1170
5,15,Carroll County,10612,22556,357476,254599,5285,13873
5,17,Chicot County,3984,8894,129001,100653,979,3288
5,19,Clark County,7825,16796,295321,226234,4614,8033
5,21,Clay County,5751,12676,197715,148199,1344,5862
5,23,Cleburne County,9810,20791,376846,251649,5516,15086
5,25,Cleveland County,3031,7071,127175,102714,723,2107
5,27,Columbia County,8571,18642,388811,273888,5147,11581
5,29,Conway County,7744,17363,323333,241072,2031,6322
5,31,Craighead County,34393,75769,1577249,1177550,16121,33819
5,33,Crawford County,21863,50488,889673,704863,5699,14453
5,35,Crittenden County,19639,44622,730934,598756,3706,8641
5,37,Cross County,6758,15312,267391,200202,3198,5493
5,39,Dallas County,2840,6187,95884,76338,641,2361
5,41,Desha County,4943,10956,177723,134683,2347,4388
5,43,Drew County,6566,14712,263554,202805,2041,6658
5,45,Faulkner County,40679,90790,2021964,1623114,12418,30436
5,47,Franklin County,6294,14229,249641,192143,2291,5921
5,49,Fulton County,3883,8552,123313,90241,1087,3899
5,51,Garland County,38544,78388,1609108,1049033,35236,64662
5,53,Grant County,6620,14998,302257,247133,1347,5456
5,55,Greene County,15109,34092,592636,448150,6459,14190
5,57,Hempstead County,7895,17730,252315,206819,1866,5609
5,59,Hot Spring County,11538,25368,433530,335047,2459,10197
5,61,Howard County,5191,11661,171364,139381,1400,4520
5,63,Independence County,13384,30970,551459,417558,4678,12020
5,65,Izard County,4416,9605,145649,100358,1383,4354
5,67,Jackson County,5710,12268,202556,150218,2160,4737
5,69,Jefferson County,29466,63433,1153097,909933,9597,19775
5,71,Johnson County,8819,20213,305194,241945,1825,6268
5,73,Lafayette County,2461,5511,88428,64876,872,2814
5,75,Lawrence County,5783,13096,194589,146355,2245,5609
5,77,Lee County,2961,6543,109035,67586,1020,2244
5,79,Lincoln County,3852,8849,148486,117749,546,2084
5,81,Little River County,4830,10467,183790,155107,697,2968
5,83,Logan County,8097,18071,293334,223154,1623,6969
5,85,Lonoke County,25607,59830,1253793,1019742,6191,17082
5,87,Madison County,5491,12668,185391,156643,1247,4804
5,89,Marion County,5941,12424,181049,124579,2668,6918
5,91,Miller County,16004,34344,639557,501319,4590,12753
5,93,Mississippi County,17122,38868,648472,480363,4641,9021
5,95,Monroe County,3010,6541,101332,72484,797,3014
5,97,Montgomery County,3001,6629,101831,69434,793,3243
5,99,Nevada County,3239,7303,108673,87215,998,2787
5,101,Newton County,2861,6346,84883,63062,1427,1986
5,103,Ouachita County,9572,20908,373869,287351,3369,7146
5,105,Perry County,3835,8605,154057,119848,735,3037
5,107,Phillips County,7486,16966,237059,178021,2204,5447
5,109,Pike County,3856,8972,135491,104628,1474,7027
5,111,Poinsett County,8611,19352,305488,220959,4034,5501
5,113,Polk County,6916,15883,238066,170890,1716,6992
5,115,Pope County,22386,49505,929851,728173,7141,18289
5,117,Prairie County,3077,6655,114150,83460,798,2436
5,119,Pulaski County,158216,328600,8360923,6510964,132988,220003
5,121,Randolph County,6185,13995,213566,162377,1714,5259
5,123,St. Francis County,8718,19459,276629,218282,1746,4359
5,125,Saline County,40794,90832,2107159,1616072,20228,39315
5,127,Scott County,3964,9257,118848,96037,460,3105
5,129,Searcy County,2796,6409,76067,58005,608,2833
5,131,Sebastian County,47247,103681,2138565,1594988,60611,60406
5,133,Sevier County,5544,13472,182293,152970,766,3680
5,135,Sharp County,6234,13747,204040,133720,2251,5801
5,137,Stone County,4172,9216,130915,89605,1131,7737
5,139,Union County,16865,36860,821045,577363,20519,22436
5,141,Van Buren County,6189,13261,243262,143793,2701,6698
5,143,Washington County,73488,162314,3495211,2810878,50127,78681
5,145,White County,27277,62316,1187893,913855,9592,27403
5,147,Woodruff County,2646,5749,89420,64748,1101,2416
5,149,Yell County,7464,17725,277941,202092,1623,5869
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
