"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
4,0,ARIZONA,2356081,5248949,116955545,90617324,1865141,2866483
4,1,Apache County,22240,57503,735065,629520,1868,4486
4,3,Cochise County,49693,109479,2237904,1658838,29910,43671
4,5,Coconino County,49910,106717,2324572,1817217,50979,53286
4,7,Gila County,19591,42342,768950,512803,11291,22307
4,9,Graham County,9879,25173,413517,326540,2916,7293
4,11,Greenlee County,2732,6674,134664,114032,521,757
4,12,La Paz County,5817,12703,192908,134175,1748,7483
4,13,Maricopa County,1428204,3201862,76115094,60539813,1177776,1796539
4,15,Mohave County,71379,148148,2509675,1769777,24476,70794
4,17,Navajo County,34210,85722,1247169,969286,9843,20578
4,19,Pima County,374796,786464,18320530,13412518,378683,531719
4,21,Pinal County,113064,266887,5053801,4003123,46744,85518
4,23,Santa Cruz County,17272,44702,643855,467649,18987,18637
4,25,Yavapai County,84264,170591,3593524,2175466,93848,153981
4,27,Yuma County,73030,183982,2664317,2086567,15551,49435
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
