"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
8,0,COLORADO,2020198,4306436,118272386,91596910,2351889,2712848
8,1,Adams County,172719,400504,8375544,7099783,41100,86125
8,3,Alamosa County,5669,12159,228921,174870,3309,5621
8,5,Arapahoe County,236192,510359,14705624,11652443,251168,322252
8,7,Archuleta County,4593,9335,205953,114086,5974,8982
8,9,Baca County,1461,3098,49106,31236,434,3075
8,11,Bent County,1578,3514,51280,36913,389,2645
8,13,Boulder County,119873,241115,8298054,6244954,213746,256325
8,14,Broomfield County,38969,83762,2730870,2269383,26512,40425
8,15,Chaffee County,7062,13720,311601,189300,9151,14942
8,17,Cheyenne County,721,1574,31843,22211,350,2355
8,19,Clear Creek County,3806,7145,249813,177255,4348,5855
8,21,Conejos County,2727,6427,88128,68381,538,2052
8,23,Costilla County,1145,2443,35162,24538,356,655
8,25,Crowley County,1038,2366,34266,26736,253,1101
8,27,Custer County,1563,3212,72157,35395,1885,3821
8,29,Delta County,11515,25176,485899,338627,6802,14814
8,31,Denver County,260056,501474,13942514,11086108,274880,348670
8,33,Dolores County,746,1604,28181,22211,290,1081
8,35,Douglas County,105243,258249,10439884,8337317,611497,179470
8,37,Eagle County,21417,44992,1251017,945490,37693,44005
8,39,Elbert County,8208,19012,682204,498166,6448,13987
8,41,El Paso County,248027,545688,13414877,10393262,164010,249071
8,43,Fremont County,15529,32197,651713,454448,7062,17864
8,45,Garfield County,20806,48152,1190034,896464,19528,30837
8,47,Gilpin County,2187,4080,124524,97417,941,1814
8,49,Grand County,5813,11119,292131,215930,6124,9599
8,51,Gunnison County,6094,11159,283734,192833,7154,10260
8,53,Hinsdale County,334,661,15034,7371,548,960
8,55,Huerfano County,2480,4901,86924,52835,1640,3312
8,57,Jackson County,576,1181,22062,15867,447,1411
8,59,Jefferson County,213899,434763,14187308,10802178,233945,334998
8,61,Kiowa County,528,1185,23389,13163,303,846
8,63,Kit Carson County,2904,6462,123958,82001,5792,5397
8,65,Lake County,2724,5667,117803,90571,1474,2203
8,67,La Plata County,20844,40066,1194087,787939,29615,43350
8,69,Larimer County,122210,250521,6908778,5234310,113230,173356
8,71,Las Animas County,5689,11883,229338,173548,2490,6895
8,73,Lincoln County,1742,3849,68904,51890,947,3072
8,75,Logan County,7488,16019,354430,245634,5281,19342
8,77,Mesa County,58586,122717,3007905,2191296,50574,74072
8,79,Mineral County,324,620,16482,7693,856,854
8,81,Moffat County,5436,12230,285878,241086,2051,4246
8,83,Montezuma County,9716,20047,423043,295703,7012,13269
8,85,Montrose County,15766,35356,683036,475703,10463,23374
8,87,Morgan County,10434,24827,407960,343791,4408,10033
8,89,Otero County,7091,15447,253295,194520,2426,7442
8,91,Ouray County,1804,3582,100356,54347,4386,6195
8,93,Park County,5851,12011,320179,238793,3734,5738
8,95,Phillips County,1656,3830,80494,48916,790,3611
8,97,Pitkin County,7579,12451,531983,319004,34977,43836
8,99,Prowers County,4440,10260,192938,122923,1711,8873
8,101,Pueblo County,60523,128883,2673537,1965108,25423,52618
8,103,Rio Blanco County,2454,5575,149527,116646,1138,2495
8,105,Rio Grande County,5423,11994,218860,147691,2313,8231
8,107,Routt County,9893,18707,627953,434263,19103,31269
8,109,Saguache County,1432,2807,44275,29921,874,2110
8,111,San Juan County,310,500,10059,6791,284,316
8,113,San Miguel County,3111,5525,157362,100587,8235,7104
8,115,Sedgwick County,938,1956,36837,24712,568,1775
8,117,Summit County,13308,25504,807661,523398,21904,25082
8,119,Teller County,9582,20096,535667,390042,6112,10303
8,121,Washington County,1650,3696,68109,45915,817,2895
8,123,Weld County,93024,218322,4881074,3965005,40649,87400
8,125,Yuma County,3692,8700,170866,109993,3425,6863
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
