"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
9,0,CONNECTICUT,1480513,3024121,109370229,84376242,2129280,2807033
9,1,Fairfield County,357258,755971,36792835,27854081,956479,1197653
9,3,Hartford County,385058,775311,25604544,19966895,418132,569215
9,5,Litchfield County,81287,166451,5320793,4020286,117373,147100
9,7,Middlesex County,71777,144090,5262828,4054834,107095,118893
9,9,New Haven County,357934,722362,22179412,17428852,326127,488005
9,11,New London County,118671,236674,7347045,5613166,131860,160628
9,13,Tolland County,59421,123358,4291770,3370142,49583,79571
9,15,Windham County,49107,99904,2571002,2067986,22631,45968
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
