"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
13,0,GEORGIA,3742825,8337305,182442452,146060337,2390495,3677846
13,1,Appling County,6302,14651,232949,185966,932,5376
13,3,Atkinson County,2866,7497,77928,64864,231,2280
13,5,Bacon County,3710,8622,125916,108183,1238,2928
13,7,Baker County,1206,2645,39368,30987,279,851
13,9,Baldwin County,15928,33320,637117,447207,8215,15391
13,11,Banks County,6319,15117,243129,191100,2085,7029
13,13,Barrow County,26335,61680,1091951,931037,5539,15866
13,15,Bartow County,36971,88943,1603051,1314461,9840,26888
13,17,Ben Hill County,6238,14510,211565,156288,2324,7209
13,19,Berrien County,6251,14295,207330,161373,1394,6324
13,21,Bibb County,61805,130822,2632337,1964505,42727,65247
13,23,Bleckley County,4431,10019,191827,144307,1826,4646
13,25,Brantley County,5794,13856,210619,166634,647,3144
13,27,Brooks County,5822,12913,185698,142917,1785,4824
13,29,Bryan County,12412,30502,668231,584956,4596,9649
13,31,Bulloch County,21862,47021,907682,712459,9113,21701
13,33,Burke County,9072,20908,310180,247719,2098,5596
13,35,Butts County,8487,18909,332078,261733,1835,5898
13,37,Calhoun County,1874,4220,60076,47163,730,1601
13,39,Camden County,18877,43702,848773,701810,5229,10561
13,43,Candler County,3691,8655,130655,97758,1404,2896
13,45,Carroll County,40681,96185,1744185,1412503,16402,31599
13,47,Catoosa County,23000,52442,1019030,839684,3676,12687
13,49,Charlton County,3329,7670,119067,95187,580,2429
13,51,Chatham County,108377,216571,4981975,3767615,105112,143311
13,53,Chattahoochee County,2652,7475,95802,89122,327,550
13,55,Chattooga County,8950,20381,345657,245051,1687,5902
13,57,Cherokee County,80296,189550,4965867,4108637,44499,75724
13,59,Clarke County,39299,78912,1650544,1211872,31564,49321
13,61,Clay County,1070,2413,31148,22957,342,1566
13,63,Clayton County,109564,245262,3511003,3046369,17507,26950
13,65,Clinch County,2330,5454,72627,61345,234,1354
13,67,Cobb County,306824,643030,17496460,14410067,240851,309228
13,69,Coffee County,13780,32917,448961,366617,4405,14364
13,71,Colquitt County,15495,37110,535410,424283,7104,12240
13,73,Columbia County,45671,108860,3013649,2380327,32710,54042
13,75,Cook County,5934,13828,199944,159335,3196,4459
13,77,Coweta County,50399,129422,2719748,2223164,26378,39297
13,79,Crawford County,4525,10205,176116,141957,1195,2010
13,81,Crisp County,7898,17988,286627,208227,2399,7829
13,83,Dade County,5546,12576,221220,178055,1785,3348
13,85,Dawson County,8038,17939,401750,302729,5042,11453
13,87,Decatur County,10079,23035,358264,268500,4394,8381
13,89,DeKalb County,294050,592379,14536285,11945248,215040,311929
13,91,Dodge County,6809,15127,243204,186986,1597,5638
13,93,Dooly County,3777,8641,196489,99293,882,4650
13,95,Dougherty County,36690,78168,1363482,1019415,17835,30954
13,97,Douglas County,50770,116318,2319253,2001962,10969,27174
13,99,Early County,3924,9028,135606,103714,1375,3855
13,101,Echols County,1170,2961,37116,30761,79,782
13,103,Effingham County,19591,46332,978185,836519,3529,10676
13,105,Elbert County,7707,17787,271344,201574,5118,9781
13,107,Emanuel County,8253,19092,259830,203255,2132,6222
13,109,Evans County,3971,9205,142617,110281,2685,4447
13,111,Fannin County,8500,18229,808684,197545,4330,12873
13,113,Fayette County,40507,98494,3062743,2361644,39519,68849
13,115,Floyd County,34953,80937,1532359,1160412,21711,35740
13,117,Forsyth County,61465,157255,4884104,4081045,54352,82046
13,119,Franklin County,8427,19175,286658,213224,2503,10574
13,121,Fulton County,389726,768377,24616056,19962013,573776,617714
13,123,Gilmer County,10158,23042,399516,278601,5065,13326
13,125,Glascock County,975,2271,37703,29408,215,673
13,127,Glynn County,31060,66310,1503833,1060024,36371,51819
13,129,Gordon County,19952,50326,788921,642155,4220,15103
13,131,Grady County,8859,20916,314363,245055,5739,8634
13,133,Greene County,6186,13298,335137,193493,13828,20134
13,135,Gwinnett County,304852,731036,16125622,13508982,133430,226827
13,137,Habersham County,15377,35980,635841,471067,7466,22301
13,139,Hall County,66501,167395,3230095,2444947,51725,82867
13,141,Hancock County,3148,6845,92195,67569,933,2085
13,143,Haralson County,10159,23670,408404,324506,3891,8164
13,145,Harris County,11679,26947,701281,551078,11623,11632
13,147,Hart County,9246,20334,337291,236121,4701,11225
13,149,Heard County,3832,9016,138985,114346,658,1602
13,151,Henry County,78489,183618,3929636,3324985,19968,49992
13,153,Houston County,57087,128344,2843569,2240646,14695,39869
13,155,Irwin County,3287,7560,131275,88698,1105,3875
13,157,Jackson County,22241,53075,1042732,843546,6757,19489
13,159,Jasper County,5251,12195,212472,164376,1906,4475
13,161,Jeff Davis County,4965,12249,160188,133441,1358,4348
13,163,Jefferson County,6656,15594,220416,172689,1504,5000
13,165,Jenkins County,2865,6800,84477,66260,908,1986
13,167,Johnson County,2817,6437,88319,72183,312,2171
13,169,Jones County,10534,24263,499381,390145,2823,9155
13,171,Lamar County,6352,14034,238167,182600,1368,4069
13,173,Lanier County,2903,6859,89600,74770,636,1989
13,175,Laurens County,18559,42124,727282,565215,4987,16305
13,177,Lee County,11176,27159,620655,514906,3753,8035
13,179,Liberty County,23673,56146,864472,745214,2242,5842
13,181,Lincoln County,2965,6498,113474,83348,823,3237
13,183,Long County,3975,9711,145139,125583,141,1209
13,185,Lowndes County,40165,86745,1629506,1259127,28871,33917
13,187,Lumpkin County,9893,21862,419474,311629,5385,13717
13,189,McDuffie County,8424,19244,317841,250127,3341,5855
13,191,McIntosh County,4352,9257,160174,119647,1754,4156
13,193,Macon County,4344,10067,132756,104944,1946,2751
13,195,Madison County,10749,24621,417186,330751,3393,7563
13,197,Marion County,2566,5993,92557,71743,840,1805
13,199,Meriwether County,8428,19021,293797,226776,3480,5622
13,201,Miller County,2039,4607,83979,56126,2257,2300
13,205,Mitchell County,8036,18402,265886,211560,3552,7165
13,207,Monroe County,9593,21616,505647,386634,5521,13823
13,209,Montgomery County,2860,6537,106962,87052,863,3061
13,211,Morgan County,6953,15911,337379,248446,6333,10262
13,213,Murray County,13585,34367,479457,406991,1421,7466
13,215,Muscogee County,80697,170275,3360650,2586564,83943,62326
13,217,Newton County,36940,85303,1555528,1287733,10603,22555
