"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
15,0,HAWAII,572453,1153693,29420897,22102275,412176,823590
15,1,Hawaii County,71395,145092,3102011,2230025,51412,87999
15,3,Honolulu County,409623,825935,22155993,16659203,300091,633636
15,5,Kalawao County,-1,-1,-1,-1,-1,-1
15,7,Kauai County,28378,56505,1307234,982853,19722,31510
15,9,Maui County,63057,126161,2855659,2230194,40951,70444
1 Interest includes taxable and non-taxable interest,,,,,,,,
(1) Data has been suppressed to prevent disclosure.,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
