"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
16,0,IDAHO,584849,1355069,26280976,20164034,369653,693513
16,1,Ada County,153254,335228,8268393,6401412,116878,196265
16,3,Adams County,1519,3117,52300,33229,1355,2446
16,5,Bannock County,30456,68920,1327253,1039243,10313,24887
16,7,Bear Lake County,2189,5242,88266,68658,541,1932
16,9,Benewah County,3504,7696,130796,95483,1470,3123
16,11,Bingham County,16167,42255,710380,552200,5719,15508
16,13,Blaine County,9321,20082,684819,361032,46504,39364
16,15,Boise County,2626,5623,119937,86338,1084,3202
16,17,Bonner County,15937,33326,661697,448647,13335,25804
16,19,Bonneville County,38099,94435,2023968,1502971,29839,43211
16,21,Boundary County,4084,9313,149938,101988,1733,4294
16,23,Butte County,1001,2428,38824,33710,261,1014
16,25,Camas County,376,821,16144,11519,303,302
16,27,Canyon County,65349,165174,2409957,2002206,18768,51358
16,29,Caribou County,2570,6468,123748,97505,1118,3094
16,31,Cassia County,7763,21563,280633,226820,2822,11241
16,33,Clark County,313,922,10689,9290,55,166
16,35,Clearwater County,3191,6641,121157,83381,1541,3895
16,37,Custer County,1768,3711,78328,56650,1088,3207
16,39,Elmore County,10661,24692,408935,329758,2466,6923
16,41,Franklin County,4244,11946,172262,138634,911,4200
16,43,Fremont County,4586,11902,167558,125857,1790,4970
16,45,Gem County,6181,14163,231388,169179,4841,6356
16,47,Gooding County,5634,14674,40189,159003,2307,7132
16,49,Idaho County,5175,11122,176432,125317,3461,8850
16,51,Jefferson County,8647,24470,387329,316502,1677,7603
16,53,Jerome County,8160,22113,253154,240884,2316,6608
16,55,Kootenai County,56199,120001,2537212,1823115,35776,68740
16,57,Latah County,13390,27501,611441,458876,9719,16108
16,59,Lemhi County,3135,6440,106672,69993,2181,5976
16,61,Lewis County,1983,4294,73772,48229,602,2279
16,63,Lincoln County,1824,4811,64603,54422,347,1362
16,65,Madison County,9524,26192,365438,287343,3520,9433
16,67,Minidoka County,7595,19446,294164,221181,3252,7968
16,69,Nez Perce County,16200,33035,728833,530324,8806,21168
16,71,Oneida County,1504,3845,57856,47083,340,1506
16,73,Owyhee County,3905,10087,104499,100593,1567,3532
16,75,Payette County,8354,20249,331956,254117,3246,8007
16,77,Power County,2908,7626,121028,84272,704,3161
16,79,Shoshone County,4858,10013,188484,140412,2231,3788
16,81,Teton County,3509,8699,154877,124101,2602,4821
16,83,Twin Falls County,29617,68240,1107693,902140,14852,36346
16,85,Valley County,3915,8087,175471,108743,3834,7702
16,87,Washington County,3654,8456,122503,91673,1576,4659
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
