"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
18,0,INDIANA,2635250,5798733,129247401,99786923,1634786,2675792
18,1,Adams County,12908,32269,533021,370611,5575,15663
18,3,Allen County,146110,323799,7335923,5562696,112120,161831
18,5,Bartholomew County,32043,75334,1684462,1305098,24286,38562
18,7,Benton County,3677,8182,155935,114310,2459,3706
18,9,Blackford County,5567,11783,211746,156806,2151,4486
18,11,Boone County,22465,53271,1791837,1374141,32177,40467
18,13,Brown County,6542,13718,301238,217458,4375,6744
18,15,Carroll County,8387,19038,394447,286378,3168,8898
18,17,Cass County,16218,37146,659141,493207,5354,15035
18,19,Clark County,47773,101505,2146694,1718943,17032,37996
18,21,Clay County,10968,24188,457831,354336,3210,8318
18,23,Clinton County,13765,32640,586628,447395,6315,12044
18,25,Crawford County,4168,9057,144583,115963,723,2559
18,27,Daviess County,11978,28726,545349,376907,7832,13411
18,29,Dearborn County,21147,47213,1113541,885256,13597,18825
18,31,Decatur County,11091,24621,478488,364791,5932,10713
18,33,DeKalb County,17298,38753,761223,592096,10163,17271
18,35,Delaware County,43964,89789,1874154,1387017,21744,45084
18,37,Dubois County,18110,40493,1004061,726271,23005,35854
18,39,Elkhart County,77791,188415,3265588,2509164,46750,85134
18,41,Fayette County,9644,20915,350010,255359,3431,8790
18,43,Floyd County,31590,67241,1716580,1319597,18508,34998
18,45,Fountain County,7230,16267,326982,230552,2669,6617
18,47,Franklin County,9705,22681,465577,366042,8010,11948
18,49,Fulton County,8480,19107,345839,254704,4294,8936
18,51,Gibson County,13737,30157,662134,505477,7591,15241
18,53,Grant County,27397,58274,1092918,802381,8703,24954
18,55,Greene County,13152,28604,566722,436879,3080,11540
18,57,Hamilton County,105282,257933,9263582,7389542,145164,181342
18,59,Hancock County,29077,66013,1746610,1374159,16424,25826
18,61,Harrison County,16142,35267,724798,579255,6702,16196
18,63,Hendricks County,57647,134010,3645881,2978748,28907,53877
18,65,Henry County,20103,43158,852575,616249,8918,16274
