"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
21,0,KENTUCKY,1650452,3596595,77272170,59300730,1003786,1651220
21,1,Adair County,5952,13302,190779,150709,867,5559
21,3,Allen County,6721,15221,250178,194156,1841,5148
21,5,Anderson County,8948,20034,422550,327408,2484,8242
21,7,Ballard County,3155,6948,143406,109256,702,3143
21,9,Barren County,15752,35054,606042,462284,5526,15546
21,11,Bath County,4034,9268,137802,109182,524,3065
21,13,Bell County,8905,20065,309677,237361,2649,7742
21,15,Boone County,47012,108189,2853605,2367756,25871,34562
21,17,Bourbon County,7820,17550,317858,258428,7642,8007
21,19,Boyd County,18355,39474,901309,661556,7808,17960
21,21,Boyle County,10673,23149,487271,358668,9471,14420
21,23,Bracken County,3297,7484,136448,113082,730,1819
21,25,Breathitt County,4489,10470,164506,128645,367,2824
21,27,Breckinridge County,7132,16312,269546,197372,4506,7390
21,29,Bullitt County,30335,66848,1431662,1150158,6082,18759
21,31,Butler County,4628,10636,165721,130409,980,3113
21,33,Caldwell County,4901,10552,193251,142681,1688,4769
21,35,Calloway County,12910,27089,562662,388552,6243,16571
21,37,Campbell County,36828,75905,1951456,1550886,30936,31154
21,39,Carlisle County,1987,4386,84276,59646,416,2349
21,41,Carroll County,4462,10499,185338,147398,1143,3571
21,43,Carter County,9619,22453,370821,284427,1070,5949
21,45,Casey County,5333,12333,160887,125439,1505,3659
21,47,Christian County,27779,63886,1020197,759313,10713,19702
21,49,Clark County,14194,30637,636741,490779,8459,14214
21,51,Clay County,6063,14562,198601,156770,1113,3594
21,53,Clinton County,3469,8177,105377,80523,320,2664
21,55,Crittenden County,3264,7213,122613,94505,1116,2606
21,57,Cumberland County,2383,5206,74597,54156,425,2383
21,59,Daviess County,38527,83691,1831538,1362375,27728,47396
21,61,Edmonson County,4324,9801,150547,119737,411,3629
21,63,Elliott County,1967,4749,70055,55556,95,1241
21,65,Estill County,5227,11774,174365,136433,495,2844
21,67,Fayette County,118008,240985,6357570,4902661,121096,162419
21,69,Fleming County,5352,12393,190706,150975,1632,4794
21,71,Floyd County,13051,29980,540015,422441,3216,9833
21,73,Franklin County,21449,42631,1046708,679412,11463,27157
21,75,Fulton County,2402,5053,80959,56036,805,2541
21,77,Gallatin County,2842,6528,107823,88940,345,1084
21,79,Garrard County,6093,13662,248665,193630,1787,5244
21,81,Grant County,9690,22462,395130,322427,1835,5358
21,83,Graves County,13723,31307,567619,413111,5783,15520
21,85,Grayson County,9309,20883,330052,250374,1948,7059
21,87,Green County,3991,8891,127965,98574,1218,3605
21,89,Greenup County,13927,31470,672993,516899,4708,11404
21,91,Hancock County,3276,7699,149889,122384,576,2552
21,93,Hardin County,42274,94541,1903317,1451991,14686,36832
21,95,Harlan County,9347,22292,371488,302546,1537,6144
21,97,Harrison County,7004,15632,285004,229746,2347,6880
21,99,Hart County,6387,14675,195413,149613,1734,5607
21,101,Henderson County,18121,38961,842704,628061,9105,15886
21,103,Henry County,6070,13390,256126,198447,2432,5266
21,105,Hickman County,1766,3816,77169,49929,724,1912
