"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
25,0,MASSACHUSETTS,2758266,5500522,188649357,147699676,3340494,5095370
25,1,Barnstable County,103231,191136,6044903,3801518,206903,242169
25,3,Berkshire County,56252,107370,2919912,2088873,76554,99698
25,5,Bristol County,224831,460185,12660433,10256357,112647,212148
25,7,Dukes County,8009,14427,467599,273279,20601,19740
25,9,Essex County,316151,645045,21458068,16715163,374757,496239
25,11,Franklin County,31097,59316,1542242,1152237,27838,36836
25,13,Hampden County,189362,383499,9557213,7566123,105567,189052
25,15,Hampshire County,63157,119944,3640773,2746824,68867,94084
25,17,Middlesex County,640291,1276913,52178772,40906608,1015463,2033464
25,19,Nantucket County,5098,9152,321685,202962,11924,13465
25,21,Norfolk County,282269,583933,24962533,19276034,486182,651906
25,23,Plymouth County,205546,437077,14551347,11309100,205523,262514
25,25,Suffolk County,306993,523856,17598605,14416534,404439,377696
25,27,Worcester County,325979,688669,20745273,16988063,223228,366359
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
