"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
23,0,MAINE,551897,1102095,26884321,20396863,507244,634411
23,1,Androscoggin County,43899,88678,1928047,1591323,16869,31647
23,3,Aroostook County,28375,58386,1147919,876438,8507,24126
23,5,Cumberland County,122199,238623,7284952,5523646,172582,174330
23,7,Franklin County,11508,23377,473163,359289,7447,10534
23,9,Hancock County,23181,44450,1081245,703758,40515,54732
23,11,Kennebec County,51275,102814,2410793,1857705,28931,44682
23,13,Knox County,16878,32721,765377,495597,32268,28740
23,15,Lincoln County,15294,29834,690360,445909,30164,28672
23,17,Oxford County,22657,46107,883486,684625,12893,18732
23,19,Penobscot County,60459,121501,2811137,2212206,33225,53636
23,21,Piscataquis County,6680,13601,256594,184448,3531,6345
23,23,Sagadahoc County,15555,31237,804806,585710,19085,21648
23,25,Somerset County,19746,40827,786694,620112,6819,16160
23,27,Waldo County,15699,31716,653629,479553,14166,16936
23,29,Washington County,12908,26225,454470,325383,6611,11053
23,31,York County,85584,171998,4451649,3451161,73633,92437
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
