"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
27,0,MINNESOTA,2231007,4725560,132967428,103438061,1940764,2936124
27,1,Aitkin County,6217,12585,249197,152790,3375,7842
27,3,Anoka County,140474,307429,8373589,6875636,64697,99780
27,5,Becker County,13434,29005,601862,433668,7560,17566
27,7,Beltrami County,16945,36659,738163,547000,7258,21051
27,9,Benton County,16233,34420,754054,621521,7803,13588
27,11,Big Stone County,2192,4548,97498,58912,963,4253
27,13,Blue Earth County,24894,48940,1214510,906651,16007,31760
27,15,Brown County,11341,23614,546510,383438,8006,17236
27,17,Carlton County,14064,30123,666884,518711,4890,9407
27,19,Carver County,35275,85561,2992785,2489150,40676,54818
27,21,Cass County,12350,26158,514285,321787,8706,20497
27,23,Chippewa County,5461,11538,254712,171613,1982,7310
27,25,Chisago County,21673,48997,1237452,993130,10856,17496
27,27,Clay County,22752,48299,1130847,879911,11671,22231
27,29,Clearwater County,3310,7278,138174,104276,1135,3001
27,31,Cook County,2517,4623,109415,68373,2548,4394
27,33,Cottonwood County,4997,10782,236941,140828,2611,8251
27,35,Crow Wing County,25896,54359,1173099,831172,15092,35038
27,37,Dakota County,170660,375655,11805891,9650298,133037,192015
27,39,Dodge County,7966,18782,443909,359454,2411,11087
27,41,Douglas County,15686,32916,778650,542320,10120,25956
27,43,Faribault County,6483,13526,278464,178357,3450,8765
27,45,Fillmore County,8687,18858,385255,296707,3559,12268
27,47,Freeborn County,13600,28713,611106,442381,11862,15293
27,49,Goodhue County,19962,42808,1112909,810800,14662,25808
27,51,Grant County,2704,5622,130490,78238,2309,4261
27,53,Hennepin County,509152,1012223,35258030,27812810,718252,850726
27,55,Houston County,8262,17828,399449,312218,5510,11932
27,57,Hubbard County,8006,16922,345721,226134,4134,10297
27,59,Isanti County,15617,34197,792382,622917,5174,12618
27,61,Itasca County,18142,38276,829342,567710,10439,21686
27,63,Jackson County,4546,9545,211369,135837,1783,6278
27,65,Kanabec County,6545,14042,253072,198331,1676,6211
27,67,Kandiyohi County,17874,38723,908738,640472,10471,29653
27,69,Kittson County,1938,4107,91643,58614,2022,3672
27,71,Koochiching County,5607,11318,245121,183412,1906,5142
27,73,Lac qui Parle County,3111,6607,148336,86205,1191,5417
27,75,Lake County,4697,9358,211755,151956,2909,5226
27,77,Lake of the Woods County,1759,3565,71694,49641,926,2431
27,79,Le Sueur County,11571,25360,579663,453387,6235,18223
27,81,Lincoln County,2462,5157,109995,68288,1311,3648
27,83,Lyon County,10633,23078,552847,398052,5965,13746
27,85,McLeod County,15896,34661,798458,603693,8757,21579
27,87,Mahnomen County,2059,4495,74014,53130,438,1848
27,89,Marshall County,4032,8636,192373,131658,1676,5028
27,91,Martin County,9318,19311,432607,292652,6726,15238
27,93,Meeker County,9603,21457,457897,342645,4241,11671
27,95,Mille Lacs County,10728,22873,440017,338756,4024,8947
27,97,Morrison County,13831,30151,556258,440980,5499,16208
27,99,Mower County,17112,38936,821761,622630,11451,18699
27,101,Murray County,3621,7707,176674,104607,2333,6244
27,103,Nicollet County,13308,28274,707496,537248,8438,16312
27,105,Nobles County,8857,19683,394931,271401,5358,10992
27,107,Norman County,2822,6144,124904,77855,1908,3550
27,109,Olmsted County,62559,136010,4176178,3421000,51728,82975
27,111,Otter Tail County,24103,50809,1121585,770526,16498,37627
27,113,Pennington County,5978,12276,414885,211089,3480,23984
27,115,Pine County,11245,23483,446174,334097,2853,8598
27,117,Pipestone County,4034,8819,174992,119471,2165,6281
27,119,Polk County,12813,27456,627327,444497,5997,13918
27,121,Pope County,4773,9932,222361,150890,2141,8256
27,123,Ramsey County,216939,433638,12138955,9513764,228993,278286
27,125,Red Lake County,1728,3698,72503,55675,559,2114
27,127,Redwood County,6762,14512,331813,200522,4709,12515
27,129,Renville County,6902,14684,355265,212838,4387,10425
27,131,Rice County,24330,54184,1287809,1011593,14629,28274
27,133,Rock County,3994,8849,193408,129537,2180,6345
27,135,Roseau County,6523,14681,290679,233425,4577,9659
27,137,St. Louis County,82416,161576,4058159,2978248,54367,87811
27,139,Scott County,51881,123639,4008473,3203677,39880,56291
27,141,Sherburne County,34428,80877,2031870,1700799,11921,27769
27,143,Sibley County,6472,14303,307261,224685,2546,9270
27,145,Stearns County,59632,127778,3160624,2416324,37252,83511
27,147,Steele County,15695,34594,823001,644999,8050,19868
27,149,Stevens County,3624,7971,187527,125043,6842,6969
27,151,Swift County,4142,8885,193456,130505,1307,6113
27,153,Todd County,9446,21343,360117,285035,2819,10550
27,155,Traverse County,1483,3154,70467,37968,1209,2737
