"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
30,0,MONTANA,410961,830219,18704624,13202112,372225,594670
30,1,Beaverhead County,3650,7358,137833,96994,4747,6377
30,3,Big Horn County,4421,10852,152721,122976,1109,2562
30,5,Blaine County,2474,5575,77935,58548,1647,2470
30,7,Broadwater County,2014,4252,82278,60832,1318,3470
30,9,Carbon County,4060,8142,464072,123529,4682,7391
30,11,Carter County,486,1015,16312,8781,1118,1004
30,13,Cascade County,35699,71430,1589330,1134757,29043,45239
30,15,Chouteau County,1923,3893,82028,45117,2700,5215
30,17,Custer County,4789,9725,207505,149501,3799,6090
30,19,Daniels County,788,1654,33798,20520,977,1844
30,21,Dawson County,3610,7525,170209,126875,2226,4404
30,23,Deer Lodge County,3701,7107,143226,105539,1829,3824
30,25,Fallon County,1179,2617,68225,49210,520,1690
30,27,Fergus County,4971,9870,191699,124602,4714,8924
30,29,Flathead County,37582,77586,1648907,1110822,38865,63234
30,31,Gallatin County,38023,73240,1916224,1330493,44772,64175
30,33,Garfield County,468,1012,13567,8394,481,969
30,35,Glacier County,5050,11297,151885,124226,4350,2480
30,37,Golden Valley County,458,876,14056,8837,739,812
30,39,Granite County,1182,2307,45047,29397,1146,2174
30,41,Hill County,6907,14767,277151,213450,7465,11516
30,43,Jefferson County,4468,9808,245873,180464,3106,6234
30,45,Judith Basin County,860,1696,26354,16040,1003,2396
30,47,Lake County,10484,22859,392888,265480,7476,15207
30,49,Lewis and Clark County,27830,55741,1380042,1023823,21893,33155
30,51,Liberty County,863,1594,28912,14726,2685,1659
30,53,Lincoln County,7377,15198,271547,176747,4160,9576
30,55,McCone County,672,1469,24027,17704,421,1458
30,57,Madison County,3016,6001,132851,78762,4360,5954
30,59,Meagher County,849,1590,23634,15338,1380,2007
30,61,Mineral County,1692,3390,59830,40964,515,2220
30,63,Missoula County,46425,86906,2082102,1531845,37654,61880
30,65,Musselshell County,1706,3625,60516,47365,1318,2379
30,67,Park County,6973,13320,286274,202077,7214,14014
30,69,Petroleum County,153,337,3621,2453,113,262
30,71,Phillips County,1755,3771,61991,43222,1193,2793
30,73,Pondera County,2674,5381,88486,61477,4022,3777
30,75,Powder River County,624,1320,23717,15074,402,1327
30,77,Powell County,2362,4821,84798,61540,1193,3262
30,79,Prairie County,517,1039,16820,11229,349,1094
30,81,Ravalli County,16350,34160,663913,430994,13971,29337
30,83,Richland County,4264,8897,236269,166291,3579,6101
30,85,Roosevelt County,3690,8777,128173,100885,829,3013
30,87,Rosebud County,3622,8642,163733,138413,1586,3031
30,89,Sanders County,4240,8887,138691,88809,2286,6079
30,91,Sheridan County,1599,3139,72762,42402,1848,3596
30,93,Silver Bow County,14139,27744,632477,475329,8968,16287
30,95,Stillwater County,3569,7799,176631,136863,4602,6082
30,97,Sweet Grass County,1414,2969,59780,40409,2499,3771
30,99,Teton County,2724,5524,99097,64732,3883,4919
30,101,Toole County,2105,4054,83519,58873,3900,2456
30,103,Treasure County,327,692,13023,9368,538,873
30,105,Valley County,3010,6290,124749,86457,3323,5276
30,107,Wheatland County,931,1677,24885,17198,1179,776
30,109,Wibaux County,387,809,14795,10829,358,547
30,111,Yellowstone County,63855,128193,3293837,2474529,60173,86011
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
