"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
38,0,NORTH DAKOTA,285426,582067,15570754,11091472,200198,450299
38,1,Adams County,1014,2049,42318,30903,547,1563
38,3,Barnes County,4697,9575,234984,147045,3658,8189
38,5,Benson County,2439,5780,90558,58251,2795,2718
38,7,Billings County,346,681,19575,10122,188,1107
38,9,Bottineau County,2796,5710,157211,86046,2432,6422
38,11,Bowman County,1308,2833,77294,44659,961,3967
38,13,Burke County,893,1808,50206,28797,1176,2106
38,15,Burleigh County,35182,71851,2119224,1610597,25688,48750
38,17,Cass County,64415,126270,3720192,2879056,49462,121913
38,19,Cavalier County,1778,3696,108247,46850,1428,4329
38,21,Dickey County,2161,4629,104396,60514,4701,3464
38,23,Divide County,903,1791,49519,21755,718,2005
38,25,Dunn County,1410,3031,66972,45297,496,1646
38,27,Eddy County,996,2062,44902,27622,598,1734
38,29,Emmons County,1418,3133,57401,34458,624,2774
38,31,Foster County,1433,3039,86250,49235,926,2791
38,33,Golden Valley County,724,1471,32011,20282,2479,1596
38,35,Grand Forks County,27434,53708,1464996,1109724,20770,33642
38,37,Grant County,1027,2071,29697,20520,261,2115
38,39,Griggs County,1060,2159,50790,28153,1296,2307
38,41,Hettinger County,1050,2150,52211,24423,708,2574
38,43,Kidder County,1032,2187,34206,25126,707,2057
38,45,LaMoure County,1719,3580,98913,47691,1075,4361
38,47,Logan County,795,1756,27815,18311,485,2169
38,49,McHenry County,2354,4802,92763,69947,1444,3507
38,51,McIntosh County,1212,2457,45787,27840,1717,3104
38,53,McKenzie County,2197,4851,152614,90598,1643,4419
38,55,McLean County,3828,7993,198955,134279,2582,6787
38,57,Mercer County,3560,7824,214537,172166,1841,5496
38,59,Morton County,11899,24789,608836,478023,5101,13137
38,61,Mountrail County,3165,6801,202394,104562,1353,5099
38,63,Nelson County,1417,2805,69908,36628,696,3504
38,65,Oliver County,778,1738,38726,30657,299,1508
38,67,Pembina County,3365,6956,193715,113158,3172,7015
38,69,Pierce County,1796,3788,77890,49088,877,3008
38,71,Ramsey County,4928,9981,249553,163155,2679,7689
38,73,Ransom County,2243,4900,112236,75229,898,3554
38,75,Renville County,1071,2237,60710,33158,683,1690
38,77,Richland County,6700,14264,360869,235343,4576,9620
38,79,Rolette County,4833,11708,175555,134986,875,2581
38,81,Sargent County,1664,3628,79935,49439,1349,4881
38,83,Sheridan County,602,1168,21393,12031,194,1413
38,85,Sioux County,1271,3184,32581,30859,40,324
38,87,Slope County,288,599,13141,6151,222,1057
38,89,Stark County,10487,21410,581618,419286,6519,13629
38,91,Steele County,847,1765,53203,25340,781,2407
38,93,Stutsman County,8964,17810,447909,313906,5928,12495
38,95,Towner County,1036,2046,49819,24191,520,2736
38,97,Traill County,3275,6977,186118,118216,2149,4863
38,99,Walsh County,4878,9906,245339,151616,3420,7762
38,101,Ward County,27088,55030,1417809,1026775,15056,31944
38,103,Wells County,1884,3811,97303,49160,1520,4399
38,105,Williams County,9766,19819,669650,440245,7886,14369
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
