"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
31,0,NEBRASKA,745832,1624289,39690352,30414708,670448,1099511
31,1,Adams County,12476,27022,633084,439667,13783,23460
31,3,Antelope County,2626,5934,112095,72409,1818,4882
31,5,Arthur County,182,404,4830,3658,72,265
31,7,Banner County,307,680,9241,8653,93,468
31,9,Blaine County,180,425,5135,4104,132,570
31,11,Boone County,2291,5118,102006,66695,1284,4988
31,13,Box Butte County,4695,10280,231702,182085,2592,5549
31,15,Boyd County,839,1810,24086,17734,425,1342
31,17,Brown County,1304,2721,40550,32060,1016,2371
31,19,Buffalo County,18123,39080,981925,713272,65013,31968
31,21,Burt County,2844,6240,127488,89296,1645,3713
31,23,Butler County,3518,7805,162220,115363,2120,5532
31,25,Cass County,10469,23419,599814,452941,5370,11673
31,27,Cedar County,3526,8237,159743,104949,1814,6366
31,29,Chase County,1552,3502,79603,45602,965,4208
31,31,Cherry County,2321,4950,73990,60682,1442,4864
31,33,Cheyenne County,4306,9073,215262,176847,3342,7038
31,35,Clay County,2613,5918,125252,82438,1466,3973
31,37,Colfax County,4132,10234,175957,132165,1387,5773
31,39,Cuming County,3726,8589,175226,123845,2451,6910
31,41,Custer County,4437,9854,160626,125624,2897,7806
31,43,Dakota County,8545,20932,346998,292241,1918,6626
31,45,Dawes County,3275,6688,126350,95539,1673,4055
31,47,Dawson County,9687,23153,390096,310149,3937,9052
31,49,Deuel County,765,1585,31923,21931,718,1419
31,51,Dixon County,2313,5363,102032,76254,964,2645
31,53,Dodge County,15316,32891,713963,523873,10957,20092
31,55,Douglas County,215433,459484,12994790,10137653,248154,366989
31,57,Dundy County,760,1664,29629,19344,1278,2178
31,59,Fillmore County,2489,5448,124325,75329,2358,5289
31,61,Franklin County,1325,2890,57941,34902,1412,2434
31,63,Frontier County,999,2239,35908,28747,710,1520
31,65,Furnas County,2027,4407,78840,56037,1004,3924
31,67,Gage County,9234,19732,410599,301898,6184,12702
31,69,Garden County,860,1749,29563,19377,709,2324
31,71,Garfield County,689,1529,24601,16594,585,1895
31,73,Gosper County,860,1852,42690,28227,1448,1747
31,75,Grant County,298,642,10990,6988,200,731
31,77,Greeley County,1007,2226,29636,22893,519,2014
31,79,Hall County,23817,53094,1150772,853017,16732,42997
31,81,Hamilton County,3819,8838,219221,143080,3506,7608
31,83,Harlan County,1310,2854,57799,37436,788,2100
31,85,Hayes County,381,870,8287,8386,240,606
31,87,Hitchcock County,1192,2566,43819,30844,783,1706
31,89,Holt County,4303,9614,154300,118243,3436,7405
31,91,Hooker County,325,731,9193,8500,85,479
31,93,Howard County,2570,5766,99568,85719,972,3695
31,95,Jefferson County,3118,6565,141244,92495,3333,6807
31,97,Johnson County,1830,3961,73528,56615,871,2191
31,99,Kearney County,2532,5670,138885,84766,2641,4372
31,101,Keith County,3410,7200,140430,102480,2325,4571
31,103,Keya Paha County,365,799,8143,6950,255,792
31,105,Kimball County,1530,3200,59237,43414,1376,2862
31,107,Knox County,3476,7651,123042,90139,1797,5954
31,109,Lancaster County,116327,239831,6334114,4892466,103815,148817
31,111,Lincoln County,14654,32261,712708,563298,8154,18203
31,113,Logan County,311,719,10294,8187,115,287
31,115,Loup County,240,541,5409,5641,137,404
31,117,McPherson County,174,421,4658,4610,153,244
31,119,Madison County,14535,32093,673396,529451,10180,18971
31,121,Merrick County,3107,6986,134080,97011,1559,4631
31,123,Morrill County,1874,4237,75231,57748,843,3190
31,125,Nance County,1391,3129,53864,39493,381,2220
31,127,Nemaha County,2706,5892,139024,105451,1562,4297
31,129,Nuckolls County,1867,3980,76276,47274,1148,3096
31,131,Otoe County,6550,14493,336672,245981,7112,9519
31,133,Pawnee County,1103,2323,40969,26038,855,2235
31,135,Perkins County,1181,2695,60899,34979,781,1946
31,137,Phelps County,3748,8378,202365,128175,2869,6763
31,139,Pierce County,2768,6536,126000,95863,1281,4095
31,141,Platte County,13730,31193,651576,523627,8541,19206
31,143,Polk County,2227,5021,110952,69824,2071,3552
31,145,Red Willow County,4496,9664,197226,144012,3262,9084
31,147,Richardson County,3528,7342,148904,102799,2529,5604
31,149,Rock County,482,1034,17141,11421,691,1064
31,151,Saline County,5531,12781,253846,190890,2300,7444
31,153,Sarpy County,66137,151484,4090863,3359108,34552,49000
31,155,Saunders County,8239,18845,462704,337481,4151,11550
31,157,Scotts Bluff County,14778,31816,640949,516531,9381,18095
31,159,Seward County,6411,14743,373949,262694,3668,9983
31,161,Sheridan County,2180,4686,79958,55368,1578,3818
31,163,Sherman County,1289,2767,41776,34373,435,1793
31,165,Sioux County,461,991,12951,11211,280,753
31,167,Stanton County,2332,5422,103694,84721,1102,2383
31,169,Thayer County,2129,4657,101874,63912,2136,5298
31,171,Thomas County,259,562,8835,8362,607,727
31,173,Thurston County,2402,6131,93520,67223,1568,2497
31,175,Valley County,1698,3715,60380,48937,853,3003
31,177,Washington County,8015,18423,531171,412482,7106,10344
31,179,Wayne County,3270,7231,150547,110862,2314,4622
31,181,Webster County,1475,3267,59734,38355,1199,2957
31,183,Wheeler County,310,724,6986,8063,177,705
31,185,York County,5590,12127,296682,190640,4003,11612
