"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
33,0,NEW HAMPSHIRE,572894,1161463,34981709,27697689,618350,784306
33,1,Belknap County,27669,54777,1496567,1101559,39724,47877
33,3,Carroll County,21708,41839,1092948,704125,42706,50671
33,5,Cheshire County,32898,64615,1740541,1336843,44459,41351
33,7,Coos County,14107,27554,553115,426597,7602,15220
33,9,Grafton County,37635,72167,2111489,1565527,66457,61046
33,11,Hillsborough County,174062,360298,11267523,9291168,145289,213550
33,13,Merrimack County,62772,127555,3747840,2911803,71127,84416
33,15,Rockingham County,131917,273449,9218137,7345700,145641,197852
33,17,Strafford County,51551,102078,2799925,2270658,36330,47822
33,19,Sullivan County,18575,37131,953623,743709,19015,24500
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
