"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
35,0,NEW MEXICO,809892,1723771,35956279,27341927,493781,863169
35,1,Bernalillo County,270124,545878,13211114,10105810,178028,299690
35,3,Catron County,1335,2533,40670,21589,686,1842
35,5,Chaves County,23149,53079,860164,671707,12160,20575
35,6,Cibola County,8694,19122,295820,246537,1462,3688
35,7,Colfax County,5280,10544,194401,136674,3161,6366
35,9,Curry County,18889,43821,644675,584219,7029,17315
35,11,De Baca County,762,1642,28393,18342,343,1131
35,13,Doña Ana County,78747,173267,3013611,2285814,34967,64432
35,15,Eddy County,20307,45793,1006016,806305,10341,20158
35,17,Grant County,11873,24219,438343,294198,7460,13654
35,19,Guadalupe County,1742,3566,45946,40741,243,642
35,21,Harding County,281,547,8704,6194,118,433
35,23,Hidalgo County,1849,4049,57710,46937,441,1302
35,25,Lea County,22819,55908,1018923,854830,10248,17047
35,27,Lincoln County,8192,16237,307284,188937,5937,11629
35,28,Los Alamos County,7903,17459,788694,581901,14282,16326
35,29,Luna County,9866,22446,271823,195642,3050,7132
35,31,McKinley County,30327,72492,900812,753548,4133,8025
35,33,Mora County,1955,3863,55872,41958,514,1184
35,35,Otero County,24151,51552,908673,654765,6261,17721
35,37,Quay County,3535,7188,101569,78050,1215,3147
35,39,Rio Arriba County,15876,32912,608525,493661,3522,9090
35,41,Roosevelt County,7038,16114,202905,190364,1863,6050
35,43,Sandoval County,52506,114035,2835557,2106228,28865,45197
35,45,San Juan County,51456,121202,2317364,1897847,16183,37933
35,47,San Miguel County,10543,20825,353329,263276,2671,11892
35,49,Santa Fe County,61080,117520,3250064,2142493,106303,170684
35,51,Sierra County,4750,8888,137442,86483,2431,6001
35,53,Socorro County,6554,14096,216397,172589,2034,4131
35,55,Taos County,13434,25278,459579,310869,11499,13095
35,57,Torrance County,5467,12110,181150,148234,1183,2967
35,59,Union County,1599,3400,57514,43325,490,2167
35,61,Valencia County,27809,62186,1137238,871860,14657,20523
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
