"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
32,0,NEVADA,1099625,2357588,55455140,42482664,852757,1575154
32,1,Churchill County,9927,21574,453070,337113,3423,10281
32,3,Clark County,793163,1721066,39072439,30544882,503655,1030667
32,5,Douglas County,21156,42076,1262611,768779,44402,69847
32,7,Elko County,19030,44344,1147583,970901,7559,13284
32,9,Esmeralda County,320,635,13405,9044,158,471
32,11,Eureka County,666,1493,34143,29250,107,597
32,13,Humboldt County,6797,15555,373402,319109,2016,5925
32,15,Lander County,2239,5295,125658,110300,444,1508
32,17,Lincoln County,1600,3753,77927,52725,490,2192
32,19,Lyon County,20942,45217,906168,693381,8514,20264
32,21,Mineral County,1996,3828,77111,55050,631,1541
32,23,Nye County,16903,35198,728140,481218,8926,21373
32,27,Pershing County,1826,4123,78842,64807,508,1295
32,29,Storey County,1587,3107,81479,60411,666,1389
32,31,Washoe County,174551,356089,9699477,7043052,250540,352083
32,33,White Pine County,3728,7759,181023,144794,1185,2877
32,510,Carson City,23194,46476,1142660,797848,19534,39561
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
