"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
40,0,OKLAHOMA,1393368,3067236,66369831,50711590,756570,1483487
40,1,Adair County,7611,18543,224524,190860,1004,2678
40,3,Alfalfa County,1815,3895,78337,49953,603,4131
40,5,Atoka County,4890,11274,174187,135402,648,5003
40,7,Beaver County,1935,4721,94167,67015,933,4081
40,9,Beckham County,7676,17229,369782,276195,2900,13296
40,11,Blaine County,3731,8412,151230,110634,1478,4554
40,13,Bryan County,14091,30813,510950,400090,4316,11220
40,15,Caddo County,9920,22878,400913,286634,3427,10349
40,17,Canadian County,43881,99837,2483468,1963796,16977,37590
40,19,Carter County,18068,39835,809838,606915,11014,21108
40,21,Cherokee County,15480,34921,581492,446973,3636,12657
40,23,Choctaw County,5259,11713,166693,139277,905,4297
40,25,Cimarron County,1028,2354,37268,24390,548,1441
40,27,Cleveland County,97417,205528,5201975,4045398,43662,82523
40,29,Coal County,1841,4301,74295,53622,573,1925
40,31,Comanche County,44808,99716,1909793,1492125,12331,26437
40,33,Cotton County,2237,4917,90410,70448,890,1285
40,35,Craig County,5125,11251,189335,149396,1114,6147
40,37,Creek County,26104,59593,1224747,944381,13439,26400
40,39,Custer County,9789,21645,462321,336236,5706,13157
40,41,Delaware County,13387,29661,491380,347434,7240,14254
40,43,Dewey County,1773,4037,74666,54458,695,3141
40,45,Ellis County,1491,3291,69107,43485,629,1975
40,47,Garfield County,24511,52786,1137991,831236,14634,31736
40,49,Garvin County,10065,22246,404081,310238,4434,13856
40,51,Grady County,18039,40965,871883,662656,6859,18044
40,53,Grant County,1690,3663,73851,49863,847,2831
40,55,Greer County,1794,4032,67411,49276,1118,1993
40,57,Harmon County,938,2235,32557,23559,291,1465
40,59,Harper County,1432,3405,61131,43552,943,2432
40,61,Haskell County,4204,9967,148480,118458,1210,3001
40,63,Hughes County,4447,9974,155740,119702,1185,4138
40,65,Jackson County,10075,22731,437587,330021,2492,6712
40,67,Jefferson County,2073,4670,69826,53531,553,1843
40,69,Johnston County,3700,8320,126425,102857,789,1912
40,71,Kay County,17720,38981,777061,538356,13228,21152
40,73,Kingfisher County,5774,13264,276617,209774,3180,8624
40,75,Kiowa County,3391,7313,123579,90182,1699,3831
40,77,Latimer County,4186,9488,170645,129097,806,4169
40,79,Le Flore County,16473,38886,616905,470701,3214,10666
40,81,Lincoln County,11618,26764,470617,378295,2352,8321
40,83,Logan County,14412,32549,741722,585500,5059,12144
40,85,Love County,3451,7516,133838,103789,842,2511
40,87,McClain County,13051,30066,662266,524937,3650,10932
40,89,McCurtain County,11172,25574,363971,303684,2235,8157
40,91,McIntosh County,6910,15021,250316,179395,1384,5578
40,93,Major County,2898,6540,129029,93118,2264,4462
40,95,Marshall County,5172,11742,193630,139895,1019,4612
40,97,Mayes County,14544,33379,610772,466212,5958,12918
40,99,Murray County,4823,10570,198187,148502,1710,4082
40,101,Muskogee County,25684,57858,1049940,802263,8468,22812
40,103,Noble County,4217,9461,174216,134219,1671,4951
40,105,Nowata County,3848,8718,149067,120308,971,4264
40,107,Okfuskee County,3627,8384,121130,95325,779,3059
40,109,Oklahoma County,278740,585444,14110872,10647373,180203,325650
40,111,Okmulgee County,14284,31887,550340,426132,4561,10467
40,113,Osage County,15439,35037,696579,552447,4796,11141
40,115,Ottawa County,12069,26473,419141,329719,3364,11289
40,117,Pawnee County,5791,13268,237292,191517,1698,5004
40,119,Payne County,25318,51968,1159829,881284,14885,26582
40,121,Pittsburg County,16974,36346,742237,543984,5168,19584
40,123,Pontotoc County,14167,30215,575923,445729,5089,15226
40,125,Pottawatomie County,25268,56379,1062837,790136,7137,20923
40,127,Pushmataha County,4000,9054,132121,104023,2076,2533
40,129,Roger Mills County,1307,3010,69942,38748,894,3869
40,131,Rogers County,32509,75625,1780660,1418567,12678,30615
40,133,Seminole County,8351,19161,305685,229331,4334,7278
40,135,Sequoyah County,14419,33627,511254,396148,2533,10857
40,137,Stephens County,16232,36451,755546,547638,9318,21203
40,139,Texas County,8107,21450,355403,279975,3122,8902
40,141,Tillman County,2834,6308,95931,71506,897,2510
40,143,Tulsa County,240375,528862,12991297,9955447,221677,319204
40,145,Wagoner County,26441,61752,1371310,1119236,8023,20439
40,147,Washington County,20641,44779,1110759,808134,26021,31721
40,149,Washita County,4219,9493,188603,128393,1077,5389
40,151,Woods County,3174,6433,145513,91492,1958,5673
40,153,Woodward County,7413,16781,329409,271015,4548,10572
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
