"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
41,0,OREGON,1515126,3172921,76115814,56251923,1258916,2061894
41,1,Baker County,6245,12987,233040,159862,3891,10727
41,3,Benton County,31669,63456,1834260,1294488,43809,59919
41,5,Clackamas County,150463,325103,9508842,7010031,183894,256325
41,7,Clatsop County,14817,30071,631088,430501,9551,18854
41,9,Columbia County,19059,41855,961633,738741,7944,18936
41,11,Coos County,24327,48463,942986,618417,14343,32804
41,13,Crook County,7765,16905,306100,212775,4370,13149
41,15,Curry County,9169,17480,352421,195638,7273,19282
41,17,Deschutes County,63741,132038,3069297,2053322,72024,124311
41,19,Douglas County,40727,84624,1602408,1084756,22020,49996
41,21,Gilliam County,758,1498,34029,22290,952,1045
41,23,Grant County,2739,5682,97917,73075,1477,4085
41,25,Harney County,2722,5919,87172,70583,949,4005
41,27,Hood River County,9156,21211,470842,329332,9410,14482
41,29,Jackson County,81674,169468,3578754,2392817,70586,138518
41,31,Jefferson County,7556,17637,285533,203277,3109,8070
41,33,Josephine County,31761,64649,1206708,735875,20856,50488
41,35,Klamath County,24796,52799,972576,707442,13372,27763
41,37,Lake County,2804,5867,101492,75332,1228,3767
41,39,Lane County,137891,272487,6352179,4422064,109366,203962
41,41,Lincoln County,18719,35980,770437,461406,14788,28922
41,43,Linn County,44481,96938,1922732,1424490,21064,50972
41,45,Malheur County,9744,23649,329399,250283,4553,12666
41,47,Marion County,118101,271782,5444258,3979672,71304,133807
41,49,Morrow County,4168,11262,174563,142531,1530,2910
41,51,Multnomah County,314224,594834,16210894,12489199,284633,369450
41,53,Polk County,27874,63032,1422434,1021306,19273,34983
41,55,Sherman County,760,1565,40150,20760,425,1010
41,57,Tillamook County,10046,20641,428389,268495,7169,16510
41,59,Umatilla County,27437,65032,1188539,916828,9115,24921
41,61,Union County,9927,21208,424582,299037,5521,12349
41,63,Wallowa County,2962,5971,107959,69042,2599,6169
41,65,Wasco County,9613,20543,406671,284204,6754,12831
41,67,Washington County,210852,466755,12860938,10465500,186932,250264
41,69,Wheeler County,520,1053,15429,11347,204,700
41,71,Yamhill County,35859,82477,1739163,1317203,22629,42941
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
