"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
45,0,SOUTH CAROLINA,1782679,3867544,81609497,61932869,1256925,1853375
45,1,Abbeville County,9081,20438,332765,257550,2192,6322
45,3,Aiken County,61648,134812,3015819,2264727,43184,67145
45,5,Allendale County,3195,7156,91980,68956,1883,2368
45,7,Anderson County,70637,158614,3083355,2397929,32676,60523
45,9,Bamberg County,5187,11485,175470,134138,1497,3508
45,11,Barnwell County,8245,18597,299379,238034,1993,5466
45,13,Beaufort County,64046,137538,3615094,2094537,172627,247788
45,15,Berkeley County,69928,151608,3174702,2571859,18773,34275
45,17,Calhoun County,5593,12016,222316,165554,2510,4795
45,19,Charleston County,143225,280507,7534811,5536988,171313,222445
45,21,Cherokee County,20257,46046,757504,594034,6691,13580
45,23,Chester County,12584,27868,444289,347044,3471,6489
45,25,Chesterfield County,16165,36500,546818,430791,4906,8575
45,27,Clarendon County,12338,27073,404592,293498,4400,8422
45,29,Colleton County,14944,32920,518999,389524,5896,10753
45,31,Darlington County,25466,56196,982034,775297,14700,16181
45,33,Dillon County,11917,27359,359586,295546,2401,5278
45,35,Dorchester County,53629,120631,2591628,2067674,16863,31267
45,37,Edgefield County,9023,20387,403362,310146,4956,8240
45,39,Fairfield County,8947,18882,367123,247987,2407,4823
45,41,Florence County,52090,114392,2251192,1769684,35438,46838
45,43,Georgetown County,24746,52819,1164386,731718,30726,46969
45,45,Greenville County,175050,390112,9233822,7283292,153075,190601
45,47,Greenwood County,26567,59941,1117975,844252,15795,22985
45,49,Hampton County,7404,16729,276826,210288,3432,6969
45,51,Horry County,113410,229440,4354180,2984447,68224,130584
45,53,Jasper County,8181,18817,263797,217401,1514,2870
45,55,Kershaw County,24184,53327,1061619,808224,12272,19624
45,57,Lancaster County,28395,63869,1252797,938022,12947,23507
45,59,Laurens County,24353,54444,891544,701649,9466,15681
45,61,Lee County,6640,14573,203499,158628,1754,3110
45,63,Lexington County,104246,226523,5340728,4149125,57062,98214
45,65,McCormick County,3783,7631,150520,80731,3757,4704
45,67,Marion County,12567,27399,370595,293413,2941,6566
45,69,Marlboro County,10201,22453,294061,237799,2442,3848
45,71,Newberry County,15023,34557,581168,448528,5670,12810
45,73,Oconee County,28028,61190,1312025,894089,29580,40179
45,75,Orangeburg County,34345,73427,1175010,910000,13992,20579
45,77,Pickens County,41957,92229,1866902,1444057,26267,38888
45,79,Richland County,147393,302894,7384116,5704299,97593,136636
45,81,Saluda County,7739,19049,292185,223249,1796,5528
45,83,Spartanburg County,107886,243643,4864658,3809687,83080,95610
45,85,Sumter County,41888,92845,1579653,1215413,17107,28315
45,87,Union County,10653,23001,361820,282442,2577,5092
45,89,Williamsburg County,12361,27168,368904,293330,2176,7710
45,91,York County,87534,198439,4673889,3817289,50903,70716
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
