"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
47,0,TENNESSEE,2486628,5393876,116002875,91228480,1325097,2574527
47,1,Anderson County,29835,63187,1423358,1071705,15662,36532
47,3,Bedford County,17179,40401,652868,513447,6135,18458
47,5,Benton County,6217,13318,220320,161257,1941,7245
47,7,Bledsoe County,3676,8564,127941,99184,775,2782
47,9,Blount County,49331,106052,2298684,1734307,24500,55153
47,11,Bradley County,37521,84204,1579947,1251581,12396,33658
47,13,Campbell County,13545,30261,491541,380115,2678,12876
47,15,Cannon County,5316,11623,195978,155343,1650,4760
47,17,Carroll County,10877,24070,404780,308825,2423,8486
47,19,Carter County,21056,43765,743369,572181,4560,18975
47,21,Cheatham County,15807,35681,738060,616386,2678,9384
47,23,Chester County,5868,13418,221551,179513,1148,4535
47,25,Claiborne County,11396,25207,405039,318028,2252,13643
47,27,Clay County,2743,5978,81302,61198,385,2450
47,29,Cocke County,13174,28105,418887,325220,2651,9053
47,31,Coffee County,20587,45571,857523,650456,7098,24580
47,33,Crockett County,5530,12589,201129,160910,4253,4693
47,35,Cumberland County,22769,47785,885067,513327,15610,31459
47,37,Davidson County,267517,520970,13180925,10454519,204359,301461
47,39,Decatur County,4325,9597,159317,120873,758,4440
47,41,DeKalb County,6931,15787,242091,192244,1918,8511
47,43,Dickson County,19186,42989,808582,650220,4709,14766
47,45,Dyer County,14842,33159,596489,456837,5266,11227
47,47,Fayette County,15536,34297,844151,657368,5599,17873
47,49,Fentress County,5946,13778,186871,139166,1011,5535
47,51,Franklin County,15672,33937,652460,489314,6804,16060
47,53,Gibson County,19002,42607,742202,576070,5594,16394
47,55,Giles County,11225,24506,433465,333923,3771,12473
47,57,Grainger County,7998,18085,286876,224865,2072,6035
47,59,Greene County,26332,55940,962628,724842,9736,26177
47,61,Grundy County,4696,10785,136796,107351,691,2345
47,63,Hamblen County,23979,56556,948740,731564,7209,22695
47,65,Hamilton County,133302,280475,6785316,5252244,109451,149409
47,67,Hancock County,1900,4340,53094,42299,140,1134
47,69,Hardeman County,9358,20893,308527,245714,1735,6168
47,71,Hardin County,9538,21387,358077,277686,3634,12221
47,73,Hawkins County,21398,47289,816195,632091,4967,16198
47,75,Haywood County,7579,16942,275470,201615,1500,4589
47,77,Henderson County,10374,23206,390733,300489,2348,9594
47,79,Henry County,12742,27048,472889,330002,6025,15472
47,81,Hickman County,8405,18721,293765,235780,1102,4540
47,83,Houston County,2894,6500,105477,83534,355,1814
47,85,Humphreys County,7237,15984,292716,223130,2124,8374
47,87,Jackson County,4256,9354,132728,102412,617,2816
47,89,Jefferson County,19178,42453,737107,563335,6835,18360
47,91,Johnson County,5943,12650,209986,159096,1826,6396
47,93,Knox County,169964,355593,9126830,7072532,114353,211449
47,95,Lake County,1976,4244,64919,46546,823,1362
47,97,Lauderdale County,9001,20256,304567,237584,3033,5456
47,99,Lawrence County,14924,34251,543576,422275,3648,13635
47,101,Lewis County,4144,9441,132575,102012,425,2663
47,103,Lincoln County,12967,28959,555761,436179,3254,11744
47,105,Loudon County,20140,43438,1059519,696586,21001,37152
47,107,McMinn County,19041,42767,759938,592619,4903,18514
47,109,McNairy County,9225,21035,331430,256646,2583,5825
47,111,Macon County,7926,18398,261993,208777,1566,8367
47,113,Madison County,38675,84007,1740408,1362235,19502,39123
47,115,Marion County,11034,24290,442860,350029,3259,8733
47,117,Marshall County,12041,27021,467590,372372,2833,11948
47,119,Maury County,32910,72008,1480262,1169511,14075,27397
