"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
48,0,TEXAS,9316503,21303110,481129962,391729555,6259487,9590011
48,1,Anderson County,16737,37259,688291,543892,9922,14155
48,3,Andrews County,5408,13296,302827,247817,2747,3246
48,5,Angelina County,31615,72371,1311205,1013024,21320,32999
48,7,Aransas County,8966,18301,400210,243872,11691,21220
48,9,Archer County,3204,7405,160394,125143,1686,5821
48,11,Armstrong County,690,1568,35807,25340,461,1452
48,13,Atascosa County,15933,37769,643075,505883,4278,8966
48,15,Austin County,10747,24375,554227,448291,8437,16182
48,17,Bailey County,2494,6608,73519,68639,2505,2281
48,19,Bandera County,7620,15828,372113,248754,6748,12172
48,21,Bastrop County,26388,59862,1223938,968722,8785,20503
48,23,Baylor County,1344,2921,53760,35669,579,2207
48,25,Bee County,9079,20423,341093,265763,3059,6627
48,27,Bell County,122982,279577,5001660,4186711,32293,85494
48,29,Bexar County,662329,1446132,30725292,24360668,337919,576243
48,31,Blanco County,3792,8194,208239,140294,3701,8365
48,33,Borden County,212,490,12295,6594,87,461
48,35,Bosque County,6555,14672,267129,202455,4047,8961
48,37,Bowie County,35175,76376,1640349,1244573,16052,43946
48,39,Brazoria County,113213,267751,7077648,6030678,54872,83261
48,41,Brazos County,60243,128834,2968237,2344111,51407,67436
48,43,Brewster County,3799,7430,155997,112002,3968,4852
48,45,Briscoe County,591,1313,25086,13932,526,904
48,47,Brooks County,2774,6366,80218,65667,557,1366
48,49,Brown County,13894,30472,555711,414639,8040,12382
48,51,Burleson County,6459,14088,270179,212044,2660,6827
48,53,Burnet County,16255,35354,870082,534397,25917,40567
48,55,Caldwell County,13119,29469,514603,411553,3894,9537
48,57,Calhoun County,7921,18338,337082,269803,2969,7484
48,59,Callahan County,4950,11045,198808,152935,1495,4882
48,61,Cameron County,134876,340472,4406367,3587772,33405,64808
48,63,Camp County,4650,10934,175718,140751,2163,5129
48,65,Carson County,2174,5084,116049,92989,691,2429
48,67,Cass County,11578,25545,474106,353827,3136,12115
48,69,Castro County,2610,6781,69589,69775,654,2547
48,71,Chambers County,13282,32549,859436,735480,9681,9275
48,73,Cherokee County,17396,41239,670536,516641,7306,19451
48,75,Childress County,2238,4898,83574,61570,604,2216
48,77,Clay County,4053,8936,181394,144515,1458,5139
48,79,Cochran County,1179,2841,45803,30987,371,1686
48,81,Coke County,1223,2704,50458,37416,676,1301
48,83,Coleman County,3196,6927,109524,80801,2261,3856
48,85,Collin County,290646,690052,22876596,19560632,239489,385830
48,87,Collingsworth County,1086,2540,35617,28918,331,2786
48,89,Colorado County,8001,17901,380720,269459,8940,15491
48,91,Comal County,43979,96527,2753185,1955580,38414,75361
48,93,Comanche County,4885,11185,139981,132336,3331,7973
48,95,Concho County,942,2037,35054,23186,350,1337
48,97,Cooke County,14905,33742,703838,521475,10253,24309
48,99,Coryell County,23871,58619,877522,732024,4688,11091
48,101,Cottle County,568,1206,15291,12280,161,880
48,103,Crane County,1504,3927,73746,62656,349,655
48,105,Crockett County,1435,3384,64604,47376,508,2118
48,107,Crosby County,2199,5078,92443,57217,534,2481
48,109,Culberson County,927,2067,27807,23448,226,310
48,111,Dallam County,2691,6464,99629,79046,601,2556
48,113,Dallas County,913582,2072892,44293240,37385722,719046,1039052
48,115,Dawson County,4494,10491,180275,123980,2222,6434
48,117,Deaf Smith County,7137,19355,213927,200129,2633,7338
48,119,Delta County,1831,4046,69607,57475,404,1312
48,121,Denton County,247679,576006,16970898,14619805,142951,235428
48,123,DeWitt County,7038,15298,304728,215353,4280,11845
48,125,Dickens County,770,1709,27578,20561,207,862
48,127,Dimmit County,3423,8258,114798,89307,3234,1920
48,129,Donley County,1278,2765,44270,34130,390,1247
48,131,Duval County,4177,9641,146147,122588,545,2089
48,133,Eastland County,6482,14269,230847,181598,12475,8965
48,135,Ector County,51954,120545,2354637,1933365,28100,37136
48,137,Edwards County,735,1601,27153,16349,632,1450
48,139,Ellis County,55324,134172,2922103,2452085,19657,39758
48,141,El Paso County,295045,713229,10806286,8801827,75417,161009
48,143,Erath County,12426,27239,472676,401945,5395,15572
48,145,Falls County,5597,12542,190018,152667,1663,4664
48,147,Fannin County,11501,26142,466810,381016,3006,11600
48,149,Fayette County,8955,19352,436950,304804,11443,19416
48,151,Fisher County,1402,3050,56596,40960,710,1339
48,153,Floyd County,2365,5597,94103,60864,866,3015
48,155,Foard County,463,1011,15403,10769,217,908
48,157,Fort Bend County,208011,510475,15682706,13530273,161638,238243
48,159,Franklin County,3616,8173,154723,116147,2276,5752
48,161,Freestone County,6524,15495,314058,246422,2797,8428
48,163,Frio County,4947,11571,157187,131368,1346,2575
48,165,Gaines County,5443,14725,242739,175120,1356,5284
48,167,Galveston County,111480,246570,6871375,5645098,107216,119987
48,169,Garza County,1590,3727,72715,48274,829,2681
48,171,Gillespie County,9782,20365,531381,287984,38392,34441
48,173,Glasscock County,453,1160,30426,14924,346,837
48,175,Goliad County,2506,5608,113813,85010,1715,3140
48,177,Gonzales County,7093,16406,259484,199647,3419,9947
48,179,Gray County,7936,18751,385409,284089,5030,9087
48,181,Grayson County,46093,101189,2072095,1592473,28192,50509
48,183,Gregg County,47843,109429,2325150,1773024,30486,66265
48,185,Grimes County,9160,20379,367604,299675,5135,10258
48,187,Guadalupe County,49711,115067,2535232,2030806,20480,40148
48,189,Hale County,12802,30522,466246,362022,3975,12184
48,191,Hall County,1152,2642,38770,25836,283,1715
48,193,Hamilton County,3207,6908,116885,90294,2466,6102
48,195,Hansford County,1921,5080,97300,66355,1673,2929
48,197,Hardeman County,1501,3317,51713,41211,461,1681
48,199,Hardin County,20597,47505,1102536,899252,8133,22517
48,201,Harris County,1525703,3494447,86385369,71748661,1498134,1530502
48,203,Harrison County,25375,58194,1151533,886003,9655,29651
48,205,Hartley County,1422,3668,53153,54624,810,2582
48,207,Haskell County,1990,4382,67935,47225,717,2356
48,209,Hays County,55625,122288,3003190,2398080,40124,60904
48,211,Hemphill County,1348,3404,90456,54778,836,3968
48,213,Henderson County,27957,61867,1146978,845656,14071,32591
48,215,Hidalgo County,240782,624080,7379572,6397271,46896,109242
48,217,Hill County,12744,28709,514082,381629,6551,15065
48,219,Hockley County,8317,19319,374617,283618,3556,7600
48,221,Hood County,20039,43107,1108056,759012,18028,35998
