"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
49,0,UTAH,978605,2506089,51270337,41043435,469272,973084
49,1,Beaver County,2270,6249,95136,76438,388,2369
49,3,Box Elder County,17939,47655,882607,706283,5032,15725
49,5,Cache County,37609,98860,1824784,1401056,19043,33723
49,7,Carbon County,7674,17966,362951,296142,1535,6039
49,9,Daggett County,337,780,16810,12108,355,439
49,11,Davis County,107648,285249,6452222,5225328,38765,101288
49,13,Duchesne County,6285,16912,382701,266796,1896,10494
49,15,Emery County,3637,9910,172998,152916,425,2547
49,17,Garfield County,1816,4432,69992,52625,318,1432
49,19,Grand County,4008,8274,169076,117291,2976,6234
49,21,Iron County,14488,37323,579507,446429,4879,14777
49,23,Juab County,3153,9098,142858,121824,261,1918
49,25,Kane County,2529,5678,97391,69278,1111,3615
49,27,Millard County,4192,11588,147824,151103,1488,3562
49,29,Morgan County,3217,8843,218257,165329,1686,3999
49,31,Piute County,483,1236,14654,10758,78,429
49,33,Rich County,726,1979,32027,23918,195,1380
49,35,Salt Lake County,395631,960337,20982288,17102151,229059,389531
49,37,San Juan County,3448,9016,139879,110849,961,2556
49,39,Sanpete County,7714,21914,306454,251908,1869,6416
49,41,Sevier County,6914,18232,304247,232150,1290,7608
49,43,Summit County,15535,36819,1272406,924953,30207,43309
49,45,Tooele County,20076,53994,1060428,911224,2330,7934
49,47,Uintah County,10492,27630,586978,480071,2036,9769
49,49,Utah County,157848,451790,8112034,6577795,51747,130930
49,51,Wasatch County,7750,21779,423339,321579,6499,10287
49,53,Washington County,46449,119284,2031596,1372107,28112,78710
49,55,Wayne County,927,2317,33646,26734,374,1297
49,57,Weber County,87810,210945,4355248,3436292,34358,74769
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
