"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
51,0,VIRGINIA,3261822,6874826,209427447,165584604,3210495,4149772
51,1,Accomack County,14168,28997,563427,401684,11095,18290
51,3,Albemarle County,37741,80023,2811212,1957389,102136,120954
51,5,Alleghany County,6280,13509,281394,213599,3460,6900
51,7,Amelia County,5271,11475,239500,186864,2652,4402
51,9,Amherst County,12820,26969,549491,439389,5752,11602
51,11,Appomattox County,6020,12942,259830,203704,2576,5006
51,13,Arlington County,107457,173352,9578549,7873634,151533,186735
51,15,Augusta County,29960,64073,1467127,1111003,21454,35238
51,17,Bath County,2073,4085,83900,63411,2307,3169
51,19,Bedford County,27492,60566,1572022,1185628,23988,40989
51,21,Bland County,2377,5063,100186,80359,787,2613
51,23,Botetourt County,13813,30185,819689,633465,12100,17970
51,25,Brunswick County,6061,12832,220835,173106,1915,4427
51,27,Buchanan County,7761,17417,330190,263798,2360,7002
51,29,Buckingham County,5616,11883,217408,170525,2217,4284
51,31,Campbell County,22389,47747,981332,783101,9848,19662
51,33,Caroline County,11924,25378,592738,484194,3742,8242
51,35,Carroll County,10962,23403,391949,298481,3470,9525
51,36,Charles City County,3186,6150,147773,111629,1936,2526
51,37,Charlotte County,4850,10590,171424,133066,2802,4324
51,41,Chesterfield County,129706,292172,8545852,6887569,117017,141834
