"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
50,0,VERMONT,280061,545405,14085869,10631133,357332,368939
50,1,Addison County,15914,31877,779674,579660,23045,20825
50,3,Bennington County,16292,31702,773486,547924,34513,28769
50,5,Caledonia County,13075,26413,530906,404557,9804,13638
50,7,Chittenden County,69641,133897,4314303,3295081,96520,107519
50,9,Essex County,2660,5298,90641,69358,587,1604
50,11,Franklin County,20472,42907,970190,798203,8676,16479
50,13,Grand Isle County,3312,6524,185034,135427,4288,4686
50,15,Lamoille County,11292,21883,532838,390764,15448,14559
50,17,Orange County,12904,25414,590919,447076,20540,13147
50,19,Orleans County,11881,23742,442106,332561,9826,12671
50,21,Rutland County,28043,53445,1248932,949428,27549,33255
50,23,Washington County,27485,52785,1399280,1059401,30927,34026
50,25,Windham County,20534,38514,897453,650070,28884,28546
50,27,Windsor County,26556,51004,1330105,971624,46724,39215
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
