"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
53,0,WASHINGTON,2758587,5829706,161046438,125177077,2691118,4088372
53,1,Adams County,6901,19746,282243,208152,21085,6326
53,3,Asotin County,8731,17661,395545,269269,6046,14587
53,5,Benton County,68087,156031,4080843,3248490,41668,83371
53,7,Chelan County,30087,67418,1413981,1027657,28344,49997
53,9,Clallam County,30148,58429,1402725,823632,38434,68969
53,11,Clark County,167865,375134,9355962,7183001,136055,234807
53,13,Columbia County,1612,3350,68798,49005,1051,2905
53,15,Cowlitz County,39368,86740,1850981,1371783,20920,49892
53,17,Douglas County,14438,33450,666192,500276,9749,20820
53,19,Ferry County,2501,5263,91952,65660,1075,2864
53,21,Franklin County,28119,76776,1326081,1055674,17089,21661
53,23,Garfield County,881,1795,39050,25833,759,1718
53,25,Grant County,32495,85351,1402855,1076835,12676,32734
53,27,Grays Harbor County,26977,56488,1137126,833255,11574,28837
53,29,Island County,33193,68634,1782687,1150217,42463,66314
53,31,Jefferson County,13162,24345,662728,339607,27124,36540
53,33,King County,843159,1669203,59913228,48122899,1291891,1555743
53,35,Kitsap County,102335,215279,6073707,4463361,102327,145859
53,37,Kittitas County,14515,29413,686427,499278,11722,22439
53,39,Klickitat County,8064,17661,375334,260671,6828,13446
53,41,Lewis County,29273,63675,1260325,925481,15906,36837
53,43,Lincoln County,4083,8975,191432,127005,4159,7391
53,45,Mason County,23457,48790,1104855,757466,14346,29004
53,47,Okanogan County,16030,35777,604500,425492,8887,20792
53,49,Pacific County,8477,17097,349839,217118,5081,13710
53,51,Pend Oreille County,4921,10599,206408,143945,2063,6243
53,53,Pierce County,324650,700041,17496197,13967594,165487,327956
53,55,San Juan County,6762,12436,429828,192824,28291,36677
53,57,Skagit County,48263,103542,2498218,1739260,51150,91818
53,59,Skamania County,4068,8638,209819,154966,3599,6195
53,61,Snohomish County,293154,632503,17503028,14494458,173399,326575
53,63,Spokane County,190161,394726,9495869,7160245,137740,267701
53,65,Stevens County,15908,35838,679223,467422,7434,19547
53,67,Thurston County,107773,222907,5949189,4503592,68180,135484
53,69,Wahkiakum County,1556,3249,70895,42228,1281,3171
53,71,Walla Walla County,21702,47536,1054917,775265,17761,35168
53,73,Whatcom County,80667,163627,4213418,3020995,94664,135052
53,75,Whitman County,14141,27832,925316,516809,12063,24214
53,77,Yakima County,90903,223751,3794720,2970357,50745,105005
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
