"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
55,0,WISCONSIN,2420860,5105280,129776974,99714517,2000807,2948118
55,1,Adams County,8163,15970,307609,199498,3981,7759
55,3,Ashland County,6775,13784,266245,196592,3300,6082
55,5,Barron County,20031,41319,844214,626385,10395,22172
55,7,Bayfield County,6638,13508,302673,209530,5581,8854
55,9,Brown County,107203,231103,6083603,4758184,100212,129475
55,11,Buffalo County,5876,12409,242884,192309,3177,8007
55,13,Burnett County,6945,13829,263098,172183,3901,6706
55,15,Calumet County,19894,46577,1165828,953041,13010,20761
55,17,Chippewa County,25974,55604,1190109,924793,16000,29324
55,19,Clark County,13114,31288,521765,384237,6310,17918
55,21,Columbia County,25544,53367,1324185,1013918,17879,30187
55,23,Crawford County,6911,14400,256113,197022,2775,8597
55,25,Dane County,217529,438200,13698570,10646453,245650,318935
55,27,Dodge County,37130,78190,1785085,1398404,20912,36779
55,29,Door County,13133,26152,627006,401179,22304,25174
55,31,Douglas County,18627,37284,839959,639308,8009,15509
55,33,Dunn County,16200,34273,751583,583001,8409,17054
55,35,Eau Claire County,40689,82335,2850885,1607932,34294,80855
55,37,Florence County,1954,3955,82293,59489,1732,1755
55,39,Fond du Lac County,43517,92922,2248418,1724169,29457,49842
55,41,Forest County,3865,7986,159841,88830,1654,3554
55,43,Grant County,19741,42145,807205,634424,10135,30417
55,45,Green County,16376,35340,791083,627031,12233,22281
55,47,Green Lake County,8359,17518,376512,270891,7927,11860
55,49,Iowa County,10220,22029,501847,390066,6386,14185
55,51,Iron County,2717,5176,97814,66301,2508,4137
55,53,Jackson County,8260,17192,356031,254240,3458,9892
55,55,Jefferson County,34589,75166,1743290,1392469,21970,32504
55,57,Juneau County,10985,22365,431556,320771,3969,9435
55,59,Kenosha County,68150,148794,3608363,2917415,32793,55472
55,61,Kewaunee County,8701,19120,410434,335176,6757,11003
55,63,La Crosse County,47428,96241,2480202,1903072,36573,65290
55,65,Lafayette County,7227,16279,287063,224765,4052,11345
55,67,Langlade County,8755,17914,360408,253099,4903,9283
55,69,Lincoln County,12714,26509,598935,440556,7070,14141
55,71,Manitowoc County,35540,75380,1732523,1366553,29003,40554
55,73,Marathon County,57396,123767,3044780,2392592,37412,69753
55,75,Marinette County,17857,36508,751618,542205,9238,16457
55,77,Marquette County,6889,13879,276568,199468,2500,6697
55,78,Menominee County,1544,3705,45536,35147,204,436
55,79,Milwaukee County,398392,815986,18407748,14716860,266886,355799
55,81,Monroe County,18791,40747,831577,633985,8914,18606
55,83,Oconto County,16250,34714,757833,581504,8215,14912
55,85,Oneida County,17218,33630,822353,554668,14515,22985
55,87,Outagamie County,76853,166855,4402239,3461067,57252,84205
55,89,Ozaukee County,36803,81059,3237674,2346958,88584,100324
55,91,Pepin County,3097,6688,145764,104112,1614,4621
55,93,Pierce County,15817,34143,904214,726985,9564,18197
55,95,Polk County,18734,39877,868742,655459,10117,22324
55,97,Portage County,28535,59186,1482157,1142557,19868,30821
55,99,Price County,6315,12827,258598,181185,4413,7717
55,101,Racine County,82842,177495,4448071,3465620,84248,82716
55,103,Richland County,7140,15174,283674,214858,3131,8978
55,105,Rock County,67982,146271,3305477,2449385,40730,66430
55,107,Rusk County,6012,12772,210844,157244,2424,6405
55,109,St. Croix County,34419,77876,2205335,1763294,24513,36538
55,111,Sauk County,27994,58232,1271653,991281,18200,31785
55,113,Sawyer County,7413,14985,290619,186441,4616,10389
55,115,Shawano County,17507,36941,720747,559831,9100,18341
55,117,Sheboygan County,50533,108752,2628105,2033805,51322,56994
55,119,Taylor County,8082,17591,302414,257915,3048,9459
55,121,Trempealeau County,13098,29442,565921,464474,5505,13153
55,123,Vernon County,11729,26094,475849,371455,5049,13066
55,125,Vilas County,9864,19178,432168,236523,12940,18568
55,127,Walworth County,40975,89466,2090537,1595417,32856,52999
55,129,Washburn County,7201,14957,286013,192791,4529,7886
55,131,Washington County,57504,125473,3594674,2846421,47965,84022
55,133,Waukesha County,167613,367987,13118873,10052784,251131,318486
55,135,Waupaca County,21961,46603,1039199,778362,18862,24862
55,137,Waushara County,10166,21103,412642,294740,5856,10210
55,139,Winnebago County,71553,144608,3789582,2937120,65324,76418
55,141,Wood County,33307,69086,1671945,1216716,21482,39463
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
