"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
54,0,WEST VIRGINIA,708381,1493177,32663074,24725668,400212,652856
54,1,Barbour County,5858,12848,216502,169770,1835,4938
54,3,Berkeley County,42463,91420,2098985,1712742,12153,28028
54,5,Boone County,8418,19569,396322,317521,1618,4586
54,7,Braxton County,4977,10805,184841,147688,1074,3295
54,9,Brooke County,9732,19954,405797,302808,4890,8218
54,11,Cabell County,37060,74377,1743946,1315506,27837,42343
54,13,Calhoun County,2513,5481,86522,67413,742,1833
54,15,Clay County,3258,7702,117392,96725,419,1516
54,17,Doddridge County,2032,4482,75692,55984,693,1317
54,19,Fayette County,16247,34759,629527,500226,4239,10284
54,21,Gilmer County,2290,4849,91665,67268,1192,2185
54,23,Grant County,4696,10140,178070,139345,1715,5208
54,25,Greenbrier County,13804,28439,561297,414302,8788,14162
54,27,Hampshire County,8946,19361,348728,271601,2799,6944
54,29,Hancock County,13616,27494,566570,424137,4944,12482
54,31,Hardy County,5724,12101,220359,168783,1648,4349
54,33,Harrison County,28325,59700,1367300,1033130,19668,29585
54,35,Jackson County,11059,24497,466422,358709,3451,8790
54,37,Jefferson County,21415,46279,1283332,1056181,11110,17926
54,39,Kanawha County,81633,162353,4092587,2963844,64590,86882
54,41,Lewis County,7074,14713,287516,210990,5472,5032
54,43,Lincoln County,7332,16984,286556,235617,987,3900
54,45,Logan County,13120,28884,555660,452564,4775,7132
54,47,McDowell County,6310,14480,212507,169388,1448,4246
54,49,Marion County,23200,47013,1022880,802928,9515,21344
54,51,Marshall County,12795,26754,549147,412444,5721,9938
54,53,Mason County,9617,21077,402470,317304,2752,7973
54,55,Mercer County,23222,49087,943886,708424,10886,29156
54,57,Mineral County,11372,24176,481031,378933,3207,8577
54,59,Mingo County,8551,20179,368402,304526,2109,7200
54,61,Monongalia County,33834,65524,1832489,1460208,22643,36992
54,63,Monroe County,4824,10436,174995,132444,1291,3930
54,65,Morgan County,6993,14321,282432,206752,3368,6328
54,67,Nicholas County,9675,21271,409304,322514,4811,9916
54,69,Ohio County,19137,38384,971737,673134,30259,25049
54,71,Pendleton County,3111,6502,112252,84512,1678,3555
54,73,Pleasants County,2775,6077,121487,93505,1136,2408
54,75,Pocahontas County,3381,6785,110201,84874,1264,3481
54,77,Preston County,12069,25533,504551,402018,3442,9380
54,79,Putnam County,22288,49608,1297771,1029791,10197,22308
54,81,Raleigh County,28872,62018,1826104,1072537,44483,34542
54,83,Randolph County,11044,23020,423789,318800,4927,10825
54,85,Ritchie County,4227,9146,158942,118859,1705,3135
54,87,Roane County,5367,11959,215104,157301,1728,4407
54,89,Summers County,4239,8753,151446,113117,1890,3289
54,91,Taylor County,6286,13339,266970,214966,1999,4537
54,93,Tucker County,2865,5919,109937,82036,1148,2431
54,95,Tyler County,3419,7510,140950,101263,2128,2892
54,97,Upshur County,8853,19036,365834,277131,3848,8380
54,99,Wayne County,14283,31873,600568,481949,3264,9465
54,101,Webster County,3086,6931,120416,87442,475,2901
54,103,Wetzel County,6503,14041,271072,194658,3570,6311
54,105,Wirt County,1904,4302,72869,53272,226,1263
54,107,Wood County,35197,73405,1576235,1142122,25286,31579
54,109,Wyoming County,7490,17527,303707,243664,1171,4184
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
