"Source:  IRS Individual Master File, Statistics of Income, August 2011 Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Number of returns","Source:  IRS Individual Master File, Statistics of Income, August 2011 Amount Amount Amount Amount Amount Amount Amount Amount"
,,,-1,-2,-3,-4,-5,-6
56,0,WYOMING,236373,495569,13352300,10095193,265663,396431
56,1,Albany County,13801,25569,700247,535170,14031,18763
56,3,Big Horn County,4288,9809,185938,140379,1897,5229
56,5,Campbell County,19012,41984,1305398,1097035,8222,21765
56,7,Carbon County,6595,14069,334011,268180,5095,8077
56,9,Converse County,5780,12523,325770,258518,6870,7563
56,11,Crook County,2892,6216,159330,114588,1966,5486
56,13,Fremont County,16345,34851,767605,576443,15709,20942
56,15,Goshen County,5054,10450,210611,159557,2835,8317
56,17,Hot Springs County,2009,3999,88121,64450,1367,3200
56,19,Johnson County,3523,7335,181248,124818,5681,7393
56,21,Laramie County,40654,82150,2072018,1639990,30973,66415
56,23,Lincoln County,6692,15955,377082,275609,4901,13083
56,25,Natrona County,32448,65663,1914599,1402872,37784,51049
56,27,Niobrara County,1010,2031,40242,29058,853,1814
56,29,Park County,12391,25310,634357,435617,17062,24586
56,31,Platte County,3639,7524,176951,129666,2831,5629
56,33,Sheridan County,12780,25431,728654,506968,24349,26331
56,35,Sublette County,3841,8399,309651,199809,8177,8940
56,37,Sweetwater County,18289,41782,1176003,976252,11297,15936
56,39,Teton County,10682,20573,863392,516946,55489,57496
56,41,Uinta County,8216,19982,460437,387258,3519,6203
56,43,Washakie County,3480,7684,175841,128719,3021,5955
56,45,Weston County,2952,6280,164792,127293,1734,6260
1 Interest includes taxable and non-taxable interest,,,,,,,,
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.",,,,,,,,
